ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	150,170,118	2,0,1	84,161,93	10,14,0	277	149
1	0,0,2	416,461,396	0,2,1	795,1131,658	152	149
4	1232,1245,1174	1,4,2	1510,2801,1615	0,0,0	151	149
5	0,2,0	106,96,95	0,0,0	139,312,139	152	149
6	2,1,2	4,6,2	0,0,1	1,0,0	152	149
10	0,0,2	13,12,6	2,1,0	9,21,14	152	149
11	3,16,10	219,275,185	6,6,4	205,291,153	151	149
12	12,21,10	0,0,0	14,16,13	0,2,0	152	149
14	0,2,0	113,150,143	0,0,0	159,244,122	175	149
15	5,3,1	0,7,0	0,0,3	0,1,2	298	149
16	0,0,1	0,0,0	1,1,1	0,1,0	152	149
17	0,0,0	91,66,56	0,1,1	56,153,68	152	149
19	21,9,9	3,0,1	22,31,23	0,1,0	240	149
21	12,21,9	0,0,0	19,35,8	0,2,1	153	149
27	8,8,2	0,2,0	2,7,2	0,0,0	298	149
28	175,199,134	19,21,16	69,167,67	2,4,0	150	149
29	877,1177,1002	22,33,19	1533,1809,916	34,37,16	151	149
30	0,0,1	370,435,433	6,11,0	610,715,409	152	149
33	0,0,0	115,87,84	1,0,0	79,112,53	151	149
35	118,112,77	10,10,3	23,60,23	1,4,3	298	149
36	118,221,120	2,1,0	105,134,70	0,1,3	154	149
37	51,64,38	52,45,44	24,44,22	17,40,17	154	149
38	41,36,51	0,1,1	78,113,46	2,2,0	198	149
39	7,4,2	183,200,251	4,5,4	319,496,218	168	149
43	56,85,46	16,12,12	44,52,40	10,7,7	163	149
44	1,2,2	124,152,83	0,0,0	122,219,95	187	149
45	0,0,0	39,53,40	1,0,0	26,54,41	208	149
46	1,3,2	463,567,480	0,1,0	609,998,495	196	149
47	6,8,3	0,2,0	4,8,3	7,12,3	160	149
51	55,45,41	47,44,29	16,54,19	14,42,31	151	149
54	5,1,0	16,9,10	0,0,0	7,13,7	206	149
56	4,0,2	291,390,329	4,1,0	409,612,345	165	149
62	163,182,193	1,9,1	251,412,217	23,13,6	191	149
63	1,0,0	69,126,60	0,1,0	94,109,65	163	149
65	43,35,39	6,15,9	11,27,15	3,7,3	153	149
71	1,0,0	218,338,260	0,0,4	258,366,181	151	149
73	68,74,44	19,27,34	43,100,47	20,35,16	151	149
74	1,2,1	34,46,75	8,3,1	58,84,37	159	149
75	1697,2015,1684	1,0,2	2592,2919,1527	7,7,0	154	149
76	0,0,0	161,184,199	1,0,0	181,279,143	150	149
78	0,4,1	21,34,25	0,2,0	12,16,13	182	149
79	183,209,218	1,2,4	179,222,100	0,0,0	298	149
81	857,953,817	97,125,85	767,1471,839	131,311,142	172	149
82	0,0,0	23,15,29	0,4,4	20,56,21	153	149
84	18,24,13	21,27,17	12,20,12	19,57,32	160	149
85	3,0,1	95,120,148	1,0,4	96,186,92	267	149
86	23,30,28	6,3,8	23,41,6	2,9,2	152	149
87	1,0,2	114,123,132	0,3,1	77,123,70	152	149
88	20,27,22	37,34,18	22,29,25	32,56,37	159	149
93	2,8,9	0,0,0	7,7,1	2,0,0	152	149
95	1,0,0	192,289,242	0,1,0	248,370,214	152	149
96	0,0,2	69,58,61	0,0,0	11,80,18	196	149
99	176,106,142	0,0,0	167,407,193	0,0,6	155	149
100	98,56,52	0,3,0	45,219,68	1,3,4	298	149
103	9,32,18	164,181,214	26,24,16	156,262,136	172	149
105	560,479,332	0,1,0	299,698,293	0,0,0	260	149
106	275,330,340	0,2,0	415,643,300	2,2,1	188	149
107	0,1,0	451,648,516	0,0,0	541,879,441	172	149
108	7,5,5	1019,1082,1040	1,9,5	827,1771,939	152	149
111	2,4,2	26,34,26	0,0,0	35,86,34	167	149
113	97,88,79	26,31,25	40,65,41	18,55,27	217	149
114	0,0,0	9,12,7	0,2,3	48,95,38	167	149
115	0,0,0	47,44,36	4,5,3	9,35,4	224	149
116	9,12,7	47,44,36	52,98,38	9,35,4	205	149
118	0,0,0	14,38,27	0,3,0	19,29,23	166	149
122	0,2,0	13,10,15	0,0,0	4,13,12	199	149
123	255,288,216	47,49,50	254,441,216	19,15,9	172	149
126	18,17,7	48,63,42	9,18,11	30,48,21	154	149
127	5,16,10	1,2,0	11,44,22	1,2,1	203	149
128	2,0,0	85,63,75	6,9,5	37,88,48	161	149
129	2,0,0	2,11,19	2,4,1	0,6,4	161	149
130	2,0,0	154,193,180	2,0,0	174,299,110	151	149
131	29,20,4	65,99,29	9,7,2	24,38,22	166	149
133	1,1,0	132,122,60	0,3,0	64,144,75	181	149
