ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
1	26,17,19	7,11,16	29,67,14	27,19,11	221	196
2	90,98,106	135,147,103	31,111,36	62,115,53	251	246
3	2,4,6	1,1,7	18,31,24	14,5,8	241	221
4	14,38,17	22,28,28	24,23,20	47,62,27	226	241
5	32,72,21	61,35,42	29,80,18	30,58,32	298	298
6	20,22,19	20,17,17	23,38,22	40,48,20	216	182
7	17,41,9	21,30,11	7,35,28	17,45,15	208	195
9	151,210,194	430,549,514	65,75,43	258,276,114	197	224
10	86,147,129	104,155,145	263,449,214	285,395,221	241	209
11	86,147,129	0,0,0	263,449,214	0,4,3	241	205
12	106,106,63	127,139,94	52,78,46	63,96,70	191	206
13	0,1,1	127,139,94	0,0,0	63,96,70	194	206
15	19,21,12	105,124,75	14,4,11	62,153,90	182	211
16	33,38,33	23,28,23	33,45,32	34,54,24	229	187
17	8,12,23	26,29,24	13,11,9	37,41,12	237	275
18	5,16,7	0,2,0	2,10,4	0,0,0	213	201
19	46,33,29	47,40,43	30,36,11	26,56,13	287	293
20	224,299,293	7,4,4	176,262,77	32,47,36	206	194
21	40,38,38	35,52,39	31,34,18	41,45,28	229	229
22	216,225,184	316,348,429	175,299,167	429,646,343	225	256
23	176,194,170	125,226,232	113,89,49	115,106,69	211	196
25	181,212,174	77,83,100	176,293,184	129,106,74	229	192
26	14,16,20	51,58,49	12,15,19	50,62,58	229	229
27	242,288,229	197,303,268	157,333,145	175,324,165	238	211
28	24,29,22	26,26,29	15,13,11	14,8,13	298	241
29	34,43,36	145,143,158	35,57,27	224,278,124	177	238
30	21,41,30	44,32,26	21,33,24	65,53,33	208	208
31	4,0,0	0,0,0	15,11,2	2,0,4	261	218
32	12,8,22	14,30,38	10,29,13	42,83,42	298	289
33	35,30,20	119,103,99	44,38,24	152,177,116	217	251
34	7,10,9	119,103,99	22,20,15	152,177,116	214	251
35	9,8,19	35,31,31	1,19,9	21,49,22	184	232
36	0,0,0	35,31,31	0,1,0	21,49,22	199	232
37	0,0,2	18,13,16	4,0,2	14,21,6	170	254
38	30,58,36	108,171,173	38,77,32	58,82,45	262	298
39	30,58,36	22,53,35	38,77,32	9,48,20	262	298
40	51,118,100	108,267,237	38,108,62	115,140,70	298	298
41	15,36,21	40,95,61	10,32,16	44,129,58	219	289
42	0,0,5	6,14,18	0,0,1	12,28,25	298	298
43	4,11,6	6,14,14	0,4,4	12,28,26	298	298
45	19,10,3	23,15,14	16,28,4	34,54,33	168	201
46	1,12,1	11,14,3	4,6,1	24,21,5	246	197
48	125,85,91	92,101,77	117,205,82	148,201,93	242	209
49	4,9,12	20,23,18	2,10,8	19,16,12	298	230
51	37,70,47	129,145,181	53,82,32	206,239,138	199	226
52	113,134,95	104,148,117	81,172,93	187,256,133	211	226
53	24,28,23	48,58,61	15,16,16	39,76,33	202	240
54	55,71,55	28,91,54	43,69,33	37,72,44	248	218
55	21,39,14	33,43,11	21,46,30	29,42,17	214	207
56	171,232,227	232,247,282	78,113,71	121,161,103	298	298
57	69,62,30	2,0,0	125,233,112	0,0,0	262	170
58	36,35,30	84,104,76	15,46,17	30,50,28	211	208
59	0,0,2	24,23,11	0,1,0	9,14,14	207	259
60	5,8,4	84,106,70	2,3,3	61,100,44	222	281
62	16,16,9	41,23,33	1,26,4	21,47,26	208	241
64	397,430,375	53,71,63	244,226,107	57,21,23	266	165
65	0,2,0	104,100,122	0,3,0	115,146,67	198	186
66	100,119,98	169,171,179	119,144,88	182,227,122	206	193
67	7,12,24	33,47,30	2,11,6	52,54,33	192	265
68	195,230,250	86,110,119	262,464,191	86,131,51	298	174
69	44,43,31	69,74,68	23,51,20	58,76,29	195	218
70	4,4,4	73,87,74	0,4,0	37,77,28	218	211
71	107,95,82	73,80,74	49,81,27	32,69,25	218	211
73	3,4,0	0,0,0	2,4,7	0,0,1	271	298
