ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	171,226,211	6,4,0	154,202,74	5,16,12	280	149
1	293,363,294	2,0,1	218,317,142	10,14,0	298	149
2	3,2,6	23,22,38	2,3,0	34,38,25	270	149
3	25,12,11	10,5,10	12,20,6	9,10,4	253	149
5	4,3,6	53,59,14	1,1,3	22,52,13	224	149
6	7,12,7	116,98,97	5,15,5	118,273,97	282	149
7	35,58,54	20,34,19	77,69,57	67,111,35	264	149
8	47,61,40	321,383,375	30,34,15	233,490,252	234	149
9	136,163,176	34,21,21	40,44,30	118,216,86	269	149
10	89,82,69	375,471,367	63,86,44	387,557,261	251	149
11	5,10,2	13,13,13	0,3,1	4,16,6	284	149
13	19,40,27	0,8,0	14,27,22	18,30,9	242	149
14	15,16,10	21,37,34	3,13,10	9,81,21	257	149
15	2,2,0	37,39,18	2,3,1	19,83,33	298	149
18	17,3,16	2,2,2	35,98,63	8,8,6	226	149
19	4,4,1	2073,2650,2814	4,6,1	2783,4390,2062	234	149
20	0,2,4	56,54,22	3,1,1	21,70,33	239	149
21	14,9,13	89,99,106	13,33,22	177,197,126	240	149
23	31,16,24	2115,1254,1768	38,81,39	5002,7105,4135	231	149
24	1,7,0	10,8,3	3,5,1	4,21,6	251	149
25	5,4,0	57,70,35	0,0,0	37,27,16	229	149
26	88,85,64	0,0,2	52,99,39	0,0,2	296	149
28	4,9,13	62,72,66	4,5,6	57,86,37	234	149
29	1,7,15	63,98,87	10,4,2	100,116,47	298	149
30	5,5,14	22,65,71	1,5,6	49,96,44	233	149
31	0,0,2	37,69,71	1,0,1	45,68,35	262	149
32	26,42,27	136,231,160	37,30,6	184,297,139	298	149
34	39,31,30	6,3,1	15,17,18	2,8,0	242	149
35	7,5,9	0,0,0	4,12,22	2,2,3	229	149
37	19,18,4	11,4,8	7,25,11	14,23,5	223	149
39	67,84,73	183,190,177	49,56,19	229,223,137	224	149
40	3,12,4	8,6,2	0,4,0	0,3,1	226	149
41	2,21,20	1406,1627,1330	30,26,16	2220,5620,2532	241	149
42	11,6,12	259,291,206	0,1,0	113,255,135	226	149
44	518,705,581	6,8,10	913,1161,546	11,17,5	201	149
46	2,12,11	3,39,32	2,2,5	6,12,14	251	149
47	28,26,21	331,387,339	27,41,35	628,743,387	298	149
48	31,29,41	1353,1733,1803	13,35,23	1288,1688,934	223	149
49	64,101,70	4,1,8	58,109,57	2,6,2	223	149
50	0,0,0	123,142,117	4,3,0	147,148,107	239	149
52	14,12,4	96,117,100	6,8,1	131,135,97	270	149
53	17,51,32	0,1,0	60,57,44	3,5,0	212	149
54	5,1,0	26,19,4	1,8,1	13,19,7	234	149
57	14,15,9	0,0,0	11,6,10	0,1,0	239	149
58	6,11,5	54,73,45	1,3,4	62,111,45	232	149
60	3,0,1	31,36,23	8,4,2	31,59,32	243	149
61	1,1,1	56,71,52	0,2,0	28,59,25	229	149
62	44,42,36	199,182,124	9,38,26	247,328,171	288	149
65	4,7,3	17,22,17	4,3,2	13,8,8	236	149
68	19,15,13	0,2,0	5,5,10	0,0,0	298	149
69	22,24,23	46,67,32	9,25,3	43,101,45	298	149
70	10,7,10	171,192,166	6,12,0	123,193,86	298	149
71	0,2,1	37,30,42	0,8,1	47,75,39	260	149
72	71,126,79	30,41,45	55,71,17	61,46,40	214	149
73	6,31,24	73,111,104	8,40,12	131,173,95	264	149
74	26,43,40	607,768,634	30,96,37	901,1530,763	211	149
76	72,46,68	84,90,92	28,35,21	63,125,55	298	149
77	10,10,8	28,37,32	11,9,9	20,49,21	257	149
81	180,239,246	5,15,17	200,316,203	45,78,54	284	149
83	129,159,146	0,1,0	144,183,122	0,1,0	260	149
85	4,2,6	67,79,66	2,4,3	94,159,67	298	149
86	51,85,56	0,0,3	82,126,56	1,4,0	280	149
87	0,2,0	8,19,16	0,3,2	18,29,9	293	149
90	57,45,73	1,0,0	77,129,50	0,3,0	298	149
91	14,15,21	0,0,1	24,16,10	2,0,0	259	149
94	33,57,25	2,3,0	27,53,32	7,5,3	298	149
95	9,23,11	168,257,194	11,23,4	275,459,177	217	149
96	0,2,1	110,118,107	0,2,0	159,238,144	219	149
98	0,0,0	0,1,1	0,0,1	2,12,6	249	149
100	4,2,10	10,17,10	7,10,9	19,19,14	214	149
101	80,71,69	20,17,14	68,76,34	39,32,32	270	149
103	69,130,102	0,0,0	151,179,99	3,2,2	232	149
