ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
1	26,17,19	7,11,16	29,67,14	27,19,11	222	197
2	90,98,106	135,147,103	31,111,36	62,115,53	252	247
3	2,4,6	1,1,7	18,31,24	14,5,8	242	222
4	14,38,17	22,28,28	24,23,20	47,62,27	227	242
5	38,81,39	63,39,42	31,90,20	31,60,32	396	311
6	20,22,19	20,17,17	23,38,22	40,48,20	217	183
7	17,41,9	21,30,11	7,35,28	17,45,15	209	196
9	151,210,194	430,549,514	65,75,43	258,276,114	198	225
10	86,147,129	104,155,145	263,449,214	285,395,221	242	210
11	86,147,129	0,0,0	263,449,214	0,4,3	242	206
12	106,106,63	127,139,94	52,78,46	63,96,70	192	207
13	0,1,1	127,139,94	0,0,0	63,96,70	195	207
15	19,21,12	105,124,75	14,4,11	62,153,90	183	212
16	33,38,33	23,28,23	33,45,32	34,54,24	230	188
17	8,12,23	26,29,24	13,11,9	37,41,12	238	276
18	5,16,7	0,2,0	2,10,4	0,0,0	214	202
19	46,33,29	47,40,43	30,36,11	26,56,13	288	294
20	224,299,293	7,4,4	176,262,77	32,47,36	207	195
21	40,38,38	35,52,39	31,34,18	41,45,28	230	230
22	216,225,184	316,348,429	175,299,167	429,646,343	226	257
23	176,194,170	125,226,232	113,89,49	115,106,69	212	197
25	181,212,174	77,83,100	176,293,184	129,106,74	230	193
26	14,16,20	51,58,49	12,15,19	50,62,58	230	230
27	242,288,229	197,303,268	157,333,145	175,324,165	239	212
28	24,29,23	26,26,29	15,14,11	14,8,13	305	242
29	34,43,36	145,143,158	35,57,27	224,278,124	178	239
30	21,41,30	44,32,26	21,33,24	65,53,33	209	209
31	4,0,0	0,0,0	15,11,2	2,0,4	262	219
32	14,8,25	14,30,38	11,30,15	42,83,42	327	290
33	35,30,20	119,103,99	44,38,24	152,177,116	218	252
34	7,10,9	119,103,99	22,20,15	152,177,116	215	252
35	9,8,19	35,31,31	1,19,9	21,49,22	185	233
36	0,0,0	35,31,31	0,1,0	21,49,22	200	233
37	0,0,2	18,13,16	4,0,2	14,21,6	171	255
38	30,58,36	126,202,197	38,77,32	63,94,56	263	396
39	30,58,36	40,84,59	38,77,32	14,60,31	263	396
40	69,149,124	111,270,242	43,120,73	122,142,72	396	311
41	15,36,21	40,95,61	10,32,16	44,129,58	220	290
42	0,1,6	28,47,48	0,0,3	32,67,48	704	875
43	16,20,16	28,47,44	0,16,8	32,67,49	773	875
45	19,10,3	23,15,14	16,28,4	34,54,33	169	202
46	1,12,1	11,14,3	4,6,1	24,21,5	247	198
48	125,85,91	92,101,77	117,205,82	148,201,93	243	210
49	6,10,12	20,23,18	2,10,8	19,16,12	396	231
51	37,70,47	129,145,181	53,82,32	206,239,138	200	227
52	113,134,95	104,148,117	81,172,93	187,256,133	212	227
53	24,28,23	48,58,61	15,16,16	39,76,33	203	241
54	55,71,55	28,91,54	43,69,33	37,72,44	249	219
55	21,39,14	33,43,11	21,46,30	29,42,17	215	208
56	196,260,267	237,248,283	80,124,81	121,168,104	396	311
57	69,62,30	2,0,0	125,233,112	0,0,0	263	171
58	36,35,30	84,104,76	15,46,17	30,50,28	212	209
59	0,0,2	24,23,11	0,1,0	9,14,14	208	260
60	5,8,4	84,106,70	2,3,3	61,100,44	223	282
62	16,16,9	41,23,33	1,26,4	21,47,26	209	242
64	397,430,375	53,71,63	244,226,107	57,21,23	267	166
65	0,2,0	104,100,122	0,3,0	115,146,67	199	187
66	100,119,98	169,171,179	119,144,88	182,227,122	207	194
67	7,12,24	33,47,30	2,11,6	52,54,33	193	266
68	243,329,330	86,110,119	315,567,247	86,131,51	379	175
69	44,43,31	69,74,68	23,51,20	58,76,29	196	219
70	4,4,4	73,87,74	0,4,0	37,77,28	219	212
71	107,95,82	73,80,74	49,81,27	32,69,25	219	212
73	3,4,0	2,1,3	2,4,7	0,0,3	272	340
