ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	171,226,211	6,4,0	154,202,74	5,16,12	281	149
1	315,392,329	2,0,1	233,347,155	10,14,0	410	149
2	3,2,6	23,22,38	2,3,0	34,38,25	271	149
3	25,12,11	10,5,10	12,20,6	9,10,4	254	149
5	4,3,6	53,59,14	1,1,3	22,52,13	225	149
6	7,12,7	116,98,97	5,15,5	118,273,97	283	149
7	35,58,54	20,34,19	77,69,57	67,111,35	265	149
8	47,61,40	321,383,375	30,34,15	233,490,252	235	149
9	136,163,176	34,21,21	40,44,30	118,216,86	270	149
10	89,82,69	375,471,367	63,86,44	387,557,261	252	149
11	5,10,2	13,13,13	0,3,1	4,16,6	285	149
13	19,40,27	0,8,0	14,27,22	18,30,9	243	149
14	15,16,10	21,37,34	3,13,10	9,81,21	258	149
15	2,2,0	37,39,18	2,3,1	19,83,33	345	149
18	17,3,16	2,2,2	35,98,63	8,8,6	227	149
19	4,4,1	2073,2650,2814	4,6,1	2783,4390,2062	235	149
20	0,2,4	56,54,22	3,1,1	21,70,33	240	149
21	14,9,13	89,99,106	13,33,22	177,197,126	241	149
23	31,16,24	2115,1254,1768	38,81,39	5002,7105,4135	232	149
24	1,7,0	10,8,3	3,5,1	4,21,6	252	149
25	5,4,0	57,70,35	0,0,0	37,27,16	230	149
26	88,85,64	0,0,2	52,99,39	0,0,2	297	149
28	4,9,13	62,72,66	4,5,6	57,86,37	235	149
29	1,7,17	63,98,87	10,4,2	100,116,47	319	149
30	5,5,14	22,65,71	1,5,6	49,96,44	234	149
31	0,0,2	37,69,71	1,0,1	45,68,35	263	149
32	30,50,33	136,231,160	44,33,6	184,297,139	475	149
34	39,31,30	6,3,1	15,17,18	2,8,0	243	149
35	7,5,9	0,0,0	4,12,22	2,2,3	230	149
37	19,18,4	11,4,8	7,25,11	14,23,5	224	149
39	67,84,73	183,190,177	49,56,19	229,223,137	225	149
40	3,12,4	8,6,2	0,4,0	0,3,1	227	149
41	2,21,20	1406,1627,1330	30,26,16	2220,5620,2532	242	149
42	11,6,12	259,291,206	0,1,0	113,255,135	227	149
44	518,705,581	6,8,10	913,1161,546	11,17,5	202	149
46	2,12,11	3,39,32	2,2,5	6,12,14	252	149
47	34,35,27	331,387,339	28,48,44	628,743,387	486	149
48	31,29,41	1353,1733,1803	13,35,23	1288,1688,934	224	149
49	64,101,70	4,1,8	58,109,57	2,6,2	224	149
50	0,0,0	123,142,117	4,3,0	147,148,107	240	149
52	14,12,4	96,117,100	6,8,1	131,135,97	271	149
53	17,51,32	0,1,0	60,57,44	3,5,0	213	149
54	5,1,0	26,19,4	1,8,1	13,19,7	235	149
57	14,15,9	0,0,0	11,6,10	0,1,0	240	149
58	6,11,5	54,73,45	1,3,4	62,111,45	233	149
60	3,0,1	31,36,23	8,4,2	31,59,32	244	149
61	1,1,1	56,71,52	0,2,0	28,59,25	230	149
62	44,42,36	199,182,124	9,38,26	247,328,171	289	149
65	4,7,3	17,22,17	4,3,2	13,8,8	237	149
68	43,32,24	0,2,0	7,26,20	0,0,0	780	149
69	22,26,24	46,67,32	9,25,3	43,101,45	359	149
70	10,7,11	171,192,166	6,12,0	123,193,86	348	149
71	0,2,1	37,30,42	0,8,1	47,75,39	261	149
72	71,126,79	30,41,45	55,71,17	61,46,40	215	149
73	6,31,24	73,111,104	8,40,12	131,173,95	265	149
74	26,43,40	607,768,634	30,96,37	901,1530,763	212	149
76	74,47,68	84,90,92	28,38,21	63,125,55	338	149
77	10,10,8	28,37,32	11,9,9	20,49,21	258	149
81	180,239,246	5,15,17	200,316,203	45,78,54	285	149
83	129,159,146	0,1,0	144,183,122	0,1,0	261	149
85	6,3,6	67,79,66	4,5,4	94,159,67	427	149
86	51,85,56	0,0,3	82,126,56	1,4,0	281	149
87	0,2,0	8,19,16	0,3,2	18,29,9	294	149
90	57,45,73	1,0,0	78,129,50	0,3,0	299	149
91	14,15,21	0,0,1	24,16,10	2,0,0	260	149
94	35,60,25	2,3,0	29,53,33	7,5,3	362	149
95	9,23,11	168,257,194	11,23,4	275,459,177	218	149
96	0,2,1	110,118,107	0,2,0	159,238,144	220	149
98	0,0,0	0,1,1	0,0,1	2,12,6	250	149
100	4,2,10	10,17,10	7,10,9	19,19,14	215	149
101	80,71,69	20,17,14	68,76,34	39,32,32	271	149
103	69,130,102	0,0,0	151,179,99	3,2,2	233	149
104	5,17,14	28,23,41	6,8,1	51,52,37	242	149
105	6,6,10	161,184,199	3,9,2	181,279,143	227	149
106	6,6,10	0,0,0	3,9,2	1,0,0	225	149
107	1,2,2	37,35,38	0,1,2	14,40,9	251	149
108	12,19,19	0,0,0	11,23,8	0,7,0	230	149
109	0,1,3	2,2,6	5,7,1	4,5,14	212	149
110	0,0,0	7,7,8	0,1,2	7,17,14	218	149
111	31,59,56	78,109,100	24,20,2	78,121,67	239	149
112	10,8,3	41,33,12	1,11,3	36,50,20	281	149
113	28,41,38	15,24,32	15,38,17	36,60,40	253	149
114	0,4,0	120,133,104	0,0,0	113,134,98	232	149
116	25,32,19	97,103,134	35,62,32	170,159,79	372	149
117	94,170,133	68,83,68	57,71,41	232,316,140	224	149
118	0,2,3	86,116,53	0,0,0	65,118,32	263	149
119	9,9,7	4,4,1	19,35,17	10,9,3	219	149
120	1,3,0	80,57,41	0,0,2	51,68,36	262	149
121	6,18,15	43,98,117	12,27,16	124,242,135	316	149
122	6,5,10	69,78,89	16,13,23	107,176,70	221	149
125	5,8,6	0,0,0	12,12,10	0,2,0	225	149
128	0,6,14	35,67,38	6,17,6	28,21,15	236	149
129	99,129,102	3,4,6	88,194,108	6,8,10	260	149
130	8,0,1	6,19,11	2,3,2	2,26,7	230	149
132	0,1,0	52,72,43	1,0,1	67,130,54	256	149
133	30,28,16	6,1,6	11,27,13	0,5,2	524	149
134	0,0,2	11,8,18	0,5,0	14,23,6	314	149
135	62,124,98	4,47,23	99,183,95	9,84,38	284	149
136	23,23,18	274,284,192	1,21,6	85,323,129	236	149
137	148,196,138	113,99,74	57,166,58	57,119,60	236	149
140	0,1,3	61,144,99	1,3,2	96,134,107	245	149
142	0,2,5	4,9,2	3,1,3	16,23,6	323	149
143	104,123,94	14,12,7	71,107,44	7,22,7	2224	149
144	30,35,28	8,4,1	34,29,11	4,2,6	353	149
145	10,1,6	92,62,46	2,10,0	46,244,79	319	149
147	0,1,0	157,154,122	1,5,0	106,166,92	263	149
148	21,17,17	0,1,5	21,43,13	1,2,2	263	149
149	12,8,12	39,74,60	13,23,7	77,133,73	249	149
150	1,0,1	27,15,12	1,3,0	32,56,39	242	149
151	8,9,8	154,149,117	7,10,3	203,285,141	230	149
152	1,4,4	49,87,52	4,4,0	59,108,54	232	149
153	0,1,0	3,20,7	0,1,2	7,7,7	359	149
154	25,37,34	478,699,476	11,21,18	361,894,449	508	149
155	26,39,19	61,52,50	10,19,12	85,122,39	288	149
156	0,1,0	0,0,1	1,0,1	1,2,0	239	149
158	1,1,3	2,0,2	0,3,0	0,4,1	226	149
160	16,38,19	62,57,66	30,18,10	66,92,49	247	149
161	55,58,78	347,342,357	53,40,10	477,805,431	261	149
163	0,2,2	44,112,44	0,4,2	38,70,26	291	149
165	13,18,6	12,15,10	5,18,1	4,9,7	230	149
166	5,0,0	212,146,148	1,1,3	130,362,154	236	149
169	13,17,9	13,31,8	3,13,4	21,61,8	247	149
170	10,16,8	487,650,596	9,11,13	734,1168,615	223	149
171	26,25,32	477,456,488	22,39,21	304,565,283	233	149
172	15,20,21	4,3,4	16,32,12	0,1,0	215	149
174	25,15,14	14,16,10	2,8,0	20,36,10	217	149
177	1,4,0	24,26,4	1,1,0	6,18,15	248	149
179	4,18,12	123,170,190	13,12,4	101,98,61	262	149
180	7,6,1	579,667,633	4,10,2	917,1484,645	235	149
181	167,189,210	0,0,0	173,254,128	7,1,0	215	149
182	11,20,20	126,141,129	17,17,2	97,224,96	260	149
183	8,10,10	24,14,13	0,5,2	19,34,3	248	149
184	10,14,6	0,0,0	11,18,11	1,2,0	224	149
186	30,27,13	21,21,5	18,29,15	18,45,20	242	149
187	82,83,77	849,1136,1013	41,42,43	910,1460,847	214	149
188	1,0,0	7,15,19	1,4,0	3,30,15	223	149
189	0,0,0	31,25,41	0,2,0	45,89,42	231	149
190	6,3,4	442,591,525	3,3,2	412,915,470	221	149
191	178,187,110	1,1,0	145,162,93	5,0,0	305	149
192	0,0,1	95,101,53	0,2,0	14,31,15	402	149
193	67,58,43	2,1,0	30,65,30	0,9,4	232	149
194	13,11,7	9,7,3	4,4,6	2,9,4	321	149
195	1,4,2	34,45,16	0,0,0	13,23,16	270	149
196	14,19,10	1040,1122,924	17,39,8	1181,2199,998	277	149
198	12,21,7	149,175,121	1,8,7	81,170,71	236	149
199	1,5,6	138,200,126	2,2,2	131,261,107	288	149
200	39,51,47	1498,1800,1266	25,24,17	896,1192,665	466	149
201	35,47,45	0,0,4	25,22,17	0,3,1	378	149
202	34,47,43	0,0,0	25,22,17	0,3,0	359	149
203	5,10,8	27,23,23	1,11,9	27,28,25	254	149
204	92,128,128	21,64,79	141,151,94	60,86,46	233	149
205	2,2,1	118,110,95	1,5,0	177,244,93	282	149
206	17,57,37	459,492,480	33,30,18	644,610,394	552	149
