ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	101,64,123	0,2,2	57,46,87	11,2,8	198	99
2	0,0,1	419,299,420	0,0,1	979,650,1173	102	99
4	1283,1183,1698	1,2,3	2466,1366,2693	1,4,1	101	99
6	1,0,2	5,2,1	2,1,0	0,1,2	102	99
10	4,0,3	11,11,16	2,3,0	19,4,23	102	99
11	2,1,3	314,190,355	2,2,6	377,171,356	101	99
12	19,11,20	0,0,0	18,13,25	0,0,2	102	99
13	167,149,194	0,0,0	170,85,249	0,0,1	122	99
15	2,5,6	4,4,5	4,0,2	3,2,2	198	99
16	0,0,0	120,95,126	1,0,2	191,96,218	102	99
18	23,16,30	4,2,8	42,19,55	3,0,4	190	99
20	28,16,38	1,1,1	22,17,40	1,0,0	103	99
26	4,9,17	6,2,0	14,5,11	2,1,3	198	99
27	164,151,238	15,14,20	214,82,215	8,2,15	100	99
28	706,469,1226	43,41,73	849,814,982	77,52,59	101	99
29	0,0,0	438,325,511	2,3,4	513,319,549	102	99
34	139,114,174	19,20,16	130,49,112	20,6,9	198	99
35	153,111,181	4,4,10	131,71,150	0,3,6	104	99
36	40,27,43	37,20,39	27,16,52	30,18,28	104	99
37	4,3,5	173,145,210	0,2,3	227,177,251	118	99
40	0,0,1	100,90,140	2,0,0	228,129,193	125	99
41	46,49,54	9,7,12	64,51,60	23,14,22	113	99
45	11,9,16	0,2,0	12,4,17	5,3,8	110	99
47	36,55,77	0,0,0	66,46,76	1,0,1	185	99
49	27,36,61	36,32,58	71,16,63	40,25,53	101	99
51	1,4,13	17,10,36	4,2,2	44,16,41	156	99
53	0,0,1	257,240,280	0,0,2	346,245,389	115	99
59	107,69,123	1,3,1	98,117,144	7,13,5	141	99
60	0,0,0	112,117,188	0,0,1	162,88,200	113	99
62	41,24,48	12,12,23	44,13,45	13,4,15	103	99
66	44,41,61	0,0,0	74,42,68	1,0,0	104	99
71	72,58,89	24,33,41	125,59,122	37,24,60	101	99
72	4,5,6	68,40,47	1,2,3	55,34,66	109	99
73	2524,1855,3207	0,4,2	2536,1871,2898	10,6,6	104	99
74	0,0,0	143,127,181	0,0,1	146,116,181	100	99
76	0,3,5	11,22,26	0,0,0	13,6,11	132	99
77	132,85,170	1,0,2	147,69,134	0,0,0	198	99
79	916,833,1136	94,73,105	1252,702,1481	247,145,273	122	99
80	0,0,2	36,18,19	0,2,3	24,27,28	103	99
82	25,29,29	44,32,49	21,9,30	60,30,50	110	99
83	0,0,0	83,44,86	0,0,1	138,68,106	198	99
84	31,25,33	4,6,7	31,25,37	8,2,3	102	99
85	4,6,12	57,64,76	7,6,3	59,50,74	102	99
86	22,5,25	42,25,51	20,10,22	59,24,63	109	99
89	10,6,11	0,0,0	13,8,18	1,0,0	139	99
90	291,212,291	0,0,1	306,203,300	2,1,0	107	99
96	130,93,114	0,0,0	211,109,218	2,1,0	105	99
97	124,123,140	6,2,3	432,177,426	2,5,5	198	99
99	0,0,0	17,29,49	2,2,4	31,16,45	125	99
101	9,6,10	80,75,111	8,8,14	151,75,158	122	99
104	228,197,258	0,0,0	269,210,355	1,2,2	138	99
106	0,1,0	1055,816,1325	0,0,0	1517,795,1491	102	99
109	2,3,0	24,23,34	1,0,0	68,30,82	117	99
110	23,47,152	0,1,0	100,10,143	0,0,0	101	99
111	22,25,46	24,22,32	42,20,39	40,24,37	167	99
112	0,3,2	20,12,23	14,3,12	193,86,190	117	99
113	6,7,14	80,69,113	73,31,75	74,39,70	174	99
114	26,16,35	80,69,113	252,114,253	74,39,70	155	99
115	0,1,0	806,591,962	0,0,0	796,497,815	100	99
116	0,1,2	22,13,31	1,1,1	28,23,24	116	99
