ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
1	4,4,5	63,42,90	13,3,9	101,60,88	161	198
2	117,84,126	137,110,154	73,52,97	100,58,130	198	196
3	2,2,7	1,0,0	38,24,47	13,6,6	191	171
4	72,45,77	100,71,128	62,29,51	111,54,97	160	198
5	70,47,112	10,6,1	31,17,36	22,14,12	198	198
6	32,48,52	19,16,27	72,24,44	33,13,28	198	198
7	15,9,11	1,0,0	14,8,15	2,1,0	160	122
8	25,9,22	0,0,0	26,13,23	0,1,0	198	160
9	25,9,21	1,2,6	28,13,21	5,8,9	198	160
10	17,19,16	18,14,30	28,9,20	25,16,30	152	198
11	15,17,26	19,24,39	28,19,33	37,33,36	198	198
12	37,30,29	27,21,33	50,33,53	36,13,32	158	145
13	100,70,126	100,56,119	94,103,131	80,93,137	140	140
14	29,34,52	12,14,27	30,23,38	18,17,15	160	180
16	97,80,154	82,84,117	119,99,155	98,83,142	166	145
17	164,124,290	89,110,145	279,100,225	171,67,138	198	155
18	44,37,75	37,50,70	56,33,65	56,30,82	198	196
19	61,73,89	37,39,56	126,72,117	93,67,89	198	164
20	14,7,19	100,80,98	10,4,8	105,74,117	132	161
21	3440,3096,6196	4270,3869,7662	6396,2755,5989	8243,3445,7613	174	176
22	58,57,85	100,101,118	119,50,94	170,68,149	149	164
23	33,17,45	39,19,34	54,26,42	41,18,47	179	137
24	16,23,31	5,1,3	16,18,32	4,0,0	163	151
25	2,4,4	2,1,0	2,0,1	1,0,0	198	185
26	46,25,61	56,29,46	60,29,47	40,17,48	198	198
27	311,269,405	8,5,9	245,180,342	61,35,96	156	144
28	147,123,235	203,165,287	208,108,213	246,120,293	155	182
29	46,22,41	80,62,86	53,21,42	108,60,87	157	198
30	6,3,2	16,11,15	1,4,4	14,17,20	124	167
31	4,3,1	116,94,157	6,1,8	225,102,185	136	198
32	32,28,51	64,49,67	62,18,49	64,33,87	147	198
33	11,8,26	73,65,95	10,15,20	106,52,126	179	179
34	58,48,75	222,165,257	65,66,74	223,147,265	127	188
35	105,75,130	82,52,88	93,40,95	51,33,51	169	155
36	62,57,69	33,21,50	66,32,75	37,29,49	158	158
37	12,14,36	21,17,18	13,5,18	19,7,17	198	198
38	13,8,17	1,2,1	25,22,43	8,6,5	198	168
39	7,4,6	10,16,22	9,11,19	39,19,37	198	198
40	6,6,8	8,5,7	11,5,5	5,3,10	198	198
41	15,12,18	36,25,40	23,13,21	46,27,48	134	182
42	0,0,0	36,25,40	1,1,0	46,27,48	149	182
43	56,52,66	32,34,37	51,41,77	42,18,32	198	171
44	12,15,33	25,20,27	6,13,6	15,10,10	198	198
45	62,41,67	10,11,11	62,45,61	18,17,19	198	198
46	80,60,67	0,1,0	64,30,73	1,0,0	146	196
47	42,30,46	96,52,105	63,28,35	117,60,112	169	198
48	20,20,31	34,16,32	48,18,29	23,27,32	198	198
49	15,11,10	14,21,29	11,8,12	18,6,17	170	198
50	0,0,5	19,6,20	3,0,2	36,18,37	198	198
51	11,4,10	21,7,19	10,6,9	37,18,37	198	198
52	23,13,36	39,27,59	51,38,36	72,47,93	198	198
53	23,13,36	11,8,5	51,38,36	6,11,16	198	198
54	12,15,18	18,14,19	21,17,15	15,7,8	126	181
55	12,15,18	65,27,59	21,17,15	72,46,84	126	150
56	20,9,24	29,31,52	21,13,27	66,54,75	118	151
57	40,57,61	2,5,8	68,22,61	23,6,9	198	190
58	187,162,246	181,176,222	248,95,224	222,135,230	198	183
60	41,46,91	37,39,75	84,24,75	80,26,71	161	164
61	129,93,167	102,83,101	131,87,143	83,86,92	148	136
62	145,108,153	73,44,67	148,96,164	72,43,69	151	127
64	0,0,0	24,20,36	1,0,0	26,13,35	198	135
65	53,68,95	24,20,36	94,52,92	26,13,35	198	135
66	171,123,195	145,133,169	74,44,115	75,52,84	198	198
67	0,4,1	41,44,55	3,0,8	42,29,59	152	155
68	72,57,106	41,44,55	123,42,144	42,29,59	198	155
69	45,26,41	82,56,82	52,34,54	75,41,63	161	158
70	34,10,25	16,7,10	15,19,30	15,13,14	198	173
71	0,0,2	23,15,36	1,0,0	18,11,27	157	198
72	1151,950,1474	1872,1475,2219	1661,980,1774	2261,1556,2850	158	179
73	17,14,29	90,84,152	28,11,30	161,81,168	172	198
75	22,30,43	49,31,58	37,15,41	46,20,57	158	191
77	265,188,339	50,21,56	276,121,239	44,27,43	198	115
78	53,56,79	135,111,173	96,63,124	220,141,263	130	198
79	135,129,201	96,73,88	196,133,220	119,57,139	198	149
80	12,7,16	40,43,53	10,4,23	43,33,67	148	136
81	11,5,22	33,28,53	15,13,13	39,25,39	142	198
82	70,48,68	77,57,97	73,55,104	82,51,97	145	168
83	13,5,10	74,76,107	5,1,2	95,72,85	168	161
84	84,77,142	72,71,104	104,75,153	86,68,81	168	161
86	305,269,440	701,519,894	548,236,490	1045,445,1005	136	198
87	85,84,127	131,84,189	140,61,123	149,73,142	173	198
