ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	50,29,63	2,0,7	43,29,50	11,10,9	198	99
1	147,92,178	0,2,2	89,64,127	11,2,8	198	99
2	0,1,4	33,23,25	1,0,0	27,19,25	198	99
3	0,2,0	1,0,6	0,1,0	11,1,9	198	99
5	0,0,1	44,61,75	1,0,1	102,18,153	174	99
6	1,0,1	82,52,114	1,0,0	146,94,156	198	99
7	1,1,4	27,27,16	4,2,4	43,28,57	198	99
8	10,19,16	223,182,300	6,5,6	213,150,274	184	99
9	48,35,55	29,18,40	18,10,18	147,108,161	198	99
10	5,4,9	308,178,315	8,7,12	391,210,391	198	99
11	1,0,0	15,14,25	0,0,0	27,10,18	198	99
13	2,3,4	17,16,14	0,0,0	40,24,40	192	99
14	1,0,0	8,9,26	0,1,0	19,18,29	198	99
15	1,1,1	44,46,69	1,1,9	125,39,146	198	99
16	7,4,8	0,0,0	45,28,52	0,0,1	198	99
18	0,0,1	0,0,0	2,2,4	2,0,3	176	99
19	1,0,0	1986,1339,2321	0,0,0	2457,1784,2696	184	99
20	1,0,0	93,91,138	0,0,1	110,63,140	189	99
21	0,1,2	45,34,41	5,4,5	61,38,95	190	99
23	56,50,76	3150,2253,4270	60,35,73	3348,2662,3793	181	99
25	0,3,2	71,44,96	0,0,0	50,31,68	179	99
26	13,7,9	0,1,0	19,10,16	0,0,0	198	99
29	1,3,1	75,30,70	0,0,2	56,38,71	198	99
31	1,0,0	137,44,102	0,0,0	87,62,101	198	99
32	23,9,16	236,183,362	15,14,22	355,183,344	198	99
34	10,14,21	5,4,9	18,10,26	13,3,4	192	99
35	5,8,8	1,0,0	3,2,4	2,1,1	179	99
36	10,9,17	0,0,1	12,12,15	0,0,0	197	99
37	8,9,17	3,5,8	12,12,15	25,9,27	173	99
39	22,15,36	145,101,171	23,17,20	187,119,211	174	99
40	0,1,2	7,6,10	0,0,0	8,3,12	176	99
41	0,0,0	1368,1026,1384	0,1,0	3286,1301,2775	191	99
42	0,0,0	245,185,334	0,0,1	346,121,291	176	99
44	271,147,403	12,18,36	297,292,299	30,20,19	151	99
46	1,1,0	10,5,11	0,1,0	21,14,13	198	99
47	26,18,18	407,350,486	22,12,26	498,314,574	198	99
48	0,1,2	1016,710,1297	3,2,1	1534,807,1853	173	99
49	38,35,57	3,3,1	49,33,41	0,1,10	173	99
50	2,0,1	139,81,141	1,0,1	135,72,128	189	99
52	4,4,10	137,67,130	3,1,2	122,70,116	198	99
53	12,8,15	4,1,3	16,13,15	3,4,4	162	99
54	1,8,3	11,23,19	5,2,4	33,11,12	184	99
57	3,5,5	0,0,3	3,2,8	1,0,0	189	99
58	0,2,0	60,55,92	1,0,0	95,35,81	182	99
60	0,0,0	25,9,35	0,1,0	29,17,39	193	99
61	0,1,0	45,31,68	1,0,0	38,28,33	179	99
62	5,4,9	241,170,345	5,7,3	395,209,441	198	99
64	9,10,8	2,1,0	10,7,12	3,1,1	198	99
69	5,4,18	62,45,84	11,10,9	94,51,76	198	99
70	0,2,3	118,116,200	0,0,2	133,75,175	198	99
71	3,3,1	51,34,62	4,2,2	139,44,137	198	99
72	52,40,68	74,33,74	26,11,21	86,44,81	164	99
73	0,1,0	79,61,99	0,0,0	99,80,114	198	99
74	13,12,10	830,673,1169	22,11,19	1671,889,1599	161	99
76	1,1,0	34,38,73	0,0,2	99,43,97	198	99
77	4,5,3	22,17,38	8,5,10	42,24,47	198	99
81	7,7,13	9,11,15	12,12,10	51,26,54	198	99
83	5,2,2	0,1,0	2,6,6	3,1,0	198	99
85	5,1,2	71,65,85	1,1,1	81,67,81	198	99
86	4,9,3	0,0,5	7,4,7	1,2,2	198	99
90	17,12,14	2,0,0	25,20,34	0,0,1	198	99
91	5,1,3	0,0,1	3,0,5	0,1,0	198	99
94	0,2,1	0,0,0	0,1,0	4,2,2	198	99
95	17,3,13	180,162,237	15,9,18	301,214,374	167	99
100	0,0,0	13,10,10	1,0,0	26,12,25	164	99
101	2,0,3	7,4,4	1,0,2	12,12,11	198	99
103	3,6,1	1,0,0	4,7,11	4,0,1	182	99
104	2,0,1	30,33,41	0,0,0	32,28,31	191	99
105	0,0,0	143,127,181	0,0,1	146,116,181	176	99
107	3,2,2	15,15,24	0,2,0	17,10,14	198	99
108	0,0,2	0,0,0	0,0,2	0,1,1	179	99
109	1,1,3	18,6,18	3,1,2	24,14,22	161	99
110	2,0,0	12,10,25	2,0,0	21,16,35	167	99
111	6,5,23	68,68,100	4,2,7	109,71,119	188	99
112	2,3,2	33,17,40	1,0,0	44,22,46	198	99
113	1,3,1	17,20,21	0,0,0	102,34,77	198	99
114	0,0,0	113,82,169	0,0,1	129,70,125	181	99
117	21,20,37	103,89,123	18,15,18	326,157,333	173	99
118	1,0,3	82,96,161	3,2,3	137,61,110	198	99
119	2,2,3	5,2,4	2,2,3	4,6,11	168	99
121	10,4,11	149,107,149	5,5,11	126,92,195	198	99
122	0,0,0	78,41,60	0,3,2	78,43,98	170	99
123	45,52,82	0,0,0	38,39,64	1,1,0	198	99
128	4,1,5	39,24,48	5,4,3	43,28,42	185	99
129	5,10,10	7,6,6	8,3,16	14,4,21	198	99
130	0,0,2	6,9,17	1,0,0	15,9,15	179	99
133	2,0,2	4,4,6	1,4,2	10,2,4	198	99
134	0,0,3	33,17,26	2,0,1	22,26,18	198	99
135	70,42,86	23,30,97	101,37,109	47,27,58	198	99
136	4,3,7	274,267,383	3,2,3	375,199,473	185	99
137	87,60,64	79,85,114	41,20,51	125,66,153	185	99
140	2,0,0	102,56,103	0,0,0	111,54,115	194	99
142	0,1,1	26,24,34	0,0,1	28,14,38	198	99
143	8,8,12	15,26,26	10,5,6	32,9,30	198	99
144	3,3,5	6,1,4	2,0,5	4,6,3	198	99
145	7,0,11	145,155,146	5,3,13	509,213,486	198	99
148	3,3,0	0,0,0	0,2,5	2,0,2	198	99
149	3,3,0	64,37,49	0,2,5	71,34,87	198	99
150	0,0,1	25,18,48	0,0,0	45,17,27	191	99
151	0,0,0	105,69,99	0,1,0	142,79,125	179	99
152	0,0,1	79,82,102	0,0,0	129,56,134	181	99
153	1,2,2	23,15,43	0,1,1	30,7,28	198	99
154	1,1,0	426,378,676	3,0,0	1028,427,1095	198	99
155	2,1,6	28,29,55	2,1,5	64,34,65	198	99
160	7,4,13	40,27,54	4,2,10	45,34,50	196	99
161	8,6,16	172,137,212	9,5,12	340,228,377	198	99
163	0,0,2	124,100,199	0,0,0	146,85,136	198	99
165	1,2,3	10,10,32	1,1,1	39,10,28	179	99
166	3,1,2	152,143,236	10,5,8	275,148,295	185	99
169	15,18,39	24,35,40	24,10,18	101,42,118	196	99
170	2,2,1	360,281,495	2,0,0	500,334,633	172	99
171	4,4,5	217,158,302	4,8,6	224,155,287	182	99
172	0,1,2	0,0,3	1,2,1	1,0,0	164	99
174	8,2,7	5,2,6	2,0,8	16,7,14	166	99
179	4,2,6	61,65,95	4,6,6	74,56,64	198	99
180	1,1,0	983,790,1115	0,0,0	902,584,915	184	99
181	2,4,12	0,1,4	7,3,3	0,0,0	164	99
182	0,0,0	158,111,201	0,1,0	259,134,281	198	99
183	0,0,0	17,12,15	1,0,0	21,20,9	197	99
186	2,1,3	24,16,26	1,1,1	43,23,44	191	99
187	30,18,41	757,570,834	27,16,33	718,487,944	163	99
189	0,0,0	39,23,29	0,0,2	51,36,56	180	99
190	0,0,0	498,342,653	0,0,1	719,374,710	170	99
191	7,3,5	0,0,0	4,3,11	4,0,1	198	99
193	2,2,5	4,1,1	4,5,4	5,2,6	181	99
196	0,1,3	1162,891,1453	0,0,1	1803,1014,1986	198	99
198	2,0,4	139,78,131	0,1,1	117,78,127	185	99
199	4,1,0	123,108,219	0,0,1	171,107,180	198	99
200	0,0,3	1698,1310,2637	1,1,1	2810,958,2228	198	99
201	0,0,3	1,1,1	3,1,0	5,1,3	198	99
202	0,0,4	2,0,3	2,1,0	1,4,0	198	99
203	0,0,1	17,10,22	0,0,1	14,11,27	198	99
204	82,41,95	74,34,82	68,47,76	70,68,96	182	99
205	3,2,3	166,105,220	0,0,3	216,165,200	198	99
206	13,10,18	467,330,525	12,9,16	444,304,550	198	99
207	27,28,32	22,23,38	25,20,45	33,11,33	198	99
208	2,3,6	126,74,111	2,3,3	112,82,112	198	99
210	101,67,109	41,34,67	94,65,112	53,32,61	198	99
212	15,14,32	0,1,1	31,19,32	2,2,5	185	99
213	0,2,3	0,1,2	3,0,0	2,2,0	198	99
214	4,0,2	47,33,65	0,1,1	51,32,49	190	99
215	68,63,102	0,8,8	119,72,115	4,2,10	198	99
216	1,3,4	102,96,179	4,9,20	188,104,175	198	99
218	7,4,9	1106,969,1610	0,0,3	1421,574,1470	191	99
219	0,1,0	56,46,62	0,0,0	56,34,57	184	99
220	0,0,1	760,522,904	0,1,0	628,362,740	194	99
221	6,8,4	7,5,8	5,7,8	25,9,30	167	99
223	0,0,1	26,30,46	2,0,0	41,33,57	198	99
224	1,0,0	9,21,25	0,0,0	20,16,32	191	99
225	12,5,13	474,338,534	9,4,11	515,396,583	189	99
226	2,7,7	281,253,312	3,1,8	350,198,457	191	99
227	0,0,0	17,20,19	0,0,2	11,6,20	171	99
228	5,3,1	97,59,101	3,1,3	106,93,148	198	99
229	5,3,1	0,0,0	2,1,1	2,2,0	198	99
231	9,11,8	125,94,169	9,11,7	221,98,208	194	99
232	1,0,0	46,41,72	0,0,0	64,29,64	177	99
235	2,3,0	165,119,167	0,0,0	179,86,162	188	99
236	42,41,35	0,1,2	57,34,86	1,1,0	198	99
237	2,0,4	33,40,51	5,0,4	77,50,98	191	99
238	21,11,12	221,176,233	21,9,17	283,155,274	198	99
239	4,4,5	3,0,0	2,5,1	2,1,3	198	99
240	5,4,13	69,42,56	6,1,4	93,58,106	198	99
241	1,1,0	64,39,59	0,0,1	42,37,70	198	99
244	2,4,4	20,12,10	1,0,2	8,4,10	198	99
247	1,0,1	1191,791,1324	0,0,0	915,572,1060	190	99
248	0,0,6	69,48,66	1,3,3	50,17,23	198	99
249	0,1,0	153,103,204	0,1,0	146,84,177	184	99
251	0,4,1	3,1,5	1,0,0	5,0,4	198	99
252	1,2,0	14,5,10	0,1,0	12,7,18	183	99
253	1,1,0	178,160,234	0,0,0	269,163,310	167	99
254	110,92,115	898,676,1065	123,43,171	1038,690,1308	182	99
256	3,0,5	86,68,100	3,2,1	128,85,122	178	99
257	18,19,26	13,9,11	7,4,8	24,5,5	179	99
258	19,18,22	1087,834,1430	25,14,16	1405,968,1476	196	99
259	2,1,3	187,126,217	5,1,1	185,137,213	197	99
260	1,3,3	183,137,190	0,0,1	198,139,232	177	99
261	1,1,2	19,7,19	1,0,3	13,4,21	198	99
263	0,0,0	18,14,25	0,1,1	25,12,25	198	99
264	0,1,0	7,18,19	0,0,1	25,7,23	179	99
267	0,0,0	1,0,2	1,0,0	5,9,3	166	99
268	1,0,0	0,0,0	2,2,0	0,1,0	198	99
269	0,1,0	41,28,55	1,1,2	60,34,41	188	99
271	11,7,11	0,0,2	7,14,8	3,1,4	189	99
274	63,38,67	0,0,2	88,41,76	0,0,0	198	99
275	5,9,11	330,317,431	5,1,7	515,236,398	198	99
278	8,3,3	262,201,313	4,10,2	326,212,320	198	99
279	0,1,4	102,88,131	1,1,0	171,90,192	176	99
280	0,0,1	64,86,117	0,2,0	133,88,172	179	99
