ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	102,64,123	0,2,2	57,46,87	11,2,8	228	99
2	0,0,1	419,299,420	0,0,1	979,650,1173	103	99
4	1283,1183,1698	1,2,3	2466,1366,2693	1,4,1	102	99
6	1,0,2	5,2,1	2,1,0	0,1,2	103	99
10	4,0,3	11,11,16	2,3,0	19,4,23	103	99
11	2,1,3	314,190,355	2,2,6	377,171,356	102	99
12	19,11,20	0,0,0	18,13,25	0,0,2	103	99
13	167,149,194	0,0,0	170,85,249	0,0,1	123	99
15	2,5,6	4,4,5	4,0,2	3,2,2	368	99
16	0,0,0	120,95,126	1,0,2	191,96,218	103	99
18	23,16,30	4,2,8	42,19,55	3,0,4	191	99
20	28,16,38	1,1,1	22,17,40	1,0,0	104	99
26	4,9,17	6,2,0	14,5,11	2,1,3	269	99
27	164,151,238	15,14,20	214,82,215	8,2,15	101	99
28	706,469,1226	43,41,73	849,814,982	77,52,59	102	99
29	0,0,0	438,325,511	2,3,4	513,319,549	103	99
34	139,115,175	19,20,16	131,49,112	20,6,9	295	99
35	153,111,181	4,4,10	131,71,150	0,3,6	105	99
36	40,27,43	37,20,39	27,16,52	30,18,28	105	99
37	4,3,5	173,145,210	0,2,3	227,177,251	119	99
40	0,0,1	100,90,140	2,0,0	228,129,193	126	99
41	46,49,54	9,7,12	64,51,60	23,14,22	114	99
45	11,9,16	0,2,0	12,4,17	5,3,8	111	99
47	36,55,77	0,0,0	66,46,76	1,0,1	186	99
49	27,36,61	36,32,58	71,16,63	40,25,53	102	99
51	1,4,13	17,10,36	4,2,2	44,16,41	157	99
53	0,0,1	257,240,280	0,0,2	346,245,389	116	99
59	107,69,123	1,3,1	98,117,144	7,13,5	142	99
60	0,0,0	112,117,188	0,0,1	162,88,200	114	99
62	41,24,48	12,12,23	44,13,45	13,4,15	104	99
66	44,41,61	0,0,0	74,42,68	1,0,0	105	99
71	72,58,89	24,33,41	125,59,122	37,24,60	102	99
