ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
1	4,4,5	63,42,90	13,3,9	101,60,88	162	209
2	117,84,127	137,110,154	73,52,97	100,58,130	202	197
3	2,2,7	1,0,0	38,24,47	13,6,6	192	172
4	72,45,77	100,71,128	62,29,51	111,54,97	161	199
5	70,47,113	10,6,1	31,17,36	22,14,12	201	210
6	35,48,53	19,16,28	74,24,47	33,13,28	346	261
7	15,9,11	1,0,0	14,8,15	2,1,0	161	123
8	25,9,22	0,0,0	26,13,23	0,1,0	205	161
9	25,9,21	1,2,6	28,13,21	5,8,9	205	161
10	17,19,16	18,15,30	28,9,20	25,16,30	153	216
11	15,18,26	19,24,40	28,19,33	37,33,36	216	209
12	37,30,29	27,21,33	50,33,53	36,13,32	159	146
13	100,70,126	100,56,119	94,103,131	80,93,137	141	141
14	29,34,52	12,14,27	30,23,38	18,17,15	161	181
16	97,80,154	82,84,117	119,99,155	98,83,142	167	146
17	164,124,290	89,110,145	279,101,225	171,67,138	209	156
18	44,37,75	37,50,70	56,33,65	56,30,82	223	197
19	61,73,89	37,39,56	126,73,117	93,67,89	212	165
20	14,7,19	100,80,98	10,4,8	105,74,117	133	162
21	3440,3096,6196	4270,3869,7662	6396,2755,5989	8243,3445,7613	175	177
22	58,57,85	100,101,118	119,50,94	170,68,149	150	165
23	33,17,45	39,19,34	54,26,42	41,18,47	180	138
24	16,23,31	5,1,3	16,18,32	4,0,0	164	152
25	2,4,4	2,1,0	2,0,1	1,0,0	278	186
26	46,25,61	56,29,47	60,29,48	40,18,48	238	244
27	311,269,405	8,5,9	245,180,342	61,35,96	157	145
28	147,123,235	203,165,287	208,108,213	246,120,293	156	183
29	46,22,41	80,62,86	53,21,42	108,60,87	158	210
30	6,3,2	16,11,15	1,4,4	14,17,20	125	168
31	4,3,1	118,96,161	6,1,8	227,104,186	137	323
32	32,28,51	64,49,67	62,18,49	64,33,87	148	214
33	11,8,26	73,65,95	10,15,20	106,52,126	180	180
34	58,48,75	222,165,257	65,66,74	223,147,265	128	189
35	105,75,130	82,52,88	93,40,95	51,33,51	170	156
36	62,57,69	33,21,50	66,32,75	37,29,49	159	159
37	12,14,36	21,17,18	13,5,18	19,7,17	211	212
38	13,8,17	1,2,1	25,22,43	8,6,5	212	169
39	7,4,6	11,16,23	9,11,19	40,19,37	212	341
40	6,6,8	8,5,7	11,5,5	5,3,10	213	292
41	15,12,18	36,25,40	23,13,21	46,27,48	135	183
42	0,0,0	36,25,40	1,1,0	46,27,48	150	183
43	56,52,66	32,34,37	51,41,77	42,18,32	207	172
44	12,15,33	26,20,27	7,13,6	15,10,10	203	277
45	62,41,68	11,15,17	62,45,61	19,18,20	213	346
46	80,60,67	0,1,0	64,30,73	1,0,0	147	197
47	42,30,46	96,52,105	63,28,35	117,60,112	170	240
48	28,27,34	34,16,32	50,23,34	23,27,32	1981	220
49	15,11,10	14,21,29	11,8,12	18,6,18	171	270
50	1,0,5	22,8,21	3,0,2	37,19,39	654	825
51	11,6,12	24,9,20	10,7,11	38,19,39	723	825
52	23,13,36	39,27,59	52,38,36	73,47,93	224	213
53	23,13,36	11,8,5	52,38,36	7,11,16	224	235
54	12,15,18	18,14,19	21,17,15	15,7,8	127	182
55	12,15,18	65,27,59	21,17,15	72,46,84	127	151
56	20,9,24	29,31,52	21,13,27	66,54,75	119	152
57	40,57,63	2,5,8	68,23,61	23,6,9	336	191
58	191,166,247	181,176,222	251,95,229	222,135,230	516	184
60	41,46,91	37,39,75	84,24,75	80,26,71	162	165
61	129,93,167	102,83,101	131,87,143	83,86,92	149	137
62	145,108,153	73,44,67	148,96,164	72,43,69	152	128
64	1,0,2	24,20,36	1,1,0	26,13,35	468	136
65	54,68,97	24,20,36	94,53,92	26,13,35	358	136
66	176,127,201	148,134,170	77,45,117	79,52,84	346	261
67	0,4,1	41,44,55	3,0,8	42,29,59	153	156
68	72,57,106	41,44,55	123,42,144	42,29,59	276	156
69	45,26,41	82,56,82	52,34,54	75,41,63	162	159
70	34,10,26	16,7,10	15,19,30	15,13,14	220	174
71	0,0,2	23,15,36	1,0,0	18,11,27	158	210
72	1151,950,1474	1872,1475,2219	1661,980,1774	2261,1556,2850	159	180
73	17,14,29	90,84,153	28,11,30	162,82,170	173	232
75	22,30,43	49,31,58	37,15,41	46,20,57	159	192
77	266,188,339	50,21,56	276,121,239	44,27,43	217	116
78	53,56,79	135,112,173	96,63,124	220,142,265	131	231
79	135,130,201	96,73,88	196,134,222	119,57,139	231	150
80	12,7,16	40,43,53	10,4,23	43,33,67	149	137
81	11,5,22	33,28,53	15,13,13	39,25,39	143	216
82	70,48,68	77,57,97	73,55,104	82,51,97	146	169
83	13,5,10	74,76,107	5,1,2	95,72,85	169	162
84	84,77,142	72,71,104	104,75,153	86,68,81	169	162
86	305,269,440	701,519,894	548,236,490	1045,445,1005	137	201
87	85,84,127	131,84,189	140,61,123	151,73,142	174	204
