ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
4	"AT1G74560"	"NRP1"	chr1	-	28018137	28018197	28018137	28018194	28018286	28018350	4	0,3,3	15,16,13	21,26,11	9,7,4	102	99	4.8783199702e-13	1.28954039522e-12	0.0,0.154,0.183	0.694,0.783,0.727	-0.622
6	"AT1G77600"	"AT1G77600"	chr1	-	29153069	29153164	29153069	29153143	29153437	29153544	6	6,6,7	0,0,1	1,0,0	1,3,1	120	99	9.32619981242e-10	2.30451748988e-09	1.0,1.0,0.852	0.452,0.0,0.0	0.8
7	"AT1G77600"	"AT1G77600"	chr1	-	29156553	29156698	29156553	29156671	29156844	29156975	7	0,0,0	5,3,3	3,2,0	0,0,0	126	99	1	1.0	0.0,0.0,0.0	1.0,1.0,NA	-1.0
8	"AT1G77600"	"AT1G77600"	chr1	-	29158727	29158949	29158727	29158907	29159083	29159272	8	1,0,0	3,6,5	0,0,0	2,2,2	141	99	1	1.0	0.19,0.0,0.0	0.0,0.0,0.0	0.063
9	"AT1G61900"	"AT1G61900"	chr1	-	22882672	22882717	22882672	22882710	22882814	22882958	9	0,13,12	16,19,15	5,4,7	20,13,16	106	99	0.738222111645	0.94282299652	0.0,0.39,0.428	0.189,0.223,0.29	0.039
23	"AT1G52870"	"AT1G52870"	chr1	+	19687276	19687392	19687280	19687392	19686913	19687201	23	1,6,2	10,6,2	7,4,3	7,9,9	103	99	0.746493585924	0.949829525373	0.088,0.49,0.49	0.49,0.299,0.243	0.012
26	"AT1G36070"	"AT1G36070"	chr1	-	13470095	13470269	13470095	13470266	13470338	13470394	26	8,6,6	73,51,52	28,21,31	4,9,8	102	99	0	0.0	0.096,0.102,0.101	0.872,0.694,0.79	-0.686
27	"AT1G26630"	"ELF5A-2"	chr1	+	9206971	9207383	9206993	9207383	9206816	9206891	27	25,28,27	3,2,2	17,11,7	46,45,38	121	99	0	0.0	0.872,0.92,0.917	0.232,0.167,0.131	0.726
30	"AT1G67325"	"AT1G67325"	chr1	-	25210282	25210310	25210282	25210307	25210503	25210613	30	30,24,23	38,52,39	24,20,32	39,32,50	102	99	0.82422667848	1.0	0.434,0.309,0.364	0.374,0.378,0.383	-0.009
31	"AT1G07890"	"APX1"	chr1	+	2437677	2437741	2437680	2437741	2437477	2437555	31	145,121,150	3,0,1	16,9,12	4,2,4	102	99	4.42703924741e-07	9.99748598256e-07	0.979,1.0,0.993	0.795,0.814,0.744	0.206
32	"AT1G62610"	"AT1G62610"	chr1	-	23181462	23182358	23181462	23182355	23182684	23183227	32	8,9,14	8,8,17	9,7,9	6,6,8	102	99	0.444848886273	0.615533197757	0.493,0.522,0.444	0.593,0.531,0.522	-0.062
34	"AT1G09080"	"MED37B"	chr1	-	2931375	2931670	2931375	2931640	2931731	2931841	34	3,7,4	58,58,66	103,154,164	4,1,0	129	99	0	0.0	0.038,0.085,0.044	0.952,0.992,1.0	-0.926
42	"AT1G27385"	"AT1G27385"	chr1	-	9512115	9512219	9512115	9512216	9512570	9512820	42	0,2,0	38,39,43	81,88,90	0,4,1	102	99	0	0.0	0.0,0.047,0.0	1.0,0.955,0.989	-0.966
43	"AT1G52615"	"AT1G52615"	chr1	-	19600530	19601352	19600530	19601329	19601690	19602345	43	36,51,46	1,1,1	3,6,4	77,76,83	122	99	0	0.0	0.967,0.976,0.974	0.031,0.06,0.038	0.929
44	"AT1G08420"	"BSL2"	chr1	+	2652965	2653145	2652980	2653145	2652660	2652742	44	5,5,3	15,10,15	8,5,6	1,0,1	114	99	1	1.0	0.224,0.303,0.148	0.874,1.0,0.839	-0.679
