ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"AT4G35785"	"AT4G35785"	chr4	-	16953724	16953890	16953853	16953890	16953522	16953592	0	150,170,118	2,0,1	84,161,93	10,14,0	277	149	3.908547902e-07	8.14541382777e-06	0.976,1.0,0.984	0.819,0.861,1.0	0.093
1	"AT4G32590"	"AT4G32590"	chr4	+	15722015	15722073	15722015	15722069	15722237	15722300	1	0,0,2	416,461,396	0,2,1	795,1131,658	152	149	1	1.0	0.0,0.0,0.005	0.0,0.002,0.001	0.001
4	"AT1G52220"	"CURT1C"	chr1	-	19454377	19454697	19454380	19454697	19454186	19454273	4	1232,1245,1174	1,4,2	1510,2801,1615	0,0,0	151	149	1	1.0	0.999,0.997,0.998	1.0,1.0,1.0	-0.002
5	"AT2G43920"	"HOL2"	chr2	-	18189716	18189767	18189720	18189767	18189505	18189584	5	0,2,0	106,96,95	0,0,0	139,312,139	152	149	1	1.0	0.0,0.02,0.0	0.0,0.0,0.0	0.007
6	"AT4G33520"	"PAA1"	chr4	+	16125440	16125525	16125440	16125521	16125625	16126150	6	2,1,2	4,6,2	0,0,1	1,0,0	152	149	1	1.0	0.329,0.14,0.495	0.0,NA,1.0	-0.179
10	"AT4G20350"	"AT4G20350"	chr4	+	10988717	10988760	10988717	10988756	10988855	10988968	10	0,0,2	13,12,6	2,1,0	9,21,14	152	149	0.881398734607	1.0	0.0,0.0,0.246	0.179,0.045,0.0	0.007
11	"AT1G78870"	"UBC35"	chr1	+	29650928	29651018	29650928	29651015	29651315	29651374	11	3,16,10	219,275,185	6,6,4	205,291,153	151	149	0.0699391696513	0.288132379293	0.013,0.054,0.051	0.028,0.02,0.025	0.015
12	"AT3G03100"	"AT3G03100"	chr3	-	706206	706302	706210	706302	705821	705927	12	12,21,10	0,0,0	14,16,13	0,2,0	152	149	1	1.0	1.0,1.0,1.0	1.0,0.887,1.0	0.038
14	"AT1G15860"	"AT1G15860"	chr1	+	5456303	5456437	5456303	5456410	5456503	5456569	14	0,2,0	113,150,143	0,0,0	159,244,122	175	149	1	1.0	0.0,0.011,0.0	0.0,0.0,0.0	0.004
15	"AT4G03200"	"AT4G03200"	chr4	+	1408158	1408858	1408158	1408589	1409307	1409386	15	5,3,1	0,7,0	0,0,3	0,1,2	298	149	1	1.0	1.0,0.176,1.0	NA,0.0,0.429	0.511
