ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"AT4G35785"	"AT4G35785"	chr4	-	16953724	16953890	16953522	16953592	16953969	16954119
1	"AT4G35785"	"AT4G35785"	chr4	-	16953853	16953890	16953522	16953592	16953969	16954119
2	"AT4G35785"	"AT4G35785"	chr4	-	16953969	16954119	16953522	16953592	16954236	16954333
3	"AT4G35785"	"AT4G35785"	chr4	-	16955027	16955050	16954564	16954705	16955124	16955266
4	"AT1G07080"	"AT1G07080"	chr1	+	2170523	2170589	2169981	2170350	2170701	2170842
5	"AT5G16715"	"EMB2247"	chr5	+	5486566	5486661	5486230	5486314	5486956	5487048
6	"AT5G16715"	"EMB2247"	chr5	+	5487451	5487504	5487290	5487344	5487587	5487649
7	"AT2G46640"	"AT2G46640"	chr2	+	19148892	19148938	19148661	19148797	19149192	19149509
8	"AT1G77600"	"AT1G77600"	chr1	-	29156006	29156141	29155720	29155914	29156553	29156671
9	"AT1G77600"	"AT1G77600"	chr1	-	29158346	29158486	29157965	29158092	29158727	29158907
10	"AT1G61900"	"AT1G61900"	chr1	-	22883058	22883070	22882814	22882958	22883181	22883427
11	"AT1G52220"	"CURT1C"	chr1	-	19453906	19453944	19453568	19453824	19454031	19454094
12	"AT1G52220"	"CURT1C"	chr1	-	19454186	19454273	19454031	19454094	19454377	19454697
13	"AT1G33360"	"AT1G33360"	chr1	+	12093195	12093278	12093016	12093078	12093382	12093462
14	"AT5G16480"	"AT5G16480"	chr5	-	5381828	5381886	5381700	5381744	5382113	5382207
15	"AT5G04830"	"AT5G04830"	chr5	-	1403576	1403673	1403024	1403108	1403770	1403961
16	"AT4G35850"	"AT4G35850"	chr4	+	16983805	16983944	16983524	16983665	16984116	16984279
17	"AT1G68820"	"AT1G68820"	chr1	+	25866631	25866701	25866458	25866543	25866794	25866864
18	"AT1G06290"	"ACX3"	chr1	+	1923140	1923258	1922351	1922892	1923352	1923460
19	"AT5G14060"	"AK2"	chr5	+	4537774	4537891	4537607	4537703	4537972	4538092
20	"AT5G20180"	"AT5G20180"	chr5	+	6811094	6811168	6810963	6810996	6811300	6811466
21	"AT5G38880"	"AT5G38880"	chr5	-	15566705	15566847	15566335	15566506	15567162	15567702
22	"AT1G72500"	"AT1G72500"	chr1	-	27297417	27297507	27297220	27297337	27297596	27297812
23	"AT1G72500"	"AT1G72500"	chr1	-	27297896	27298055	27297596	27297812	27298175	27298556
24	"AT5G57815"	"COX6B-2"	chr5	+	23427225	23427314	23426667	23426764	23427388	23427470
25	"AT5G53486"	"AT5G53486"	chr5	+	21721956	21722013	21721821	21721888	21722228	21722293
26	"AT1G33265"	"FAX4"	chr1	+	12066989	12067054	12066594	12066896	12067483	12067571
27	"AT4G03200"	"AT4G03200"	chr4	+	1408986	1409008	1408785	1408858	1409307	1409386
28	"AT5G49152"	"AT5G49152"	chr5	+	19928687	19928717	19928284	19928441	19928813	19928950
29	"AT3G28760"	"AT3G28760"	chr3	-	10794151	10794220	10793932	10794073	10794295	10794394
30	"AT4G11410"	"AT4G11410"	chr4	-	6945781	6945866	6945404	6945451	6945965	6946044
31	"AT4G19400"	"AT4G19400"	chr4	-	10581400	10581510	10581203	10581318	10581638	10581708
32	"AT3G48110"	"GLYRS-2"	chr3	+	17768228	17768300	17768003	17768090	17768411	17768470
33	"AT5G66250"	"AT5G66250"	chr5	+	26469043	26469801	26468546	26468711	26470207	26470554
34	"AT5G66250"	"AT5G66250"	chr5	+	26469048	26469801	26468534	26468711	26470207	26470554
35	"AT5G66250"	"AT5G66250"	chr5	+	26469992	26470052	26469048	26469801	26470207	26470554
36	"AT5G53700"	"AT5G53700"	chr5	+	21801495	21801639	21801387	21801422	21801721	21801889
37	"AT1G66410"	"CAM4"	chr1	-	24775511	24775541	24774259	24774804	24775709	24775984
38	"AT2G18910"	"AT2G18910"	chr2	-	8193497	8193595	8192707	8193069	8193887	8194338
39	"AT5G21170"	"KINB1"	chr5	+	7207223	7207334	7205666	7205915	7207422	7207598
40	"AT4G16510"	"AT4G16510"	chr4	+	9303437	9303522	9303274	9303352	9303616	9303705
41	"AT3G18035"	"HON4"	chr3	-	6169771	6169837	6169089	6169668	6170380	6171262
42	"AT5G25150"	"TAF5"	chr5	+	8678163	8678220	8677967	8678065	8678336	8678424
43	"AT5G20930"	"TOUSLED"	chr5	+	7100591	7100704	7099889	7099934	7101014	7101081
44	"AT3G26590"	"AT3G26590"	chr3	-	9762278	9762397	9762095	9762182	9762607	9762846
45	"AT2G45950"	"ASK20"	chr2	-	18905228	18905320	18904981	18905154	18905736	18905806
46	"AT5G24205"	"AT5G24205"	chr5	-	8211361	8211468	8211211	8211256	8211624	8211680
47	"AT1G36070"	"AT1G36070"	chr1	-	13470338	13470394	13470095	13470266	13470509	13470899
48	"AT1G36070"	"AT1G36070"	chr1	-	13470338	13470394	13470095	13470269	13470509	13470899
49	"AT5G47750"	"D6PKL2"	chr5	-	19340983	19341920	19339702	19340826	19342145	19342361
50	"AT1G07890"	"APX1"	chr1	+	2437677	2437741	2437477	2437555	2437992	2438123
51	"AT1G07890"	"APX1"	chr1	+	2437677	2437833	2437477	2437555	2437992	2438123
52	"AT1G07890"	"APX1"	chr1	+	2437680	2437741	2437477	2437555	2437992	2438123
53	"AT1G07890"	"APX1"	chr1	+	2437680	2437833	2437436	2437555	2437992	2438123
54	"AT4G12020"	"WRKY19"	chr4	+	7208343	7208416	7208086	7208244	7208515	7208563
