ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"AT4G35785"	"AT4G35785"	chr4	-	16953522	16953890	16953522	16953592	16953724	16953890	0	171,226,211	6,4,0	154,202,74	5,16,12	281	149	6.50284226977e-06	6.42509089481e-05	0.938,0.968,1.0	0.942,0.87,0.766	0.109
1	"AT4G35785"	"AT4G35785"	chr4	-	16953522	16953890	16953522	16953592	16953853	16953890	1	315,392,329	2,0,1	233,347,155	10,14,0	410	149	2.05880958615e-07	3.01848050615e-06	0.983,1.0,0.992	0.894,0.9,1.0	0.06
2	"AT5G06710"	"HAT14"	chr5	-	2068962	2069490	2068962	2069042	2069164	2069490	2	3,2,6	23,22,38	2,3,0	34,38,25	271	149	0.0392649044409	0.133069655406	0.067,0.048,0.08	0.031,0.042,0.0	0.041
3	"AT1G61970"	"AT1G61970"	chr1	+	22906472	22907630	22906472	22907329	22907434	22907630	3	25,12,11	10,5,10	12,20,6	9,10,4	254	149	0.691921847427	1.0	0.595,0.585,0.392	0.439,0.54,0.468	0.042
5	"AT1G11720"	"SS3"	chr1	+	3952344	3953618	3952344	3952408	3952484	3953618	5	4,3,6	53,59,14	1,1,3	22,52,13	225	149	0.0956574428984	0.275166505046	0.048,0.033,0.221	0.029,0.013,0.133	0.042
6	"AT3G06080"	"TBL10"	chr3	-	1834706	1835642	1834706	1835349	1835483	1835642	6	7,12,7	116,98,97	5,15,5	118,273,97	283	149	0.119691306596	0.323807731237	0.031,0.061,0.037	0.022,0.028,0.026	0.018
7	"AT3G61600"	"POB1"	chr3	+	22797127	22798320	22797127	22797937	22798053	22798320	7	35,58,54	20,34,19	77,69,57	67,111,35	265	149	0.00868589455034	0.0358885370285	0.496,0.49,0.615	0.393,0.259,0.478	0.157
8	"AT4G02260"	"RSH1"	chr4	+	990214	990810	990214	990662	990748	990810	8	47,61,40	321,383,375	30,34,15	233,490,252	235	149	0.00152598400507	0.00812361766629	0.085,0.092,0.063	0.075,0.042,0.036	0.029
9	"AT3G53970"	"AT3G53970"	chr3	+	19986685	19986960	19986685	19986758	19986879	19986960	9	136,163,176	34,21,21	40,44,30	118,216,86	270	149	0	0.0	0.688,0.811,0.822	0.158,0.101,0.161	0.634
10	"AT1G78870"	"UBC35"	chr1	+	29651771	29652046	29651771	29651845	29651948	29652046	10	89,82,69	375,471,367	63,86,44	387,557,261	252	149	0.113845775063	0.312645950249	0.123,0.093,0.1	0.088,0.084,0.091	0.018
11	"AT2G43190"	"AT2G43190"	chr2	+	17955988	17956430	17955988	17956062	17956198	17956430	11	5,10,2	13,13,13	0,3,1	4,16,6	285	149	0.0121136619818	0.048295257638	0.167,0.287,0.074	0.0,0.089,0.08	0.12
13	"AT5G37370"	"ATSRL1"	chr5	-	14815697	14816046	14815697	14815843	14815937	14816046	13	19,40,27	0,8,0	14,27,22	18,30,9	243	149	1.48685487811e-07	2.29076454949e-06	1.0,0.754,1.0	0.323,0.356,0.6	0.492
14	"AT4G02540"	"AT4G02540"	chr4	+	1117153	1119817	1117153	1118897	1119006	1119817	14	15,16,10	21,37,34	3,13,10	9,81,21	258	149	0.0538589846423	0.171295820262	0.292,0.2,0.145	0.161,0.085,0.216	0.058
15	"AT4G03200"	"AT4G03200"	chr4	+	1408158	1408858	1408158	1408589	1408785	1408858	15	2,2,0	37,39,18	2,3,1	19,83,33	345	149	0.688685806021	1.0	0.023,0.022,0.0	0.043,0.015,0.013	-0.009
18	"AT2G05510"	"AT2G05510"	chr2	+	2016225	2016749	2016225	2016354	2016432	2016749	18	17,3,16	2,2,2	35,98,63	8,8,6	227	149	0.959457756798	1.0	0.848,0.496,0.84	0.742,0.889,0.873	-0.107
19	"AT3G18780"	"ACT2"	chr3	+	6476066	6477204	6476066	6476680	6476766	6477204	19	4,4,1	2073,2650,2814	4,6,1	2783,4390,2062	235	149	1	1.0	0.001,0.001,0.0	0.001,0.001,0.0	0.0
20	"AT5G28850"	"B''BETA"	chr5	-	10879268	10879556	10879268	10879359	10879450	10879556	20	0,2,4	56,54,22	3,1,1	21,70,33	240	149	0.896957774841	1.0	0.0,0.022,0.101	0.081,0.009,0.018	0.005
