cluster	status	loglr	df	p	p.adjust	genes
chr1:clu_1000_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G29560
chr1:clu_1001_NA	Success	0.0459919661038839	1	0.761669986813687	0.892822928356939	AT1G29850
chr1:clu_1002_NA	Success	2.37768226425032	6	0.575550338782694	0.778588045633712	NA
chr1:clu_1003_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chr1:clu_1004_NA	Not enough valid samples	NA	NA	NA	NA	NA
chr1:clu_1005_NA	Not enough valid samples	NA	NA	NA	NA	NA
chr1:clu_1006_NA	Not enough valid samples	NA	NA	NA	NA	NA
chr1:clu_1007_NA	Success	0.838832297821341	4	0.794770767712336	0.908696952845162	NA
chr1:clu_1008_NA	Not enough valid samples	NA	NA	NA	NA	NA
chr1:clu_1009_NA	Success	0.643156260041224	1	0.256728619930828	0.493960937518473	AT1G30130
chr1:clu_1010_NA	Success	2.03649983606942	1	0.0435738296306814	0.157147244421656	AT1G30200
chr1:clu_1011_NA	Success	0.000391012756892906	1	0.977690290222454	0.990325865393484	AT1G30230
chr1:clu_1012_NA	Not enough valid samples	NA	NA	NA	NA	NA
chr1:clu_1013_NA	Success	2.50373505668659	1	0.0252381637796433	0.107022593242791	ARF6
chr1:clu_1014_NA	Success	0.491496467019545	1	0.321461014334566	0.561857946793458	ERD4
chr1:clu_1015_NA	Success	5.13383829172642	1	0.00135381186028699	0.0145644862342325	ATMRP13
chr1:clu_1016_NA	Not enough valid samples	NA	NA	NA	NA	ATMRP13
chr1:clu_1017_NA	Success	0.333041209437837	1	0.414420797530588	0.647733905938167	ATMRP13
chr1:clu_1018_NA	Not enough valid samples	NA	NA	NA	NA	ABCC11
chr1:clu_1019_NA	Success	0.402850937023231	1	0.369394051911787	0.606272763480695	RFNR2
chr1:clu_1020_NA	Success	1.92409753344469	1	0.0497995544543891	0.172920498756172	AAE14
chr1:clu_1021_NA	Success	1.32263802085617	3	0.449607301751886	0.677614265355012	AT1G30590
chr1:clu_1022_NA	Success	1.09632550093991	1	0.138670464853765	0.328946854078758	AT1G30590
chr1:clu_1023_NA	Success	0.338615245088306	1	0.410542029239219	0.645015225719773	AT1G30590
chr1:clu_1024_NA	Success	0.256224365294628	1	0.474080736421903	0.702335482607201	AT1G30640
chr1:clu_1025_NA	Success	0.952502296382988	1	0.167519213982876	0.372289778545932	PATL4
chr1:clu_1026_NA	Success	0.0323241418970497	1	0.799294492991357	0.910416658998467	ATO2
chr1:clu_1027_NA	Success	0.0169921757453153	1	0.85374010656881	0.931326017404675	AT1G31160
chr1:clu_1028_NA	Success	0.0319909759361394	1	0.800309525195154	0.911228556821521	SRX
chr1:clu_1029_NA	Success	0.372852580968981	1	0.387839417942363	0.624646229470786	SRX
chr1:clu_1030_NA	Success	0.383274158634833	1	0.381286980629735	0.61805389602078	IMPL1
chr1:clu_1031_NA	Success	0.904534809676164	1	0.178619878097976	0.388730448131562	AGO2
chr1:clu_1032_NA	Success	0.666390112138117	1	0.248311214665439	0.483942024703489	AT1G31300
chr1:clu_1033_NA	Success	0.47240956517021	1	0.331041558530525	0.570337313696877	AT1G31410
chr1:clu_1034_NA	Success	0.257657335264412	1	0.472847182368322	0.701246559193552	FEI1
chr1:clu_1035_NA	Success	4.24855378292528	1	0.00355711500450674	0.0267448921161791	CCR4-4
chr1:clu_1036_NA	Success	0.0351006908416593	1	0.791043794127099	0.905506160078848	CCR4-4
chr1:clu_1037_NA	Success	4.44904492769982	1	0.002854691265832	0.023085300641056	AT1G31550
chr1:clu_1038_NA	Success	0.12779797782423	1	0.613162066518585	0.806933055675921	AT1G31600
chr1:clu_1039_NA	Not enough valid samples	NA	NA	NA	NA	AT1G31830
chr1:clu_1040_NA	Success	5.13284593449873	2	0.00589974626752932	0.0376062050668095	AT1G31850
chr1:clu_1041_NA	Success	0.234645127653323	1	0.493313865592112	0.712328211092058	HISN2
chr1:clu_1042_NA	Success	2.16061610843187	1	0.0376396566626191	0.141241179154923	AT1G31870
chr1:clu_1043_NA	Success	1.65424666689646	1	0.0689226559596471	0.214624001762172	AT1G31910
chr1:clu_1044_NA	Success	0.740211280656922	1	0.223708420370425	0.455115308648334	AT1G31910
chr1:clu_1045_NA	Success	2.28007301125081	2	0.102276739090281	0.277883336177375	AT1G31910
chr1:clu_1046_NA	Success	7.64736401680125	2	0.00047730062867667	0.00715950943015005	NSI
chr1:clu_1047_NA	Success	0.552837376121829	1	0.293024097690654	0.530651130613578	NSI
chr1:clu_1048_NA	Success	8.43635372078438	1	3.99722264654081e-05	0.00143471741420483	ATS1
chr1:clu_1049_NA	Success	1.86648167302212	1	0.0533486673573974	0.179716460427434	RCD1
chr1:clu_1050_NA	Success	0.530675607800276	1	0.302907206247199	0.542963868510883	RCD1
chr1:clu_1051_NA	Success	1.5305824753888	1	0.0801841625743456	0.236782811127965	TOM2A
chr1:clu_1052_NA	Success	4.17663606646187	2	0.0153500573858837	0.074645843578128	AT1G32410
chr1:clu_1053_NA	Success	1.83079536001239	1	0.0556804486139976	0.184841473929476	AT1G32520
chr1:clu_1054_NA	Not enough valid samples	NA	NA	NA	NA	SBT3.5
chr1:clu_1055_NA	Success	0.440187378790768	1	0.348099056894606	0.586979114394428	NACA5
chr1:clu_1056_NA	Success	2.56975435490244	1	0.0233872656816791	0.10131030719819	AT1G33050
chr1:clu_1057_NA	Success	1.99626271797894	1	0.045702515475314	0.16267279969274	AT1G33050
