cluster	status	loglr	df	p	p.adjust	genes
chr1:clu_1000_NA	Success	1.68045740368007	1	0.0667609725273159	0.202561906603964	TOM20-2
chr1:clu_1001_NA	Success	4.26203062222967	1	0.003504814883652	0.0289386627825037	MNS5
chr1:clu_1002_NA	Success	6.93096197444072	1	0.000196744378460998	0.00447038730608373	MNS5
chr1:clu_1003_NA	Success	0.394960897378525	1	0.374123774091668	0.581884737676285	MNS5
chr1:clu_1004_NA	Success	0.166330517609481	1	0.564096359468516	0.741173564484285	AT1G27595
chr1:clu_1005_NA	Success	0.0208376131035379	1	0.838240103322885	0.913838958240173	CYCT1-3
chr1:clu_1006_NA	Success	0.213949307327312	1	0.51302187150884	0.701821199570661	NA
chr1:clu_1007_NA	Success	0.714984437930667	1	0.231769518025584	0.442176441586689	AT1G28090
chr1:clu_1008_NA	Success	0.0292045183952894	1	0.809028425485029	0.895561868796981	AT1G28090
chr1:clu_1009_NA	Success	0.112955009117115	1	0.634573212897113	0.793169385886727	AT1G28090
chr1:clu_1010_NA	Success	1.24414531222942	2	0.288187112902715	0.498798084302409	AT1G28090
chr1:clu_1011_NA	Success	2.1999498856585	1	0.0359410428042174	0.13397017066748	AT1G28100
chr1:clu_1012_NA	Not enough valid samples	NA	NA	NA	NA	ATJ1
chr1:clu_1013_NA	Success	1.57790354740979	2	0.206407368191478	0.410925638892062	NA
chr1:clu_1014_NA	Success	2.26710002136281	1	0.0332239818336268	0.12839242084555	NA
chr1:clu_1015_NA	Success	0.583925618844944	1	0.279843193558278	0.491915452959552	DEG15
chr1:clu_1016_NA	Success	0.108325087005966	1	0.641604257817702	0.798233636350724	DEG15
chr1:clu_1017_NA	Success	6.27710137473059	2	0.00187883875831686	0.0194446942727176	DYL1
chr1:clu_1018_NA	Success	7.35153833851064	5	0.0117093230673806	0.0639999095139563	AT1G28395
chr1:clu_1019_NA	Success	2.62125040820169	1	0.0220415672454019	0.0970985659119602	AT1G28410
chr1:clu_1020_NA	Not enough valid samples	NA	NA	NA	NA	NA
chr1:clu_1021_NA	Not enough valid samples	NA	NA	NA	NA	AT1G28710
chr1:clu_1022_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G28710
chr1:clu_1023_NA	Success	4.97762838779514	1	0.00160390754377316	0.0178150013922944	AT1G29040
chr1:clu_1024_NA	Success	0.512015524436663	1	0.311564737632432	0.523664425542385	AT1G29040
chr1:clu_1025_NA	Success	1.83626203341944	1	0.0553163542991736	0.179170442328084	AT1G29060
chr1:clu_1026_NA	Success	1.29578911039314	1	0.107433238274491	0.271014443560537	AT1G29120
chr1:clu_1027_NA	Success	3.40353219469995	1	0.00907979164266323	0.0542275303243642	WRKY65
chr1:clu_1028_NA	Success	1.02159786124648	1	0.152888156709943	0.343552341639374	AT1G29320
chr1:clu_1029_NA	Success	1.3864177445495	1	0.0958761877110331	0.254379138948852	AT1G29357
chr1:clu_1030_NA	Not enough valid samples	NA	NA	NA	NA	AT1G29560
chr1:clu_1031_NA	Success	4.99417069652611	1	0.00157534434386473	0.0175671240116576	AT1G29850
chr1:clu_1032_NA	Success	3.2614929469637	3	0.0887603916492118	0.242526133421264	NA
chr1:clu_1033_NA	Not enough valid samples	NA	NA	NA	NA	NA
chr1:clu_1034_NA	Success	0.000346936487972016	1	0.978984979095562	0.990456179051486	AT1G30130
chr1:clu_1035_NA	Success	0.747019443556667	1	0.221590859605364	0.430197530316903	AT1G30200
chr1:clu_1036_NA	Success	3.59748028666181	1	0.0073108597088097	0.0472081582051771	AT1G30230
chr1:clu_1037_NA	Not enough valid samples	NA	NA	NA	NA	NA
chr1:clu_1038_NA	Not enough valid samples	NA	NA	NA	NA	ARF6
chr1:clu_1039_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ATMRP13
chr1:clu_1040_NA	Success	0.7312380500465	1	0.226536557924687	0.436602983449238	RFNR2
chr1:clu_1041_NA	Success	0.3315014824218	1	0.41550178136591	0.621607120439495	AAE14
chr1:clu_1042_NA	Success	0.258880848478555	1	0.471798043190304	0.670952323068752	AAE14
chr1:clu_1043_NA	Success	1.46219037396099	3	0.403431723630979	0.611741650320739	AT1G30590
chr1:clu_1044_NA	Success	0.943979894265397	1	0.169432216848045	0.365004127754179	AT1G30590
chr1:clu_1045_NA	Success	0.00543667003793757	1	0.91695087160846	0.960942391082605	AT1G30590
chr1:clu_1046_NA	Not enough valid samples	NA	NA	NA	NA	EMB2279
chr1:clu_1047_NA	Not enough valid samples	NA	NA	NA	NA	AT1G30640
chr1:clu_1048_NA	Success	1.72845283318773	1	0.0629880871547447	0.194631901208219	PATL4
chr1:clu_1049_NA	Success	0.209612523291469	1	0.517323984421065	0.705166026576662	ATO2
chr1:clu_1050_NA	Success	0.363209065688878	1	0.394046681114344	0.602026830297041	AT1G31150
chr1:clu_1051_NA	Success	0.662806813848817	1	0.24958705959187	0.462249482208405	AT1G31160
chr1:clu_1052_NA	Success	0.00346728272307928	1	0.933633643056024	0.96923648052409	SRX
chr1:clu_1053_NA	Success	0.767611567857898	1	0.215330234683722	0.422276955354422	SRX
chr1:clu_1054_NA	Success	0.862128580326328	1	0.189145975957953	0.389291286187166	IMPL1
chr1:clu_1055_NA	Success	2.02906340900284	1	0.0439592368599682	0.153577819411357	AT1G31300
chr1:clu_1056_NA	Not enough valid samples	NA	NA	NA	NA	AT1G31410
chr1:clu_1057_NA	Success	0.0604441226005292	1	0.728073105690431	0.852340038852861	FEI1
chr1:clu_1058_NA	Success	2.17046043207728	1	0.0372067945864483	0.136953633666561	CCR4-4
chr1:clu_1059_NA	Not enough valid samples	NA	NA	NA	NA	CCR4-4
chr1:clu_1060_NA	Success	7.77028171482937	1	8.07537259271395e-05	0.00271153066390906	AT1G31550
chr1:clu_1061_NA	Success	0.178848861966173	1	0.549787649174418	0.73063248716143	AT1G31600
chr1:clu_1062_NA	Not enough valid samples	NA	NA	NA	NA	AT1G31830
chr1:clu_1063_NA	Success	3.13749995385808	2	0.0433911422704008	0.152297365785309	AT1G31850
chr1:clu_1064_NA	Success	1.86587045302358	1	0.0533877223317821	0.174911902213202	HISN2
chr1:clu_1065_NA	Not enough valid samples	NA	NA	NA	NA	AT1G31870
chr1:clu_1066_NA	Success	1.78399971026698	1	0.0589032354068196	0.185615826276756	AT1G31910
chr1:clu_1067_NA	Success	0.868173745568697	1	0.18760228999683	0.387514778106917	AT1G31910
chr1:clu_1068_NA	Success	0.964754631533197	2	0.38107669247255	0.589060749182633	AT1G31910
chr1:clu_1069_NA	Success	0.0641067191755553	1	0.720291646540136	0.845589727585868	RH5
chr1:clu_1070_NA	Success	6.97249097809254	2	0.000937315163873878	0.0128994893585052	NSI
chr1:clu_1071_NA	Success	1.07373271132201	1	0.142805466703969	0.327856218686581	NSI
chr1:clu_1072_NA	Success	4.36193167269317	1	0.00314071811934045	0.0269316095756121	ATS1
chr1:clu_1073_NA	Success	0.14018831735666	1	0.596454463236391	0.761965374314341	RCD1
chr1:clu_1074_NA	Success	0.73546295385654	2	0.47928352145081	0.676820000852499	AT1G32410
chr1:clu_1075_NA	Success	0.0700853144611528	1	0.708111442965546	0.838748062555876	AT1G32520
chr1:clu_1076_NA	Success	8.3194721882262	1	4.52130676234737e-05	0.00198020130953823	AT1G33050
chr1:clu_1077_NA	Success	5.65157333548734	1	0.000773758447868973	0.0111880288490911	AT1G33050
chr1:clu_1078_NA	Success	2.95672426274359	1	0.0150257295508686	0.0760571774876159	NAC014
chr1:clu_1079_NA	Success	0.00397235133368667	1	0.928976162609871	0.967116639127391	AT-GTL1
chr1:clu_1080_NA	Success	0.302175493318032	2	0.739208327383743	0.85775003407581	FAX4
chr1:clu_1081_NA	Success	0.0603667849649128	1	0.728240231739936	0.852340038852861	AT1G33290
chr1:clu_1082_NA	Success	4.20723036985868	1	0.00372248191323943	0.0299701563279703	TPR9
chr1:clu_1083_NA	Success	1.82751977778986	1	0.0558998277465736	0.180062695302068	SAR1
chr1:clu_1084_NA	Not enough valid samples	NA	NA	NA	NA	SAR1
chr1:clu_1085_NA	Not enough valid samples	NA	NA	NA	NA	AT1G33415
chr1:clu_1086_NA	Success	0.0799632837589002	1	0.689224133255954	0.826932592433312	AT1G33470
chr1:clu_1087_NA	Success	0.172914087975585	1	0.556484252288379	0.732445736243676	AT1G33470
chr1:clu_1088_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G33615
chr1:clu_1089_NA	Not enough valid samples	NA	NA	NA	NA	NA
chr1:clu_1090_NA	Success	2.73247471199346	2	0.0650580902531117	0.199195084847927	AT1G33680
chr1:clu_1091_NA	Success	3.44625218659226	1	0.00865579172629294	0.052322462201028	AT1G34010
chr1:clu_1092_NA	Success	0.00838352454815094	1	0.896971803905162	0.95110483908821	SAMC2
chr1:clu_1093_NA	Not enough valid samples	NA	NA	NA	NA	SAMC2
chr1:clu_1094_NA	Not enough valid samples	NA	NA	NA	NA	AT1G34150
chr1:clu_1095_NA	Success	0.374565547379063	1	0.386751470812914	0.593883610160888	AT1G34150
chr1:clu_1096_NA	Success	0.0985020469311166	1	0.657150000548475	0.805420878400441	SERK2
chr1:clu_1097_NA	Not enough valid samples	NA	NA	NA	NA	EPF2
chr1:clu_1098_NA	Not enough valid samples	NA	NA	NA	NA	AT1G34270
chr1:clu_1099_NA	Success	0.23809099364523	1	0.490156828273996	0.686083341845306	AT1G34320
chr1:clu_1100_NA	Success	3.57448401354713	2	0.0280298850844759	0.114005804475486	AT1G34340
chr1:clu_1101_NA	Not enough valid samples	NA	NA	NA	NA	AT1G34380
chr1:clu_1102_NA	Success	0.00542222977128404	1	0.917060839140381	0.960942391082605	AT1G34418
chr1:clu_1103_NA	Success	2.44034969356065	1	0.027158612704437	0.111854973449705	AT1G34470
chr1:clu_1104_NA	Success	0.0389137985528976	1	0.780263258852106	0.882138259727297	AT1G34570
chr1:clu_1105_NA	Not enough valid samples	NA	NA	NA	NA	AT1G34750
chr1:clu_1106_NA	Success	5.0918818357994	1	0.0014168268677659	0.0162800410433025	AT1G35220
chr1:clu_1107_NA	Success	0.638419918538702	1	0.258487442000835	0.471518000289704	AT1G35320
chr1:clu_1108_NA	Success	0.457859870859863	1	0.338601343811391	0.549939691666252	AT1G35320
chr1:clu_1109_NA	Success	0.17313308869447	1	0.55623440491692	0.732435891790384	AT1G35320
chr1:clu_1110_NA	Success	0.80647002527229	1	0.204079013582674	0.408158027165347	AT1G35340
chr1:clu_1111_NA	Success	0.396815265829559	1	0.373004585208279	0.581041163144031	AT1G35340
chr1:clu_1112_NA	Success	0.688957132220196	1	0.240456743664659	0.452747837604111	AT1G35420
chr1:clu_1113_NA	Not enough valid samples	NA	NA	NA	NA	AT1G35516,HOS10
chr1:clu_1114_NA	Success	1.87682090467396	1	0.0526925879358267	0.173997434135756	AT1G36070
chr1:clu_1115_NA	Success	1.12463056054418	1	0.133678218110631	0.315605918070568	AT1G36070
chr1:clu_1116_NA	Success	0.0600772006577301	1	0.728867089183253	0.852688134241939	SKS6
chr1:clu_1117_NA	Success	0.343131885469973	1	0.407438125517152	0.61650446700269	RPL35AB
chr1:clu_1118_NA	Success	2.44718951002767	1	0.02694426194371	0.111848296145456	AT1G42430
chr1:clu_1119_NA	Not enough valid samples	NA	NA	NA	NA	AT1G42470
chr1:clu_1120_NA	Success	0.399842342068439	1	0.371187660499814	0.58005688346448	GLR3.3
chr1:clu_1121_NA	Success	0.278227208718818	2	0.757124776619545	0.86768364621877	ARP1
