ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"AT4G35785"	"AT4G35785"	chr4	-	16953522	16953890	16953522	16953592	16953724	16953890	0	50,29,63	2,0,7	43,29,50	11,10,9	198	99	0.000196681960741	0.00372759144642	0.926,1.0,0.818	0.662,0.592,0.735	0.252
1	"AT4G35785"	"AT4G35785"	chr4	-	16953522	16953890	16953522	16953592	16953853	16953890	1	147,92,178	0,2,2	89,64,127	11,2,8	198	99	1.41537354414e-06	4.33322054283e-05	1.0,0.958,0.978	0.802,0.941,0.888	0.102
2	"AT5G06710"	"HAT14"	chr5	-	2068962	2069490	2068962	2069042	2069164	2069490	2	0,1,4	33,23,25	1,0,0	27,19,25	198	99	0.520341153565	1.0	0.0,0.021,0.074	0.018,0.0,0.0	0.026
3	"AT1G61970"	"AT1G61970"	chr1	+	22906472	22907630	22906472	22907329	22907434	22907630	3	0,2,0	1,0,6	0,1,0	11,1,9	198	99	0.40711869871	1.0	0.0,1.0,0.0	0.0,0.333,0.0	0.222
5	"AT1G11720"	"SS3"	chr1	+	3952344	3953618	3952344	3952408	3952484	3953618	5	0,0,1	44,61,75	1,0,1	102,18,153	174	99	1	1.0	0.0,0.0,0.008	0.006,0.0,0.004	-0.001
6	"AT3G06080"	"TBL10"	chr3	-	1834706	1835642	1834706	1835349	1835483	1835642	6	1,0,1	82,52,114	1,0,0	146,94,156	198	99	1	1.0	0.006,0.0,0.004	0.003,0.0,0.0	0.002
7	"AT3G61600"	"POB1"	chr3	+	22797127	22798320	22797127	22797937	22798053	22798320	7	1,1,4	27,27,16	4,2,4	43,28,57	198	99	0.726659143811	1.0	0.018,0.018,0.111	0.044,0.034,0.034	0.012
8	"AT4G02260"	"RSH1"	chr4	+	990214	990810	990214	990662	990748	990810	8	10,19,16	223,182,300	6,5,6	213,150,274	184	99	0.00122421562182	0.017258980187	0.024,0.053,0.028	0.015,0.018,0.012	0.02
9	"AT3G53970"	"AT3G53970"	chr3	+	19986685	19986960	19986685	19986758	19986879	19986960	9	48,35,55	29,18,40	18,10,18	147,108,161	198	99	0	0.0	0.453,0.493,0.407	0.058,0.044,0.053	0.399
10	"AT1G78870"	"UBC35"	chr1	+	29651771	29652046	29651771	29651845	29651948	29652046	10	5,4,9	308,178,315	8,7,12	391,210,391	198	99	0.508020074556	1.0	0.008,0.011,0.014	0.01,0.016,0.015	-0.003
11	"AT2G43190"	"AT2G43190"	chr2	+	17955988	17956430	17955988	17956062	17956198	17956430	11	1,0,0	15,14,25	0,0,0	27,10,18	198	99	1	1.0	0.032,0.0,0.0	0.0,0.0,0.0	0.011
13	"AT5G37370"	"ATSRL1"	chr5	-	14815697	14816046	14815697	14815843	14815937	14816046	13	2,3,4	17,16,14	0,0,0	40,24,40	192	99	0.000571324360783	0.00947446231632	0.057,0.088,0.128	0.0,0.0,0.0	0.091
14	"AT4G02540"	"AT4G02540"	chr4	+	1117153	1119817	1117153	1118897	1119006	1119817	14	1,0,0	8,9,26	0,1,0	19,18,29	198	99	1	1.0	0.059,0.0,0.0	0.0,0.027,0.0	0.011
15	"AT4G03200"	"AT4G03200"	chr4	+	1408158	1408858	1408158	1408589	1408785	1408858	15	1,1,1	44,46,69	1,1,9	125,39,146	198	99	0.629990494252	1.0	0.011,0.011,0.007	0.004,0.013,0.03	-0.006
16	"AT2G05510"	"AT2G05510"	chr2	+	2016225	2016749	2016225	2016288	2016390	2016749	16	7,4,8	0,0,0	45,28,52	0,0,1	198	99	1	1.0	1.0,1.0,1.0	1.0,1.0,0.963	0.012
18	"AT2G05510"	"AT2G05510"	chr2	+	2016225	2016749	2016225	2016354	2016432	2016749	18	0,0,1	0,0,0	2,2,4	2,0,3	176	99	1	1.0	NA,NA,1.0	0.36,1.0,0.429	0.404
19	"AT3G18780"	"ACT2"	chr3	+	6476066	6477204	6476066	6476680	6476766	6477204	19	1,0,0	1986,1339,2321	0,0,0	2457,1784,2696	184	99	1	1.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0
20	"AT5G28850"	"B''BETA"	chr5	-	10879268	10879556	10879268	10879359	10879450	10879556	20	1,0,0	93,91,138	0,0,1	110,63,140	189	99	1	1.0	0.006,0.0,0.0	0.0,0.0,0.004	0.001
21	"AT2G45950"	"ASK20"	chr2	-	18904323	18904832	18904323	18904624	18904716	18904832	21	0,1,2	45,34,41	5,4,5	61,38,95	190	99	0.0166283555614	0.143166608936	0.0,0.015,0.025	0.041,0.052,0.027	-0.027
23	"AT1G07890"	"APX1"	chr1	+	2439277	2439665	2439277	2439336	2439419	2439665	23	56,50,76	3150,2253,4270	60,35,73	3348,2662,3793	181	99	0.934302387385	1.0	0.01,0.012,0.01	0.01,0.007,0.01	0.002
25	"AT2G34260"	"AT2G34260"	chr2	+	14466212	14466446	14466212	14466277	14466358	14466446	25	0,3,2	71,44,96	0,0,0	50,31,68	179	99	1	1.0	0.0,0.036,0.011	0.0,0.0,0.0	0.016
26	"AT2G38660"	"FOLD1"	chr2	+	16168029	16168386	16168029	16168090	16168238	16168386	26	13,7,9	0,1,0	19,10,16	0,0,0	198	99	1	1.0	1.0,0.778,1.0	1.0,1.0,1.0	-0.074
29	"AT3G11620"	"AT3G11620"	chr3	-	3669784	3670110	3669784	3669889	3670059	3670110	29	1,3,1	75,30,70	0,0,2	56,38,71	198	99	1	1.0	0.007,0.048,0.007	0.0,0.0,0.014	0.016
31	"AT4G33050"	"EDA39"	chr4	-	15945749	15946018	15945749	15945838	15945952	15946018	31	1,0,0	137,44,102	0,0,0	87,62,101	198	99	1	1.0	0.004,0.0,0.0	0.0,0.0,0.0	0.001
32	"AT4G23470"	"AT4G23470"	chr4	+	12249469	12249874	12249469	12249491	12249817	12249874	32	23,9,16	236,183,362	15,14,22	355,183,344	198	99	0.815210662045	1.0	0.046,0.024,0.022	0.021,0.037,0.031	0.001
