ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
8	"AT4G02260"	"RSH1"	chr4	+	990214	990810	990214	990662	990748	990810
30	"AT4G33050"	"EDA39"	chr4	-	15945059	15945477	15945059	15945161	15945246	15945477
31	"AT4G33050"	"EDA39"	chr4	-	15945749	15946018	15945749	15945838	15945952	15946018
53	"AT3G16700"	"AT3G16700"	chr3	+	5689215	5689448	5689215	5689266	5689330	5689448
117	"AT1G79790"	"AT1G79790"	chr1	-	30017371	30017632	30017371	30017442	30017517	30017632
126	"AT2G32390"	"GLR3.5"	chr2	-	13749691	13749969	13749691	13749770	13749873	13749969
287	"AT4G00180"	"YAB3"	chr4	-	74696	75384	74696	74867	74975	75384
289	"AT2G44980"	"AT2G44980"	chr2	-	18554095	18554296	18554095	18554175	18554205	18554296
307	"AT1G01100"	"RPP1A"	chr1	-	50418	50631	50418	50447	50495	50631
331	"AT3G19330"	"AT3G19330"	chr3	+	6699622	6700673	6699622	6700222	6700318	6700673
424	"AT4G16990"	"RLM3"	chr4	+	9564476	9564941	9564476	9564596	9564676	9564941
425	"AT4G16990"	"RLM3"	chr4	+	9564476	9564941	9564476	9564596	9564691	9564941
518	"AT3G59310"	"AT3G59310"	chr3	-	21922848	21923062	21922848	21922917	21923010	21923062
547	"AT5G54840"	"ATSGP1"	chr5	-	22276932	22277436	22276932	22277016	22277396	22277436
548	"AT2G36680"	"VPS37-2"	chr2	-	15369245	15369495	15369245	15369361	15369448	15369495
549	"AT2G36680"	"VPS37-2"	chr2	-	15369245	15369495	15369245	15369366	15369448	15369495
551	"AT5G66055"	"AKRP"	chr5	-	26417635	26417912	26417635	26417734	26417813	26417912
568	"AT4G14350"	"AT4G14350"	chr4	-	8256085	8256561	8256085	8256369	8256474	8256561
610	"AT4G24290"	"AT4G24290"	chr4	+	12596311	12596975	12596311	12596498	12596808	12596975
629	"AT5G27860"	"AT5G27860"	chr5	-	9874823	9875160	9874823	9874946	9875019	9875160
641	"AT1G11592"	"AT1G11592"	chr1	-	3895934	3896261	3895934	3896090	3896211	3896261
717	"AT1G14270"	"AT1G14270"	chr1	-	4876669	4877248	4876669	4876767	4876940	4877248
733	"AT4G33925"	"AT4G33925"	chr4	+	16263962	16264226	16263962	16264022	16264091	16264226
758	"AT1G01020"	"ARV1"	chr1	-	7156	7450	7156	7232	7383	7450
767	"AT1G54390"	"ING2"	chr1	-	20306423	20306798	20306423	20306635	20306726	20306798
832	"AT1G18730"	"PNSB4"	chr1	+	6461317	6461910	6461317	6461389	6461843	6461910
863	"AT1G23360"	"MENG"	chr1	-	8296253	8296509	8296253	8296342	8296418	8296509
874	"AT2G04039"	"AT2G04039"	chr2	+	1333639	1333983	1333639	1333703	1333777	1333983
892	"AT5G64960"	"CDKC-2"	chr5	+	25956005	25956276	25956005	25956087	25956185	25956276
921	"AT2G47160"	"BOR1"	chr2	-	19360257	19360608	19360257	19360450	19360525	19360608
934	"AT1G73390"	"AT1G73390"	chr1	-	27591301	27591644	27591301	27591403	27591489	27591644
942	"AT1G35340"	"AT1G35340"	chr1	+	12977785	12978148	12977785	12978013	12978126	12978148
985	"AT1G61150"	"AT1G61150"	chr1	+	22543106	22543474	22543106	22543266	22543367	22543474
1000	"AT2G40290"	"AT2G40290"	chr2	-	16829729	16830069	16829729	16829834	16829922	16830069
1014	"AT1G48380"	"RHL1"	chr1	-	17878164	17878595	17878164	17878415	17878508	17878595
1045	"AT3G26100"	"AT3G26100"	chr3	+	9538046	9538726	9538046	9538281	9538376	9538726
1047	"AT4G27040"	"VP22-1"	chr4	-	13574525	13574852	13574525	13574622	13574741	13574852
1048	"AT4G27040"	"VP22-1"	chr4	-	13574525	13574852	13574525	13574673	13574741	13574852
1052	"AT5G10278"	"AT5G10278"	chr5	+	3229957	3231314	3229957	3230055	3231085	3231314
1063	"AT5G42690"	"AT5G42690"	chr5	-	17118825	17119114	17118825	17118942	17119030	17119114
1090	"AT2G27350"	"AT2G27350"	chr2	-	11701763	11702526	11701763	11702382	11702449	11702526
1114	"AT1G16260"	"WAKL8"	chr1	-	5561168	5562113	5561168	5562029	5562080	5562113
1150	"AT3G26020"	"B'ETA"	chr3	+	9514279	9515589	9514279	9515298	9515385	9515589
1178	"AT3G27100"	"SUS1"	chr3	-	9994544	9994990	9994544	9994816	9994913	9994990
1191	"AT1G28960"	"NUDT15"	chr1	-	10109861	10110359	10109861	10110022	10110161	10110359
1200	"AT5G19840"	"AT5G19840"	chr5	+	6708187	6708501	6708187	6708343	6708427	6708501
1209	"AT5G19950"	"AT5G19950"	chr5	-	6740776	6741318	6740776	6741016	6741135	6741318
1212	"AT5G43310"	"AT5G43310"	chr5	-	17383436	17383741	17383436	17383589	17383685	17383741
1213	"AT5G43310"	"AT5G43310"	chr5	-	17384080	17384319	17384080	17384123	17384198	17384319
