Gene ID	LSV ID	LSV Type	E(dPSI) per LSV junction	P(|dPSI|>=0.20) per LSV junction	P(|dPSI|<=0.05) per LSV junction	A E(PSI)	B E(PSI)	A5SS	A3SS	ES	Num. Junctions	Num. Exons	Junctions coords	IR coords
AT1G02950	AT1G02950:s:666351-666452	s|1e1.1o2|1e1.2o2	-0.9559166136109328;0.9502942531374595	1.0;1.0	6.974644096713334e-07;3.7356107066986895e-07	0.960;0.040	0.029;0.971	False	True	False	2	2	666262-666351;666256-666351	
AT1G05220	AT1G05220:s:1512495-1512842	s|1e1.1o1|i	0.016196155984398806;-0.01619610916640067	6.641388550321151e-10;8.936047759034421e-10	0.00031389551574292907;0.00031391410581615986	0.043;0.957	0.060;0.940	False	False	False	1	2	1512668-1513300	1512668-1513300
AT1G20960	AT1G20960:s:7301957-7302051	s|1e1.1o1|i	0.43430951100374776;-0.43430947610007486	0.9978024127770097;0.9978024407607471	3.1608622213873074e-08;3.1344821183054705e-08	0.105;0.895	0.541;0.459	False	False	False	1	2	7301865-7301957	7301865-7301957
AT1G80030	AT1G80030:s:30105341-30105443	s|1e1.1o1|2e1.1o1	0.0030127742304005972;-0.0030127608792701317	2.4863560640700106e-06;2.4862980682023155e-06	0.00011262464838018849;0.00011262979850568122	0.011;0.989	0.028;0.972	True	False	False	2	2	30105250-30105377;30105250-30105341	
AT1G65620	AT1G65620:t:24399686-24399829	t|1e1.1o1|1e2.1o2|1e2.2o2	-0.034129813268104235;-0.0450467667115469;0.09546481568898688	0.0008270920624130656;0.012624427605085609;0.09284608838277651	1.2019257629836133e-05;7.144762303901153e-06;2.9696206411777924e-06	0.168;0.399;0.433	0.110;0.319;0.573	True	False	True	3	3	24398513-24399713;24398960-24399713;24399314-24399713	
AT1G78680	AT1G78680:s:29595785-29595877	s|1e1.1o2|1e1.2o2	0.7183209577265335;-0.7183209185629671	1.0;0.9999999999999993	1.5699182738581931e-12;1.3373746554634636e-12	0.224;0.776	0.924;0.076	False	True	False	2	2	29595877-29595959;29595877-29595986	
AT1G16340	AT1G16340:s:5590235-5590338	s|1e1.1o1|2e1.1o1	0.9184734862057953;-0.9196094397600463	1.0;1.0	8.38587717854472e-06;8.385344849926035e-06	0.079;0.921	0.998;0.002	True	False	False	2	2	5590025-5590241;5590025-5590235	
AT1G77080	AT1G77080:t:28958602-28958663	t|1e1.1o1|1e2.1o1	0.0004707341024532727;-0.0004707332917517039	5.9459387413703125e-08;5.9216745488541e-08	0.00022161733138246665;0.00022163214564863143	0.991;0.009	0.998;0.002	False	False	True	2	3	28958391-28958602;28958501-28958602	
AT1G80490	AT1G80490:s:30266900-30267038	s|1e1.1o2|1e1.2o2	0.7824015298296545;-0.7824054669007545	0.999999999999661;0.9999999999997153	2.4351435982221252e-12;1.024846874031482e-12	0.146;0.854	0.908;0.092	False	True	False	2	2	30266540-30266900;30266508-30266900	
AT1G75450	AT1G75450:s:28317461-28318375	s|1e1.1o2|1e1.2o2	0.871622074840239;-0.8717876646145322	1.0;1.0	7.273920147959911e-06;7.268084698308641e-06	0.118;0.882	0.967;0.033	False	True	False	2	2	28317376-28317461;28317373-28317461	
