ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
2	"AT1G77600"	"AT1G77600"	chr1	-	29156006	29156141	29155720	29155914	29156553	29156671	2	9,10,11	0,0,0	0,0,0	2,1,2	234	99	4.4408920985e-16	1.20538499816e-15	1.0,1.0,1.0	0.0,0.0,0.0	1.0
3	"AT1G61900"	"AT1G61900"	chr1	-	22883058	22883070	22882814	22882958	22883181	22883427	3	20,18,21	2,3,4	21,18,24	3,3,3	111	99	0.916268429323	1.0	0.899,0.843,0.824	0.862,0.843,0.877	-0.005
4	"AT1G52220"	"CURT1C"	chr1	-	19454186	19454273	19454031	19454094	19454377	19454697	4	6,2,2	1,0,0	0,0,0	4,0,1	186	99	1	1.0	0.762,1.0,1.0	0.0,NA,0.0	0.921
9	"AT1G66410"	"CAM4"	chr1	-	24775511	24775541	24774259	24774804	24775709	24775984	9	2,4,3	0,0,0	0,0,0	1,0,2	129	99	1	1.0	1.0,1.0,1.0	0.0,NA,0.0	1.0
11	"AT1G07890"	"APX1"	chr1	+	2437677	2437741	2437477	2437555	2437992	2438123	11	235,185,215	3,2,3	22,12,17	118,120,116	163	99	0	0.0	0.979,0.983,0.978	0.102,0.057,0.082	0.9
12	"AT1G07890"	"APX1"	chr1	+	2437677	2437833	2437477	2437555	2437992	2438123	12	151,126,155	3,2,3	31,21,20	118,120,116	255	99	0	0.0	0.951,0.961,0.953	0.093,0.064,0.063	0.882
13	"AT1G07890"	"APX1"	chr1	+	2437680	2437741	2437477	2437555	2437992	2438123	13	93,64,65	3,2,3	9,4,8	118,120,116	160	99	0	0.0	0.95,0.952,0.931	0.045,0.02,0.041	0.909
14	"AT1G07890"	"APX1"	chr1	+	2437680	2437833	2437436	2437555	2437992	2438123	14	9,5,6	3,2,3	19,14,12	118,120,116	252	99	1.49986356668e-10	3.33086584289e-10	0.541,0.495,0.44	0.059,0.044,0.039	0.445
20	"AT1G27385"	"AT1G27385"	chr1	-	9510826	9510901	9510602	9510638	9511132	9511185	20	52,72,81	0,0,0	4,0,2	1,0,0	174	99	1	1.0	1.0,1.0,1.0	0.695,NA,1.0	0.153
22	"AT1G06220"	"MEE5"	chr1	+	1900296	1900429	1899963	1900107	1900511	1901264	22	10,13,6	25,27,23	64,44,49	4,5,4	232	99	0	0.0	0.146,0.17,0.1	0.872,0.79,0.839	-0.695
25	"AT1G06500"	"AT1G06500"	chr1	+	1989667	1989705	1989478	1989526	1990136	1990730	25	21,6,15	14,14,17	20,22,17	16,18,22	137	99	0.612663754498	0.776040755697	0.52,0.236,0.389	0.475,0.469,0.358	-0.052
26	"AT1G06500"	"AT1G06500"	chr1	+	1989667	1989773	1989485	1989526	1990136	1990728	26	3,5,4	14,14,17	7,3,3	16,18,22	205	99	0.860670582937	1.0	0.094,0.147,0.102	0.174,0.074,0.062	0.011
28	"AT1G48590"	"AT1G48590"	chr1	+	17963787	17963883	17962838	17963104	17963986	17964427	28	21,23,17	5,8,10	14,16,15	9,7,4	195	99	0.704780720979	0.879689805018	0.681,0.593,0.463	0.441,0.537,0.656	0.034
30	"AT1G24490"	"ALB3L1"	chr1	+	8682772	8682883	8682233	8682690	8682965	8683040	30	16,7,8	0,0,1	2,1,1	2,7,8	210	99	5.83977310953e-14	1.49044955482e-13	1.0,1.0,0.79	0.32,0.063,0.056	0.784
36	"AT1G55310"	"SCL33"	chr1	+	20631686	20631722	20631041	20631119	20631884	20632055	36	17,25,24	1,3,2	6,9,11	9,10,9	135	99	6.02345651135e-09	1.27161859684e-08	0.926,0.859,0.898	0.328,0.398,0.473	0.495
38	"AT1G05710"	"AT1G05710"	chr1	+	1716063	1716102	1714949	1715384	1716195	1716308	38	47,73,65	0,1,0	0,0,0	51,43,46	138	99	0	0.0	1.0,0.981,1.0	0.0,0.0,0.0	0.994
40	"AT1G04930"	"AT1G04930"	chr1	-	1398280	1398370	1397829	1397882	1398439	1399053	40	15,22,23	1,3,0	0,1,2	7,7,8	189	99	0	0.0	0.887,0.793,1.0	0.0,0.07,0.116	0.831
41	"AT1G32550"	"FdC1"	chr1	-	11772867	11772915	11772599	11772668	11773118	11773207	41	0,0,0	46,47,30	42,36,26	0,0,0	147	99	0	0.0	0.0,0.0,0.0	1.0,1.0,1.0	-1.0
43	"AT1G64625"	"BHLH157"	chr1	+	24017545	24017587	24017341	24017405	24017676	24017736	43	8,8,2	2,1,5	5,4,0	2,1,4	141	99	0.377476238094	0.533458154662	0.737,0.849,0.219	0.637,0.737,0.0	0.144
48	"AT1G28395"	"AT1G28395"	chr1	-	9969771	9969836	9969539	9969587	9970112	9970153	48	15,20,14	2,3,1	6,19,17	6,4,5	164	99	0.020560122655	0.0374019252554	0.819,0.801,0.894	0.376,0.741,0.672	0.242
49	"AT1G28395"	"AT1G28395"	chr1	-	9970112	9970153	9969441	9969587	9971072	9971188	49	5,10,2	6,6,7	8,10,9	6,3,7	140	99	0.160302722437	0.2425819959	0.371,0.541,0.168	0.485,0.702,0.476	-0.194
50	"AT1G28395"	"AT1G28395"	chr1	-	9970112	9970153	9969535	9969836	9971072	9971188	50	8,17,9	8,9,6	5,16,12	2,4,4	140	99	0.0519881989118	0.0891387447157	0.414,0.572,0.515	0.639,0.739,0.68	-0.186
64	"AT1G66920"	"AT1G66920"	chr1	-	24966622	24966646	24965303	24966530	24966723	24967522	64	36,22,34	1,0,0	0,1,0	28,27,32	123	99	0	0.0	0.967,1.0,1.0	0.0,0.029,0.0	0.979
72	"AT1G76280"	"AT1G76280"	chr1	-	28620267	28620363	28619986	28620160	28620705	28621149	72	3,0,0	11,10,6	27,42,28	0,1,1	195	99	0	0.0	0.122,0.0,0.0	1.0,0.955,0.934	-0.922
77	"AT1G69740"	"HEMB1"	chr1	+	26232050	26232107	26231904	26231936	26232192	26232502	77	21,31,22	0,0,1	18,12,13	26,12,32	156	99	0	0.0	1.0,1.0,0.933	0.305,0.388,0.205	0.678
84	"AT1G45000"	"RPT4B"	chr1	+	17011060	17011252	17010715	17010853	17011349	17011448	84	8,3,2	0,2,4	3,8,7	2,0,1	291	99	0.142476296822	0.21949051132	1.0,0.338,0.145	0.338,1.0,0.704	-0.186
86	"AT1G75340"	"CG1"	chr1	-	28271665	28271725	28271296	28271474	28271835	28271965	86	7,4,3	3,2,6	14,8,9	5,1,11	159	99	0.40711979891	0.561431335594	0.592,0.555,0.237	0.635,0.833,0.338	-0.141
98	"AT1G17980"	"PAPS1"	chr1	-	6190434	6190497	6190183	6190345	6190899	6191007	98	0,1,1	15,14,9	36,31,38	0,0,0	162	99	0	0.0	0.0,0.042,0.064	1.0,1.0,1.0	-0.965
100	"AT1G79820"	"SGB1"	chr1	-	30023583	30023727	30023253	30023327	30023980	30024134	100	1,6,4	41,26,29	63,55,51	1,0,0	243	99	0	0.0	0.01,0.086,0.053	0.962,1.0,1.0	-0.938
103	"AT1G25540"	"MED25"	chr1	-	8973806	8973837	8973550	8973614	8974342	8974660	103	72,69,53	42,62,72	50,51,70	59,62,58	130	99	0.486399207689	0.649798941522	0.566,0.459,0.359	0.392,0.385,0.479	0.043
106	"AT1G09195"	"AT1G09195"	chr1	-	2968652	2968758	2968474	2968536	2968969	2969077	106	4,5,3	10,6,7	34,31,32	2,3,2	205	99	3.04090086445e-13	7.53614562059e-13	0.162,0.287,0.171	0.891,0.833,0.885	-0.663
109	"AT1G58350"	"ZW18"	chr1	-	21664351	21664600	21663991	21664250	21664684	21664744	109	26,17,23	16,16,17	87,108,118	2,6,4	348	99	0	0.0	0.316,0.232,0.278	0.925,0.837,0.894	-0.61
