cluster	status	loglr	df	p	p.adjust	genes
chr1:clu_1_NA	Success	0.115429335290628	1	0.630887866891762	0.706226476735959	LHY
chr1:clu_10_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G01320
chr1:clu_100_NA	Not enough valid samples	NA	NA	NA	NA	DOF1.1
chr1:clu_101_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	RPS15AA
chr1:clu_102_NA	Success	29.0290046426619	3	1.52767378432263e-12	1.09228675579068e-10	PAI1
chr1:clu_103_NA	Not enough valid samples	NA	NA	NA	NA	AT1G07840
chr1:clu_104_NA	Success	29.8330433097855	5	1.4247275453189e-11	8.14944155922409e-10	APX1
chr1:clu_105_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ATRNL
chr1:clu_106_NA	Success	20.0403842004842	2	1.97957393352458e-09	4.71798454156691e-08	A3
chr1:clu_107_NA	Success	2.90167643261094	1	0.0159956442212182	0.0259929218594796	PDIL5-1
chr1:clu_108_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	GATA11
chr1:clu_109_NA	Success	11.5513512579676	1	1.53574693956601e-06	6.86286913618559e-06	AT1G08040
chr1:clu_11_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G01448
chr1:clu_110_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G08110
chr1:clu_111_NA	Success	1.90081278198207	1	0.0512028504019756	0.0778936979519416	AT1G08125
chr1:clu_112_NA	Success	2.11329086428081	1	0.03979551110236	0.0618560661699726	AT1G08125
chr1:clu_113_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G08220
chr1:clu_114_NA	Success	10.7898151034299	1	3.39437793451417e-06	1.22885074591273e-05	AT1G08310
chr1:clu_115_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	BSL2
chr1:clu_116_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CRT3
chr1:clu_117_NA	Not enough valid samples	NA	NA	NA	NA	CRT3
chr1:clu_118_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ATRX
chr1:clu_119_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ATRX
chr1:clu_12_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G01448
chr1:clu_120_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	JMJ16
chr1:clu_121_NA	Success	9.53871482091063	1	1.25520596961322e-05	2.91860900251529e-05	THA1
chr1:clu_122_NA	Success	10.4047129915784	1	5.07326582996871e-06	1.53006551104573e-05	THA1
chr1:clu_123_NA	Success	0.192694030119128	1	0.53473365051428	0.631957950607785	THA1
chr1:clu_124_NA	Not enough valid samples	NA	NA	NA	NA	AGD14
chr1:clu_125_NA	Not enough valid samples	NA	NA	NA	NA	AGD14
chr1:clu_126_NA	Success	0.321336993505625	1	0.42274416326221	0.523397535467498	AT1G08750
chr1:clu_127_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	MYOB1
chr1:clu_128_NA	Success	6.71800817542436	1	0.000246839218954053	0.00046444747776881	CSD1
chr1:clu_129_NA	Success	14.766022872863	1	5.49997780460081e-08	4.49545581099684e-07	SUGTL3
chr1:clu_13_NA	Not enough valid samples	NA	NA	NA	NA	AT1G01640
chr1:clu_130_NA	Success	13.5850157890991	1	1.86324583215226e-07	1.33961084659116e-06	SUGTL2
chr1:clu_131_NA	Not enough valid samples	NA	NA	NA	NA	AT1G09060
chr1:clu_132_NA	Success	6.87329563321484	1	0.000209200112239477	0.00039623332516881	MED37B
chr1:clu_133_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CLPR3
chr1:clu_134_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SR30
chr1:clu_135_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G09195
chr1:clu_136_NA	Not enough valid samples	NA	NA	NA	NA	AT1G09195
chr1:clu_137_NA	Not enough valid samples	NA	NA	NA	NA	IMPA4
chr1:clu_138_NA	Success	1.78643206304139	3	0.311434120865539	0.403032391708345	ASK10
chr1:clu_139_NA	Success	0.559468006273818	1	0.290147673340086	0.380652452180113	ASK10
chr1:clu_14_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G01740
chr1:clu_140_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G09932
chr1:clu_141_NA	Not enough valid samples	NA	NA	NA	NA	AT1G09970
chr1:clu_142_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G10040
chr1:clu_143_NA	Not enough valid samples	NA	NA	NA	NA	BCAT1
chr1:clu_144_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G10220
chr1:clu_145_NA	Not enough valid samples	NA	NA	NA	NA	AT1G10340
chr1:clu_146_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ULP1C
chr1:clu_147_NA	Success	11.5127985495943	1	1.59858736450496e-06	7.0110263324982e-06	AT1G10586
chr1:clu_148_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G10588
chr1:clu_149_NA	Success	10.6039287414096	2	2.48183132101546e-05	5.25780561341053e-05	AT1G10590
chr1:clu_15_NA	Success	13.2125264920313	1	2.73963964805189e-07	1.79464930952898e-06	AT1G01800
chr1:clu_150_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AMSH2
chr1:clu_151_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AMSH2
chr1:clu_152_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AMSH2
chr1:clu_153_NA	Success	0.0075060676201133	1	0.902484024859328	0.925126993224974	AT1G10657
chr1:clu_154_NA	Success	0.475939834746583	1	0.329241304705397	0.422255664330689	AT1G10657
chr1:clu_155_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G10660
chr1:clu_156_NA	Success	10.2906718945591	1	5.7150347295321e-06	1.65101003297594e-05	ACLA-1
chr1:clu_157_NA	Success	18.3429709442343	2	1.0808089620894e-08	1.36639935008889e-07	ACLA-1
chr1:clu_158_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G10740
chr1:clu_159_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	LOV1
chr1:clu_16_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	GEN1
chr1:clu_160_NA	Success	0.490534946534353	2	0.612298759459337	0.700182554318431	SRK2A
chr1:clu_161_NA	Success	10.2212181018107	1	6.14519400205062e-06	1.72306420057498e-05	AT1G11120
chr1:clu_162_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SCAMP5
chr1:clu_163_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G11280
chr1:clu_164_NA	Success	5.78876864168024	3	0.00897976913031572	0.0150187951536275	AT1G11360
chr1:clu_165_NA	Success	0.193153613197495	2	0.824355332553942	0.879722481755326	CLPP6
chr1:clu_166_NA	Success	33.9898124399404	4	6.05833983513774e-14	8.66342596424697e-12	ATGLX1
chr1:clu_167_NA	Success	0.158716016907647	1	0.573155000856749	0.663653158886762	ATGLX1
chr1:clu_168_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	GDCST
chr1:clu_169_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ATSRS
chr1:clu_17_NA	Success	2.09316828394932	1	0.0407510677731028	0.0629989480167968	AT1G01910
chr1:clu_170_NA	Not enough valid samples	NA	NA	NA	NA	AT1G11905
chr1:clu_171_NA	Not enough valid samples	NA	NA	NA	NA	AT1G11930
chr1:clu_172_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G12230
chr1:clu_173_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G12250
chr1:clu_174_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PHR1
chr1:clu_175_NA	Success	10.4217083817798	1	4.98402374651462e-06	1.53006551104573e-05	ARK3
chr1:clu_176_NA	Success	7.81113190570468	1	7.73386199039687e-05	0.000153603092309271	AT1G12650
chr1:clu_177_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G12730
chr1:clu_178_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CYP87A2
chr1:clu_179_NA	Not enough valid samples	NA	NA	NA	NA	RBL6
chr1:clu_18_NA	Success	2.06951131530047	2	0.126247461835696	0.185162944025688	AT1G01910
chr1:clu_180_NA	Not enough valid samples	NA	NA	NA	NA	AT1G12810
chr1:clu_181_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	GAPA2
chr1:clu_182_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PBE1
chr1:clu_183_NA	Not enough valid samples	NA	NA	NA	NA	ORP1D
chr1:clu_184_NA	Not enough valid samples	NA	NA	NA	NA	AT1G13350
chr1:clu_185_NA	Not enough valid samples	NA	NA	NA	NA	GT-1
chr1:clu_186_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	B'THETA
chr1:clu_187_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AT1G13610
chr1:clu_188_NA	Not enough valid samples	NA	NA	NA	NA	AT1G13630
chr1:clu_189_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	QUL1
