ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"AT4G12020"	"WRKY19"	chr4	+	7208343	7208416	7208515	7208563	7208086	7208244	7208915	7209032	1	26,17,19	7,11,16	29,67,14	27,19,11	221	196	0.88669047475	1.0	0.767,0.578,0.513	0.488,0.758,0.53	0.027
2	"AT1G10570"	"ULP1C"	chr1	+	3489673	3489776	3490054	3490152	3489484	3489589	3490367	3490490	2	90,98,106	135,147,103	31,111,36	62,115,53	251	246	0.749718115133	0.999624153511	0.395,0.395,0.502	0.329,0.486,0.4	0.026
3	"AT5G08185"	"MIR162A"	chr5	-	2634973	2635046	2635133	2635226	2634771	2634875	2635321	2635436	3	2,4,6	1,1,7	18,31,24	14,5,8	241	221	0.448912368461	0.79806643282	0.647,0.786,0.44	0.541,0.85,0.733	-0.084
4	"AT1G75340"	"CG1"	chr1	-	28269962	28270055	28270155	28270233	28269770	28269856	28270328	28270546	4	14,38,17	22,28,28	24,23,20	47,62,27	226	241	0.0846103239231	0.297741395653	0.404,0.591,0.393	0.353,0.283,0.441	0.104
5	"AT3G28100"	"AT3G28100"	chr3	+	10458769	10459016	10460213	10460375	10456624	10456738	10460453	10460602	5	32,72,21	61,35,42	29,80,18	30,58,32	298	298	0.687223007994	0.935793032162	0.344,0.673,0.333	0.492,0.58,0.36	-0.027
6	"AT2G32640"	"AT2G32640"	chr2	-	13848409	13848443	13848608	13848676	13848224	13848309	13848756	13848885	6	20,22,19	20,17,17	23,38,22	40,48,20	216	182	0.158698597292	0.390642701026	0.457,0.522,0.485	0.326,0.4,0.481	0.086
7	"AT3G05030"	"NHX2"	chr3	-	1395558	1395605	1395680	1395740	1395275	1395470	1395836	1395934	7	17,41,9	21,30,11	7,35,28	17,45,15	208	195	0.652448454399	0.907754371338	0.431,0.562,0.434	0.279,0.422,0.636	0.03
9	"AT4G00180"	"YAB3"	chr4	-	73447	73523	73658	73707	72989	73067	74267	74427	9	151,210,194	430,549,514	65,75,43	258,276,114	197	224	0.0405957769392	0.259812972411	0.285,0.303,0.3	0.223,0.236,0.3	0.043
10	"AT4G39710"	"PNSL4"	chr4	-	18427558	18427619	18427798	18427891	18427413	18427482	18427977	18428375	10	86,147,129	104,155,145	263,449,214	285,395,221	241	209	0.285093158322	0.608198737754	0.418,0.451,0.436	0.445,0.496,0.456	-0.031
11	"AT4G39710"	"PNSL4"	chr4	-	18427562	18427619	18427798	18427891	18427413	18427482	18427977	18428412	11	86,147,129	0,0,0	263,449,214	0,4,3	241	205	1	1.0	1.0,1.0,1.0	1.0,0.99,0.984	0.009
12	"AT4G34090"	"AT4G34090"	chr4	-	16329165	16329223	16329320	16329363	16328908	16329064	16329453	16329528	12	106,106,63	127,139,94	52,78,46	63,96,70	191	206	0.967489365674	1.0	0.474,0.451,0.42	0.471,0.467,0.415	-0.003
13	"AT4G34090"	"AT4G34090"	chr4	-	16329165	16329223	16329320	16329366	16328908	16329064	16329453	16329528	13	0,1,1	127,139,94	0,0,0	63,96,70	194	206	1	1.0	0.0,0.008,0.011	0.0,0.0,0.0	0.006
15	"AT1G10600"	"AMSH2"	chr1	+	3504358	3504392	3504425	3504488	3504023	3504113	3504568	3504643	15	19,21,12	105,124,75	14,4,11	62,153,90	182	211	0.0455420392508	0.264971864732	0.173,0.164,0.156	0.207,0.029,0.124	0.044
16	"AT5G14550"	"AT5G14550"	chr5	-	4692239	4692278	4692548	4692629	4691988	4692054	4692759	4692841	16	33,38,33	23,28,23	33,45,32	34,54,24	229	187	0.124043120152	0.360852713169	0.54,0.526,0.54	0.442,0.405,0.521	0.079
17	"AT1G33615"	"AT1G33615"	chr1	-	12193811	12193938	12194172	12194261	12193622	12193711	12194350	12194374	17	8,12,23	26,29,24	13,11,9	37,41,12	237	275	0.416035829053	0.760751230268	0.263,0.324,0.527	0.29,0.237,0.465	0.041
18	"AT3G24360"	"AT3G24360"	chr3	-	8841905	8841958	8842174	8842239	8841401	8841536	8842411	8842513	18	5,16,7	0,2,0	2,10,4	0,0,0	213	201	1	1.0	1.0,0.883,1.0	1.0,1.0,1.0	-0.039
19	"AT1G72190"	"AT1G72190"	chr1	-	27168940	27169085	27169329	27169468	27168708	27168836	27169598	27169717	19	46,33,29	47,40,43	30,36,11	26,56,13	287	293	0.962646471447	1.0	0.5,0.457,0.408	0.541,0.396,0.463	-0.012
20	"AT1G77080"	"AGL27"	chr1	+	28958333	28958391	28958455	28958501	28955636	28955863	28958601	28958663	20	224,299,293	7,4,4	176,262,77	32,47,36	206	194	0	0.0	0.968,0.986,0.986	0.838,0.84,0.668	0.198
21	"AT4G29940"	"PRH"	chr4	-	14648992	14649073	14649234	14649315	14648754	14648835	14649467	14649548	21	40,38,38	35,52,39	31,34,18	41,45,28	229	229	0.257846873246	0.569041375439	0.533,0.422,0.494	0.431,0.43,0.391	0.066
22	"AT3G55040"	"GSTL2"	chr3	-	20398912	20399020	20399107	20399184	20398537	20398816	20399274	20399377	22	216,225,184	316,348,429	175,299,167	429,646,343	225	256	0.0578031452897	0.284569330657	0.437,0.424,0.328	0.317,0.345,0.356	0.057
23	"AT4G16146"	"AT4G16146"	chr4	-	9143144	9143192	9143280	9143343	9142987	9143050	9144302	9144385	23	176,194,170	125,226,232	113,89,49	115,106,69	211	196	0.540597400834	0.843859357399	0.567,0.444,0.405	0.477,0.438,0.397	0.035
25	"AT2G04900"	"AT2G04900"	chr2	+	1722824	1722905	1722989	1723033	1722669	1722740	1723506	1723831	25	181,212,174	77,83,100	176,293,184	129,106,74	229	192	0.839863192614	1.0	0.663,0.682,0.593	0.534,0.699,0.676	0.01
26	"AT5G42770"	"AT5G42770"	chr5	+	17152681	17152762	17153216	17153297	17152529	17152604	17153562	17153632	26	14,16,20	51,58,49	12,15,19	50,62,58	229	229	0.524404542441	0.839047267906	0.215,0.216,0.29	0.194,0.195,0.247	0.028
27	"AT1G78680"	"GGH2"	chr1	+	29595199	29595289	29595372	29595435	29594911	29594972	29595561	29595650	27	242,288,229	197,303,268	157,333,145	175,324,165	238	211	0.651549590746	0.907754371338	0.521,0.457,0.431	0.443,0.477,0.438	0.017
28	"AT4G11670"	"AT4G11670"	chr4	-	7047882	7047975	7048107	7048263	7047503	7047575	7048350	7048536	28	24,29,22	26,26,29	15,13,11	14,8,13	298	241	0.556207025744	0.847553563038	0.427,0.474,0.38	0.464,0.568,0.406	-0.052
29	"AT2G17190"	"DSK2A"	chr2	-	7478502	7478592	7478736	7478765	7478264	7478420	7479154	7479210	29	34,43,36	145,143,158	35,57,27	224,278,124	177	238	0.0883919768346	0.297741395653	0.24,0.288,0.235	0.174,0.216,0.226	0.049
30	"AT1G60640"	"AT1G60640"	chr1	-	22338173	22338233	22338466	22338526	22338008	22338074	22338617	22338683	30	21,41,30	44,32,26	21,33,24	65,53,33	208	208	0.0800373888234	0.297741395653	0.323,0.562,0.536	0.244,0.384,0.421	0.124
31	"AT5G52070"	"AT5G52070"	chr5	+	21162095	21162208	21163578	21163648	21161310	21161353	21163726	21163968	31	4,0,0	0,0,0	15,11,2	2,0,4	261	218	1	1.0	1.0,NA,NA	0.862,1.0,0.295	0.281
32	"AT2G14530"	"TBL13"	chr2	+	6188028	6188206	6188432	6188573	6187420	6187883	6189083	6189204	32	12,8,22	14,30,38	10,29,13	42,83,42	298	289	0.118202429332	0.360852713169	0.454,0.205,0.36	0.188,0.253,0.231	0.116
33	"AT5G62575"	"SDH7B"	chr5	+	25117686	25117755	25118053	25118156	25117519	25117601	25118494	25118892	33	35,30,20	119,103,99	44,38,24	152,177,116	217	251	0.586576548705	0.873044165514	0.254,0.252,0.189	0.251,0.199,0.193	0.017
34	"AT5G62575"	"SDH7B"	chr5	+	25117689	25117755	25118053	25118156	25117487	25117601	25118494	25118735	34	7,10,9	119,103,99	22,20,15	152,177,116	214	251	0.0513247419229	0.273731956922	0.065,0.102,0.096	0.145,0.117,0.132	-0.044
35	"AT3G55080"	"AT3G55080"	chr3	-	20412581	20412665	20412826	20412862	20412265	20412399	20413137	20413218	35	9,8,19	35,31,31	1,19,9	21,49,22	184	232	0.490068433838	0.825378414885	0.245,0.246,0.436	0.057,0.328,0.34	0.067
36	"AT3G55080"	"AT3G55080"	chr3	-	20412581	20412665	20412826	20412877	20412265	20412399	20413137	20413218	36	0,0,0	35,31,31	0,1,0	21,49,22	199	232	1	1.0	0.0,0.0,0.0	0.0,0.023,0.0	-0.008
37	"AT4G33925"	"AT4G33925"	chr4	+	16263437	16263459	16263574	16263680	16263236	16263352	16263761	16263869	37	0,0,2	18,13,16	4,0,2	14,21,6	170	254	0.0110992505879	0.0887940047032	0.0,0.0,0.157	0.299,0.0,0.332	-0.158
38	"AT3G28080"	"AT3G28080"	chr3	+	10452019	10452133	10453377	10453624	10451837	10451903	10454443	10454605	38	30,58,36	108,171,173	38,77,32	58,82,45	262	298	2.8986131273e-09	9.27556200736e-08	0.24,0.278,0.191	0.427,0.516,0.447	-0.227
39	"AT3G28080"	"AT3G28080"	chr3	+	10452019	10452133	10453377	10453624	10451837	10451903	10454695	10454844	39	30,58,36	22,53,35	38,77,32	9,48,20	262	298	0.0202324321158	0.143875072823	0.608,0.555,0.539	0.828,0.646,0.645	-0.139
