ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"AT4G35785"	"AT4G35785"	chr4	-	16953724	16953890	16953853	16953890	16953522	16953592	0	150,170,118	2,0,1	84,161,93	10,14,0	278	149	3.91225222551e-07	8.16878264686e-06	0.976,1.0,0.984	0.818,0.86,1.0	0.094
1	"AT4G32590"	"AT4G32590"	chr4	+	15722015	15722073	15722015	15722069	15722237	15722300	1	0,0,2	416,461,396	0,2,1	795,1131,658	153	149	1	1.0	0.0,0.0,0.005	0.0,0.002,0.001	0.001
4	"AT1G52220"	"CURT1C"	chr1	-	19454377	19454697	19454380	19454697	19454186	19454273	4	1232,1245,1174	1,4,2	1510,2801,1615	0,0,0	152	149	1	1.0	0.999,0.997,0.998	1.0,1.0,1.0	-0.002
5	"AT2G43920"	"HOL2"	chr2	-	18189716	18189767	18189720	18189767	18189505	18189584	5	0,2,0	106,96,95	0,0,0	139,312,139	153	149	1	1.0	0.0,0.02,0.0	0.0,0.0,0.0	0.007
6	"AT4G33520"	"PAA1"	chr4	+	16125440	16125525	16125440	16125521	16125625	16126150	6	2,1,2	4,6,2	0,0,1	1,0,0	153	149	1	1.0	0.327,0.14,0.493	0.0,NA,1.0	-0.18
10	"AT4G20350"	"AT4G20350"	chr4	+	10988717	10988760	10988717	10988756	10988855	10988968	10	0,0,2	13,12,6	2,1,0	9,21,14	153	149	0.862851203722	1.0	0.0,0.0,0.245	0.178,0.044,0.0	0.008
11	"AT1G78870"	"UBC35"	chr1	+	29650928	29651018	29650928	29651015	29651315	29651374	11	3,16,10	219,275,185	6,6,4	205,291,153	152	149	0.0699495697628	0.283051747412	0.013,0.054,0.05	0.028,0.02,0.025	0.015
12	"AT3G03100"	"AT3G03100"	chr3	-	706206	706302	706210	706302	705821	705927	12	12,21,10	0,0,0	14,16,13	0,2,0	153	149	1	1.0	1.0,1.0,1.0	1.0,0.886,1.0	0.038
14	"AT1G15860"	"AT1G15860"	chr1	+	5456303	5456437	5456303	5456410	5456503	5456569	14	0,2,0	113,150,143	0,0,0	159,244,122	176	149	1	1.0	0.0,0.011,0.0	0.0,0.0,0.0	0.004
15	"AT4G03200"	"AT4G03200"	chr4	+	1408158	1408858	1408158	1408589	1409307	1409386	15	7,3,1	0,7,0	0,1,3	0,1,2	418	149	1	1.0	1.0,0.133,1.0	NA,0.263,0.348	0.405
16	"AT3G20970"	"NIFU4"	chr3	+	7349519	7349627	7349519	7349623	7349732	7349838	16	0,0,1	0,0,0	1,1,1	0,1,0	153	149	1	1.0	NA,NA,1.0	1.0,0.493,1.0	0.169
17	"AT1G78510"	"SPS1"	chr1	-	29536972	29537417	29536976	29537417	29536697	29536822	17	0,0,0	91,66,56	0,1,1	56,153,68	153	149	1	1.0	0.0,0.0,0.0	0.0,0.006,0.014	-0.007
19	"AT1G07890"	"APX1"	chr1	+	2437677	2437833	2437677	2437741	2437992	2438123	19	21,9,9	3,0,1	22,31,23	0,1,0	241	149	0.21080839394	0.639778963004	0.812,1.0,0.848	1.0,0.95,1.0	-0.097
21	"AT1G32190"	"AT1G32190"	chr1	-	11594627	11594664	11594632	11594664	11594171	11594408	21	12,21,9	0,0,0	19,35,8	0,2,1	154	149	0.705635270114	1.0	1.0,1.0,1.0	1.0,0.944,0.886	0.057
27	"AT1G67500"	"REV3"	chr1	-	25294487	25294841	25294657	25294841	25292788	25294409	27	8,8,2	0,2,0	2,7,2	0,0,0	319	149	1	1.0	1.0,0.651,1.0	1.0,1.0,1.0	-0.116
28	"AT3G04910"	"WNK1"	chr3	+	1355239	1355277	1355239	1355275	1355717	1355945	28	175,199,134	19,21,16	69,167,67	2,4,0	151	149	1.05271130035e-07	2.49779681265e-06	0.901,0.903,0.892	0.971,0.976,1.0	-0.084
29	"AT5G57290"	"RPP3B"	chr5	-	23207637	23207926	23207640	23207926	23206801	23207213	29	877,1177,1002	22,33,19	1533,1809,916	34,37,16	152	149	0.380991926466	1.0	0.975,0.972,0.981	0.978,0.98,0.982	-0.004
30	"AT2G47690"	"AT2G47690"	chr2	+	19551262	19551521	19551262	19551517	19551950	19552358	30	0,0,1	370,435,433	6,11,0	610,715,409	153	149	1	1.0	0.0,0.0,0.002	0.009,0.015,0.0	-0.007
33	"AT3G10300"	"CML49"	chr3	+	3186313	3187099	3186313	3187096	3187399	3187446	33	0,0,0	115,87,84	1,0,0	79,112,53	152	149	1	1.0	0.0,0.0,0.0	0.012,0.0,0.0	-0.004
35	"AT1G59750"	"ARF1"	chr1	+	21979383	21979619	21979383	21979423	21980383	21980450	35	126,114,79	10,10,3	24,66,24	1,4,3	345	149	0.594837486346	1.0	0.845,0.831,0.919	0.912,0.877,0.776	0.01
36	"AT1G59750"	"ARF1"	chr1	+	21982823	21982995	21982823	21982989	21983071	21983541	36	118,221,120	2,1,0	105,134,70	0,1,3	155	149	1	1.0	0.983,0.995,1.0	1.0,0.992,0.957	0.01
37	"AT1G59750"	"ARF1"	chr1	+	21982823	21982995	21982823	21982989	21983080	21983541	37	51,64,38	52,45,44	24,44,22	17,40,17	155	149	0.563970415325	1.0	0.485,0.578,0.454	0.576,0.514,0.554	-0.042
38	"AT4G33630"	"EX1"	chr4	+	16159001	16159197	16159001	16159147	16159273	16159577	38	41,36,51	0,1,1	78,113,46	2,2,0	199	149	0.664381072378	1.0	1.0,0.964,0.974	0.967,0.977,1.0	-0.002
39	"AT3G03890"	"AT3G03890"	chr3	-	999820	999905	999840	999905	999466	999718	39	7,4,2	183,200,251	4,5,4	319,496,218	169	149	0.385477467956	1.0	0.033,0.017,0.007	0.011,0.009,0.016	0.007
43	"AT5G42870"	"PAH2"	chr5	-	17187281	17187811	17187296	17187811	17187127	17187201	43	56,85,46	16,12,12	44,52,40	10,7,7	164	149	0.44120796287	1.0	0.761,0.866,0.777	0.8,0.871,0.838	-0.035
44	"AT5G54750"	"AT5G54750"	chr5	+	22242403	22242540	22242403	22242501	22242750	22242850	44	1,2,2	124,152,83	0,0,0	122,219,95	188	149	1	1.0	0.006,0.01,0.019	0.0,0.0,0.0	0.012
45	"AT1G18270"	"AT1G18270"	chr1	-	6286737	6286917	6286797	6286917	6286590	6286659	45	0,0,0	39,53,40	1,0,0	26,54,41	209	149	1	1.0	0.0,0.0,0.0	0.027,0.0,0.0	-0.009
46	"AT5G46290"	"KAS1"	chr5	-	18774726	18774876	18774774	18774876	18774588	18774655	46	1,3,2	463,567,480	0,1,0	609,998,495	197	149	1	1.0	0.002,0.004,0.003	0.0,0.001,0.0	0.003
47	"AT5G44750"	"REV1"	chr5	+	18056513	18056585	18056513	18056573	18056667	18056754	47	6,8,3	0,2,0	4,8,3	7,12,3	161	149	4.58179344021e-07	9.19883144534e-06	1.0,0.787,1.0	0.346,0.382,0.481	0.526
51	"AT5G18630"	"AT5G18630"	chr5	+	6202961	6203037	6202961	6203034	6203415	6203495	51	55,45,41	47,44,29	16,54,19	14,42,31	152	149	0.478916022228	1.0	0.534,0.501,0.581	0.528,0.558,0.375	0.052
54	"AT4G26510"	"UKL4"	chr4	+	13384061	13384164	13384061	13384106	13384489	13384659	54	5,1,0	16,9,10	0,0,0	7,13,7	207	149	0.0193681781808	0.100100881291	0.184,0.074,0.0	0.0,0.0,0.0	0.086
56	"AT5G49970"	"PPOX1"	chr5	+	20332398	20332486	20332398	20332469	20332560	20332656	56	4,0,2	291,390,329	4,1,0	409,612,345	166	149	1	1.0	0.012,0.0,0.005	0.009,0.001,0.0	0.002
62	"AT4G00660"	"RH8"	chr4	+	277359	277487	277359	277444	277838	278737	62	163,182,193	1,9,1	251,412,217	23,13,6	192	149	0.00265510206199	0.0195206095262	0.992,0.94,0.993	0.894,0.961,0.966	0.035
63	"AT4G17830"	"AT4G17830"	chr4	+	9916456	9916716	9916456	9916701	9916792	9916901	63	1,0,0	69,126,60	0,1,0	94,109,65	164	149	1	1.0	0.013,0.0,0.0	0.0,0.008,0.0	0.002
65	"AT2G11000"	"ATMAK10"	chr2	-	4345755	4345841	4345760	4345841	4344896	4345169	65	43,35,39	6,15,9	11,27,15	3,7,3	154	149	0.876697441796	1.0	0.874,0.693,0.807	0.78,0.789,0.829	-0.008
71	"AT3G54440"	"AT3G54440"	chr3	-	20148811	20149486	20148814	20149486	20148335	20148664	71	1,0,0	218,338,260	0,0,4	258,366,181	152	149	1	1.0	0.004,0.0,0.0	0.0,0.0,0.021	-0.006
73	"AT1G51690"	"PP2AB1"	chr1	+	19167361	19167568	19167361	19167565	19167960	19168052	73	68,74,44	19,27,34	43,100,47	20,35,16	152	149	0.593559258039	1.0	0.778,0.729,0.559	0.678,0.737,0.742	-0.03
74	"AT4G09980"	"EMB1691"	chr4	-	6249104	6249224	6249115	6249224	6248510	6248662	74	1,2,1	34,46,75	8,3,1	58,84,37	160	149	0.0256209834872	0.123834753521	0.027,0.039,0.012	0.114,0.032,0.025	-0.031
75	"AT3G49010"	"RPL13B"	chr3	-	18167290	18167449	18167296	18167449	18166768	18167192	75	1697,2015,1684	1,0,2	2592,2919,1527	7,7,0	155	149	1	1.0	0.999,1.0,0.999	0.997,0.998,1.0	0.001
76	"AT1G29120"	"AT1G29120"	chr1	+	10177613	10177784	10177613	10177782	10177860	10177958	76	0,0,0	161,184,199	1,0,0	181,279,143	151	149	1	1.0	0.0,0.0,0.0	0.005,0.0,0.0	-0.002
78	"AT1G11170"	"AT1G11170"	chr1	+	3743579	3743667	3743579	3743633	3743793	3743886	78	0,4,1	21,34,25	0,2,0	12,16,13	183	149	0.290760712459	0.833940065404	0.0,0.087,0.032	0.0,0.092,0.0	0.009
79	"AT3G43740"	"AT3G43740"	chr3	+	15644587	15644893	15644587	15644659	15645035	15645107	79	194,220,232	1,2,4	187,228,102	0,0,0	383	149	0.494318851998	1.0	0.987,0.977,0.958	1.0,1.0,1.0	-0.026
81	"AT2G39470"	"PNSL1"	chr2	+	16476476	16476558	16476476	16476534	16476643	16476748	81	857,953,817	97,125,85	767,1471,839	131,311,142	173	149	2.67982440921e-05	0.000333063890859	0.884,0.868,0.892	0.835,0.803,0.836	0.057
82	"AT4G35030"	"AT4G35030"	chr4	+	16676954	16677123	16676954	16677118	16677197	16677428	82	0,0,0	23,15,29	0,4,4	20,56,21	154	149	0.00570654774548	0.035462571777	0.0,0.0,0.0	0.0,0.065,0.156	-0.074
84	"AT4G17570"	"GATA26"	chr4	-	9785983	9786364	9785995	9786364	9785503	9785903	84	18,24,13	21,27,17	12,20,12	19,57,32	161	149	0.00973358987737	0.0570891451235	0.442,0.451,0.414	0.369,0.245,0.258	0.145
85	"AT2G01070"	"AT2G01070"	chr2	+	77144	77400	77144	77281	77474	77865	85	3,0,1	95,120,148	1,0,4	96,186,92	268	149	1	1.0	0.017,0.0,0.004	0.006,0.0,0.024	-0.003
86	"AT1G32410"	"AT1G32410"	chr1	+	11693831	11693925	11693831	11693921	11694367	11694496	86	23,30,28	6,3,8	23,41,6	2,9,2	153	149	0.67217454546	1.0	0.789,0.907,0.773	0.918,0.816,0.745	-0.003
87	"AT1G15110"	"PSS1"	chr1	+	5201592	5201685	5201592	5201681	5201780	5202175	87	1,0,2	114,123,132	0,3,1	77,123,70	153	149	1	1.0	0.008,0.0,0.015	0.0,0.023,0.014	-0.005
88	"AT5G09230"	"SRT2"	chr5	+	2872304	2872361	2872304	2872350	2872459	2872620	88	20,27,22	37,34,18	22,29,25	32,56,37	160	149	0.337536608654	0.938575822075	0.335,0.425,0.532	0.39,0.325,0.386	0.064
93	"AT1G45230"	"AT1G45230"	chr1	-	17170336	17170455	17170340	17170455	17169538	17170046	93	2,8,9	0,0,0	7,7,1	2,0,0	153	149	1	1.0	1.0,1.0,1.0	0.773,1.0,1.0	0.076
95	"AT4G24550"	"AP4M"	chr4	+	12678334	12678426	12678334	12678422	12678509	12678570	95	1,0,0	192,289,242	0,1,0	248,370,214	153	149	1	1.0	0.005,0.0,0.0	0.0,0.003,0.0	0.001
96	"AT4G19960"	"POT9"	chr4	+	10815415	10815718	10815415	10815670	10815836	10816359	96	0,0,2	69,58,61	0,0,0	11,80,18	197	149	1	1.0	0.0,0.0,0.024	0.0,0.0,0.0	0.008
99	"AT1G06570"	"PDS1"	chr1	-	2012296	2013545	2012303	2013545	2011884	2012189	99	176,106,142	0,0,0	167,407,193	0,0,6	156	149	1	1.0	1.0,1.0,1.0	1.0,1.0,0.968	0.011
100	"AT1G01060"	"LHY"	chr1	-	37372	37780	37568	37780	37022	37203	100	98,56,52	0,3,0	45,220,68	1,3,4	345	149	0.0818966299648	0.319030155535	1.0,0.89,1.0	0.951,0.969,0.88	0.03
103	"AT4G26700"	"FIM1"	chr4	+	13466807	13466928	13466807	13466904	13466998	13467090	103	9,32,18	164,181,214	26,24,16	156,262,136	173	149	0.518423538803	1.0	0.045,0.132,0.068	0.126,0.073,0.092	-0.015
105	"AT1G67280"	"AT1G67280"	chr1	-	25190432	25190694	25190544	25190694	25190087	25190283	105	560,479,332	0,1,0	299,698,293	0,0,0	261	149	1	1.0	1.0,0.996,1.0	1.0,1.0,1.0	-0.001
106	"AT5G27290"	"AT5G27290"	chr5	-	9618868	9618964	9618908	9618964	9618391	9618790	106	275,330,340	0,2,0	415,643,300	2,2,1	189	149	1	1.0	1.0,0.992,1.0	0.994,0.996,0.996	0.002
107	"AT1G50200"	"ALATS"	chr1	-	18592129	18592243	18592153	18592243	18591862	18592045	107	0,1,0	451,648,516	0,0,0	541,879,441	173	149	1	1.0	0.0,0.001,0.0	0.0,0.0,0.0	0.0
108	"AT2G28800"	"ALB3"	chr2	-	12357448	12357556	12357452	12357556	12356994	12357144	108	7,5,5	1019,1082,1040	1,9,5	827,1771,939	153	149	1	1.0	0.007,0.004,0.005	0.001,0.005,0.005	0.002
111	"AT1G76050"	"AT1G76050"	chr1	+	28541812	28542034	28541812	28542015	28542153	28542232	111	2,4,2	26,34,26	0,0,0	35,86,34	168	149	0.00400516476197	0.0271518961785	0.064,0.094,0.064	0.0,0.0,0.0	0.074
113	"AT2G46270"	"GBF3"	chr2	+	19002054	19002230	19002054	19002161	19002321	19002399	113	97,88,79	26,31,25	40,65,41	18,55,27	218	149	0.000677533936289	0.00721781050496	0.718,0.66,0.684	0.603,0.447,0.509	0.168
114	"AT4G38510"	"VHA-B2"	chr4	-	18014883	18014975	18014902	18014975	18014734	18014796	114	0,0,0	9,12,7	0,2,3	48,95,38	168	149	0.491212832454	1.0	0.0,0.0,0.0	0.0,0.018,0.065	-0.028
115	"AT4G38510"	"VHA-B2"	chr4	-	18014883	18014975	18014959	18014975	18014734	18014796	115	0,0,0	47,44,36	4,5,3	9,35,4	225	149	9.63377047469e-07	1.6762760626e-05	0.0,0.0,0.0	0.227,0.086,0.332	-0.215
116	"AT4G38510"	"VHA-B2"	chr4	-	18014902	18014975	18014959	18014975	18014734	18014796	116	9,12,7	47,44,36	52,98,38	9,35,4	206	149	0	0.0	0.122,0.165,0.123	0.807,0.669,0.873	-0.646
118	"AT2G38185"	"AT2G38185"	chr2	+	16001638	16001739	16001638	16001721	16001803	16001950	118	0,0,0	14,38,27	0,3,0	19,29,23	167	149	0.804347431675	1.0	0.0,0.0,0.0	0.0,0.084,0.0	-0.028
122	"AT5G63960"	"POLD1"	chr5	+	25601114	25601303	25601114	25601252	25601462	25601540	122	0,2,0	13,10,15	0,0,0	4,13,12	200	149	1	1.0	0.0,0.13,0.0	0.0,0.0,0.0	0.043
123	"AT3G10770"	"AT3G10770"	chr3	-	3372900	3373555	3372924	3373555	3372572	3372812	123	255,288,216	47,49,50	254,441,216	19,15,9	173	149	2.55351295664e-14	1.90419109052e-12	0.824,0.835,0.788	0.92,0.962,0.954	-0.13
126	"AT3G07300"	"AT3G07300"	chr3	-	2326718	2327012	2326724	2327012	2326090	2326220	126	18,17,7	48,63,42	9,18,11	30,48,21	155	149	0.244897930496	0.722241354344	0.265,0.206,0.138	0.224,0.265,0.335	-0.072
127	"AT5G13220"	"TIFY9"	chr5	+	4219466	4219684	4219466	4219629	4219934	4219992	127	5,16,10	1,2,0	11,44,22	1,2,1	204	149	0.873953451146	1.0	0.785,0.854,1.0	0.889,0.941,0.941	-0.044
128	"AT4G24230"	"ACBP3"	chr4	-	12567237	12567362	12567250	12567362	12566630	12567138	128	2,0,0	85,63,75	6,9,5	37,88,48	162	149	7.70940507544e-07	1.38769291358e-05	0.021,0.0,0.0	0.13,0.086,0.087	-0.094
129	"AT4G24230"	"ACBP3"	chr4	-	12567237	12567362	12567250	12567362	12566943	12567132	129	2,0,0	2,11,19	2,4,1	0,6,4	162	149	0.00197229262875	0.0166796974252	0.479,0.0,0.0	1.0,0.38,0.187	-0.363
130	"AT5G32440"	"AT5G32440"	chr5	+	12077471	12077634	12077471	12077631	12077745	12077933	130	2,0,0	154,193,180	2,0,0	174,299,110	152	149	1	1.0	0.013,0.0,0.0	0.011,0.0,0.0	0.001
131	"AT3G01310"	"AT3G01310"	chr3	-	101513	101660	101531	101660	101296	101356	131	29,20,4	65,99,29	9,7,2	24,38,22	167	149	0.375463831928	1.0	0.285,0.153,0.11	0.251,0.141,0.075	0.027
133	"AT4G35790"	"PLDDELTA"	chr4	-	16958623	16958773	16958656	16958773	16958151	16958346	133	1,1,0	132,122,60	0,3,0	64,144,75	182	149	1	1.0	0.006,0.007,0.0	0.0,0.017,0.0	-0.001
134	"AT5G09890"	"AT5G09890"	chr5	-	3086140	3086222	3086143	3086222	3085951	3086008	134	6,6,2	141,176,172	0,5,6	174,247,122	152	149	0.389303368897	1.0	0.04,0.032,0.011	0.0,0.019,0.046	0.006
135	"AT2G41430"	"ERD15"	chr2	+	17269231	17269490	17269231	17269402	17269719	17270075	135	4,4,6	1498,1800,1266	0,5,1	896,1192,665	237	149	1	1.0	0.002,0.001,0.003	0.0,0.003,0.001	0.001
