ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"AT4G35785"	"AT4G35785"	chr4	-	16953522	16953890	16953522	16953592	16953724	16953890
1	"AT4G35785"	"AT4G35785"	chr4	-	16953522	16953890	16953522	16953592	16953853	16953890
2	"AT5G06710"	"HAT14"	chr5	-	2068962	2069490	2068962	2069042	2069164	2069490
3	"AT1G61970"	"AT1G61970"	chr1	+	22906472	22907630	22906472	22907329	22907434	22907630
4	"AT5G22660"	"AT5G22660"	chr5	-	7536705	7537990	7536705	7536846	7536929	7537990
5	"AT1G11720"	"SS3"	chr1	+	3952344	3953618	3952344	3952408	3952484	3953618
6	"AT3G06080"	"TBL10"	chr3	-	1834706	1835642	1834706	1835349	1835483	1835642
7	"AT3G61600"	"POB1"	chr3	+	22797127	22798320	22797127	22797937	22798053	22798320
8	"AT4G02260"	"RSH1"	chr4	+	990214	990810	990214	990662	990748	990810
9	"AT3G53970"	"AT3G53970"	chr3	+	19986685	19986960	19986685	19986758	19986879	19986960
10	"AT1G78870"	"UBC35"	chr1	+	29651771	29652046	29651771	29651845	29651948	29652046
11	"AT2G43190"	"AT2G43190"	chr2	+	17955988	17956430	17955988	17956062	17956198	17956430
12	"AT2G43190"	"AT2G43190"	chr2	+	17956689	17956952	17956689	17956722	17956827	17956952
13	"AT5G37370"	"ATSRL1"	chr5	-	14815697	14816046	14815697	14815843	14815937	14816046
14	"AT4G02540"	"AT4G02540"	chr4	+	1117153	1119817	1117153	1118897	1119006	1119817
15	"AT4G03200"	"AT4G03200"	chr4	+	1408158	1408858	1408158	1408589	1408785	1408858
16	"AT2G05510"	"AT2G05510"	chr2	+	2016225	2016749	2016225	2016288	2016390	2016749
17	"AT2G05510"	"AT2G05510"	chr2	+	2016225	2016726	2016225	2016354	2016423	2016726
18	"AT2G05510"	"AT2G05510"	chr2	+	2016225	2016749	2016225	2016354	2016432	2016749
19	"AT3G18780"	"ACT2"	chr3	+	6476066	6477204	6476066	6476680	6476766	6477204
