ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"AT1G17140"	"ICR1"	chr1	-	5857847	5857957	5858247	5858310	5856572	5857760	5858452	5858550	1	4,4,5	63,42,90	13,3,9	101,60,88	161	198	0.191740176737	0.776547715785	0.072,0.105,0.064	0.137,0.058,0.112	-0.022
2	"AT1G10570"	"ULP1C"	chr1	+	3489673	3489776	3490054	3490152	3489484	3489589	3490367	3490490	2	117,84,126	137,110,154	73,52,97	100,58,130	198	196	0.729821860197	1.0	0.458,0.43,0.447	0.419,0.47,0.425	0.007
3	"AT5G08185"	"MIR162A"	chr5	-	2634973	2635046	2635133	2635226	2634771	2634875	2635321	2635436	3	2,2,7	1,0,0	38,24,47	13,6,6	191	171	0.000325976595971	0.00707070863838	0.642,1.0,1.0	0.724,0.782,0.875	0.087
4	"AT1G62800"	"ASP4"	chr1	-	23256435	23256535	23256952	23257014	23256114	23256235	23257135	23257207	4	72,45,77	100,71,128	62,29,51	111,54,97	160	198	0.256526088302	0.913537770071	0.471,0.44,0.427	0.409,0.399,0.394	0.045
5	"AT4G02760"	"AT4G02760"	chr4	-	1226580	1226691	1226885	1226987	1226311	1226412	1227080	1227256	5	70,47,112	10,6,1	31,17,36	22,14,12	198	198	1.70438019254e-09	6.90273977979e-08	0.875,0.887,0.991	0.585,0.548,0.75	0.29
6	"AT3G28100"	"AT3G28100"	chr3	+	10458769	10459016	10460213	10460375	10456624	10456738	10460453	10460602	6	32,48,52	19,16,27	72,24,44	33,13,28	198	198	0.600837581833	1.0	0.627,0.75,0.658	0.686,0.649,0.611	0.03
7	"AT1G09195"	"AT1G09195"	chr1	-	2968379	2968403	2968474	2968536	2967939	2968199	2968652	2968758	7	15,9,11	1,0,0	14,8,15	2,1,0	160	122	0.717772220371	1.0	0.92,1.0,1.0	0.842,0.859,1.0	0.073
8	"AT1G09195"	"AT1G09195"	chr1	-	2968474	2968536	2968652	2968758	2967939	2968199	2968969	2969077	8	25,9,22	0,0,0	26,13,23	0,1,0	198	160	1	1.0	1.0,1.0,1.0	1.0,0.913,1.0	0.029
9	"AT1G09195"	"AT1G09195"	chr1	-	2968474	2968536	2968652	2968758	2968379	2968403	2968969	2969077	9	25,9,21	1,2,6	28,13,21	5,8,9	198	160	0.0552257368205	0.344098821728	0.953,0.784,0.739	0.819,0.568,0.653	0.145
10	"AT4G32360"	"MFDR"	chr4	+	15622202	15622256	15622382	15622499	15621970	15622084	15622643	15622753	10	17,19,16	18,14,30	28,9,20	25,16,30	152	198	0.788962214213	1.0	0.552,0.639,0.41	0.593,0.423,0.465	0.04
11	"AT4G32360"	"MFDR"	chr4	+	15622382	15622499	15622643	15622753	15622202	15622256	15622854	15622928	11	15,17,26	19,24,39	28,19,33	37,33,36	198	198	0.826879033856	1.0	0.441,0.415,0.4	0.431,0.365,0.478	-0.006
12	"AT3G05030"	"NHX2"	chr3	-	1395558	1395605	1395680	1395740	1395275	1395470	1395836	1395934	12	37,30,29	27,21,33	50,33,53	36,13,32	158	145	0.144206618878	0.648929784951	0.557,0.567,0.446	0.56,0.7,0.603	-0.098
13	"AT5G65050"	"AGL31"	chr5	+	25985302	25985344	25985653	25985695	25985088	25985188	25986012	25986326	13	100,70,126	100,56,119	94,103,131	80,93,137	140	140	0.909409198511	1.0	0.5,0.556,0.514	0.54,0.526,0.489	0.005
14	"AT3G19895"	"AT3G19895"	chr3	-	6918600	6918682	6919068	6919130	6918439	6918497	6919505	6919680	14	29,34,52	12,14,27	30,23,38	18,17,15	160	180	0.487516680681	1.0	0.731,0.732,0.684	0.652,0.603,0.74	0.051
16	"AT5G59770"	"AT5G59770"	chr5	-	24079962	24080009	24080110	24080178	24079796	24079894	24080373	24080427	16	97,80,154	82,84,117	119,99,155	98,83,142	166	145	0.968383060193	1.0	0.508,0.454,0.535	0.515,0.51,0.488	-0.005
17	"AT5G13030"	"AT5G13030"	chr5	+	4133878	4133988	4134287	4134344	4133203	4133566	4134433	4134733	17	164,124,290	89,110,145	279,100,225	171,67,138	198	155	0.927222124368	1.0	0.591,0.469,0.61	0.561,0.539,0.561	0.003
18	"AT1G55690"	"SFH13"	chr1	-	20811824	20811922	20812172	20812296	20811439	20811743	20812616	20812840	18	44,37,75	37,50,70	56,33,65	56,30,82	198	196	0.743644501484	1.0	0.541,0.423,0.515	0.497,0.521,0.44	0.007
19	"AT3G16220"	"AT3G16220"	chr3	+	5498154	5498267	5498362	5498428	5497926	5498077	5498501	5498592	19	61,73,89	37,39,56	126,72,117	93,67,89	198	164	0.062910950994	0.363984787894	0.577,0.608,0.568	0.529,0.471,0.521	0.077
