Gene ID	LSV ID	LSV Type	E(dPSI) per LSV junction	P(|dPSI|>=0.20) per LSV junction	P(|dPSI|<=0.05) per LSV junction	col0 E(PSI)	prmt5 E(PSI)	A5SS	A3SS	ES	Num. Junctions	Num. Exons	Junctions coords	IR coords
AT1G02780	AT1G02780:s:609280-609465	s|1e1.1o1|i	0.010627275153708978;-0.010627291345274193	1.2804286402047353e-20;1.357955181845347e-20	0.0018609085500634302;0.0018609668492253206	0.775;0.225	0.780;0.220	False	False	False	1	2	608938-609280	608938-609280
AT3G26690	AT3G26690:s:9804917-9805000	s|1e1.1o2|1e1.2o2	-0.00021891120161856957;0.00021894978269775797	8.371252716369708e-21;8.366087121938206e-21	0.17214423157146302;0.1721401007679776	0.952;0.048	0.952;0.048	False	True	False	2	2	9804842-9804917;9804838-9804917	
AT4G22740	AT4G22740:s:11945867-11945956	s|1e1.1o1|2e1.1o1	-4.089517198798607e-06;4.089662019445529e-06	2.599797097762164e-12;6.105676964570052e-21	0.012172625994027464;0.012162599988594813	0.995;0.005	0.995;0.005	True	False	False	2	2	11945580-11945891;11945580-11945867	
AT3G16470	AT3G16470:s:5596435-5596884	s|1e1.1o1|i	-0.0020194389521588515;0.002019459260208002	4.9503148461465405e-11;5.1374382933195546e-11	0.0025291283694681144;0.0025291094428462335	0.612;0.388	0.629;0.371	False	False	False	1	2	5596344-5596435	5596344-5596435
AT4G14160	AT4G14160:s:8170470-8170554	s|1e1.1o1|2e1.1o1	-5.5936364484802286e-05;5.593666250529428e-05	6.1088735632530386e-21;6.107551712186846e-21	0.40807475669180426;0.41146124616951774	0.999;0.001	0.980;0.020	True	False	False	2	2	8170551-8171299;8170554-8171299	
AT4G33010	AT4G33010:s:15927444-15927569	s|1e1.1o1|i	0.0004558191873832375;-0.00045581778678487755	1.6197903122506306e-20;1.627032219550553e-20	0.005612639173549604;0.005612650468528102	0.631;0.369	0.625;0.375	False	False	False	1	2	15927356-15927444	15927356-15927444
AT3G55630	AT3G55630:s:20636669-20636794	s|1e1.1o2|1e1.2o2	7.88956963743657e-05;-7.889589155910628e-05	6.11234857743829e-21;6.114216388750674e-21	0.47447967677100183;0.47513803242076813	0.974;0.026	0.982;0.018	False	True	False	2	2	20636794-20636895;20636794-20636898	
AT4G16360	AT4G16360:s:9245863-9246044	s|1e1.1o2|1e1.2o2|i	-0.03371712134121271;-0.04537253355108142;0.09023768365401988	0.0005710400284125583;7.32174864785593e-10;0.022183108900930677	0.0008296803182379353;0.0070167131105933755;0.00022317635539885114	0.517;0.125;0.357	0.468;0.071;0.460	False	True	False	2	2	9246044-9246142;9246044-9246145	9246044-9246145
AT1G04080	AT1G04080:t:1053327-1053494	t|1e1.1o1|1e2.1o1	0.16022629317960346;-0.1602262699232992	0.12720907489011402;0.12720900911848593	5.2230244239344926e-08;5.223409360599618e-08	0.818;0.182	0.974;0.026	False	False	True	2	3	1052775-1053327;1053187-1053327	
AT2G24060	AT2G24060:s:10229821-10229860	s|1e1.1o2|1e1.2o2	-0.013746547759079039;0.01374656940156281	8.850745931089054e-21;1.110308278378022e-16	0.020210515483016445;0.020208745667717905	0.050;0.950	0.024;0.976	False	True	False	2	2	10229860-10229928;10229860-10229947	
AT4G04920	AT4G04920:s:2502757-2502928	s|1e1.1o3|1e1.2o3|1e1.3o3	-9.76129539805205e-06;-0.0021997021041096606;0.0020726167744412275	6.100371740268029e-21;2.1606812429887517e-08;1.0323132462117216e-08	0.013990099494273323;0.0019647759889306338;0.0024189295061570193	0.003;0.964;0.033	0.002;0.958;0.039	False	True	False	3	2	2502928-2503247;2502928-2503277;2502928-2503280	
AT5G35560	AT5G35560:s:13745139-13745504	s|1e1.1o2|1e1.2o2	0.03616266143712889;-0.036162660918952615	0.0023025436214209973;0.0023025520791322344	5.076502955035471e-05;5.076849898677516e-05	0.815;0.185	0.876;0.124	False	True	False	2	2	13744787-13745139;13744780-13745139	
AT5G51630	AT5G51630:s:20974412-20974534	s|1e1.1o1|2e1.1o1	0.00028190908051579553;-0.0002819077274687146	6.1483645411694245e-21;9.860821357485145e-11	0.005984532100747731;0.005984502250464208	0.003;0.997	0.014;0.986	True	False	False	2	2	20974530-20974647;20974534-20974647	
AT2G42130	AT2G42130:s:17566748-17566932	s|1e1.1o2|1e1.2o2	-0.007435733271006004;0.007435740043368072	7.581498056378209e-21;7.405745613329645e-21	0.25790614731143835;0.25792862519681314	0.045;0.955	0.019;0.981	False	True	False	2	2	17566932-17567011;17566932-17567019	
AT3G60300	AT3G60300:s:22286759-22286874	s|1e1.1o2|1e1.2o2	-9.076604671467622e-07;9.075609308432188e-07	6.097897415666239e-21;6.0978747876190535e-21	0.4873321595567268;0.4873360774533918	0.982;0.018	0.980;0.020	False	True	False	2	2	22286874-22286957;22286874-22286965	
AT1G30510	AT1G30510:s:10808573-10808632	s|1e1.1o2|1e1.2o2	0.035768827911583805;-0.03576882376980439	3.1869565886059303e-07;3.1867306610993263e-07	0.0001367103838879454;0.0001367226937543098	0.819;0.181	0.864;0.136	False	True	False	2	2	10808403-10808573;10808400-10808573	
AT5G22480	AT5G22480:s:7453035-7453124	s|1e1.1o2|1e1.2o2	0.05214161290728006;-0.05214159673520169	4.563256413655671e-05;4.5632994362244406e-05	4.856716837572816e-05;4.8571598192159726e-05	0.900;0.100	0.967;0.033	False	True	False	2	2	7452620-7453035;7452607-7453035	
