ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
1	"AT4G12020"	"WRKY19"	chr4	+	7208343	7208416	7208515	7208563	7208086	7208244	7208915	7209032
2	"AT1G10570"	"ULP1C"	chr1	+	3489673	3489776	3490054	3490152	3489484	3489589	3490367	3490490
4	"AT1G75340"	"CG1"	chr1	-	28269962	28270055	28270155	28270233	28269770	28269856	28270328	28270546
5	"AT3G28100"	"AT3G28100"	chr3	+	10458769	10459016	10460213	10460375	10456624	10456738	10460453	10460602
6	"AT2G32640"	"AT2G32640"	chr2	-	13848409	13848443	13848608	13848676	13848224	13848309	13848756	13848885
7	"AT3G05030"	"NHX2"	chr3	-	1395558	1395605	1395680	1395740	1395275	1395470	1395836	1395934
9	"AT4G00180"	"YAB3"	chr4	-	73447	73523	73658	73707	72989	73067	74267	74427
10	"AT4G39710"	"PNSL4"	chr4	-	18427558	18427619	18427798	18427891	18427413	18427482	18427977	18428375
11	"AT4G39710"	"PNSL4"	chr4	-	18427562	18427619	18427798	18427891	18427413	18427482	18427977	18428412
12	"AT4G34090"	"AT4G34090"	chr4	-	16329165	16329223	16329320	16329363	16328908	16329064	16329453	16329528
13	"AT4G34090"	"AT4G34090"	chr4	-	16329165	16329223	16329320	16329366	16328908	16329064	16329453	16329528
17	"AT1G33615"	"AT1G33615"	chr1	-	12193811	12193938	12194172	12194261	12193622	12193711	12194350	12194374
19	"AT1G72190"	"AT1G72190"	chr1	-	27168940	27169085	27169329	27169468	27168708	27168836	27169598	27169717
21	"AT4G29940"	"PRH"	chr4	-	14648992	14649073	14649234	14649315	14648754	14648835	14649467	14649548
22	"AT3G55040"	"GSTL2"	chr3	-	20398912	20399020	20399107	20399184	20398537	20398816	20399274	20399377
23	"AT4G16146"	"AT4G16146"	chr4	-	9143144	9143192	9143280	9143343	9142987	9143050	9144302	9144385
24	"AT2G04900"	"AT2G04900"	chr2	+	1722824	1722905	1722989	1723029	1722669	1722740	1723506	1723831
25	"AT2G04900"	"AT2G04900"	chr2	+	1722824	1722905	1722989	1723033	1722669	1722740	1723506	1723831
27	"AT1G78680"	"GGH2"	chr1	+	29595199	29595289	29595372	29595435	29594911	29594972	29595561	29595650
28	"AT4G11670"	"AT4G11670"	chr4	-	7047882	7047975	7048107	7048263	7047503	7047575	7048350	7048536
29	"AT2G17190"	"DSK2A"	chr2	-	7478502	7478592	7478736	7478765	7478264	7478420	7479154	7479210
31	"AT5G52070"	"AT5G52070"	chr5	+	21162095	21162208	21163578	21163648	21161310	21161353	21163726	21163968
32	"AT2G14530"	"TBL13"	chr2	+	6188028	6188206	6188432	6188573	6187420	6187883	6189083	6189204
33	"AT5G62575"	"SDH7B"	chr5	+	25117686	25117755	25118053	25118156	25117519	25117601	25118494	25118892
34	"AT5G62575"	"SDH7B"	chr5	+	25117689	25117755	25118053	25118156	25117487	25117601	25118494	25118735
35	"AT3G55080"	"AT3G55080"	chr3	-	20412581	20412665	20412826	20412862	20412265	20412399	20413137	20413218
36	"AT3G55080"	"AT3G55080"	chr3	-	20412581	20412665	20412826	20412877	20412265	20412399	20413137	20413218
37	"AT4G33925"	"AT4G33925"	chr4	+	16263437	16263459	16263574	16263680	16263236	16263352	16263761	16263869
38	"AT3G28080"	"AT3G28080"	chr3	+	10452019	10452133	10453377	10453624	10451837	10451903	10454443	10454605
39	"AT3G28080"	"AT3G28080"	chr3	+	10452019	10452133	10453377	10453624	10451837	10451903	10454695	10454844
40	"AT3G28080"	"AT3G28080"	chr3	+	10453377	10453624	10454443	10454605	10452019	10452133	10454695	10454844
41	"AT5G10290"	"AT5G10290"	chr5	-	3236705	3236846	3236945	3237016	3235866	3236603	3237095	3237161
42	"AT1G66880"	"AT1G66880"	chr1	+	24950291	24950846	24952951	24953677	24948885	24949495	24953891	24953921
43	"AT1G66880"	"AT1G66880"	chr1	+	24951434	24952058	24952951	24953677	24950291	24950846	24953891	24953921
44	"AT1G06370"	"AT1G06370"	chr1	-	1943443	1943653	1943753	1943797	1943195	1943343	1943893	1944023
45	"AT3G60910"	"AT3G60910"	chr3	+	22502405	22502425	22502511	22502564	22502241	22502310	22502677	22502708
46	"AT3G16230"	"AT3G16230"	chr3	+	5500490	5500588	5500758	5500807	5500177	5500272	5500945	5501069
48	"AT4G26555"	"FKBP16-1"	chr4	-	13405078	13405139	13405229	13405323	13404951	13404997	13405430	13405465
49	"AT2G33980"	"NUDT22"	chr2	-	14353898	14353980	14354398	14354645	14352471	14352578	14355447	14355545
51	"AT2G45140"	"PVA12"	chr2	+	18611958	18612009	18612541	18612619	18611719	18611878	18612857	18613290
52	"AT1G51070"	"BHLH115"	chr1	+	18928692	18928755	18928858	18928936	18927886	18928130	18929018	18929181
53	"AT3G10030"	"AT3G10030"	chr3	-	3093464	3093556	3093630	3093684	3092909	3093145	3093769	3093914
54	"AT5G42620"	"AT5G42620"	chr5	+	17069472	17069572	17069811	17069881	17069262	17069389	17069965	17070118
55	"AT5G35180"	"AT5G35180"	chr5	+	13425403	13425469	13425637	13425696	13425138	13425192	13425916	13425993
56	"AT3G28130"	"AT3G28130"	chr3	+	10467731	10467978	10468076	10468238	10466086	10466200	10468314	10468463
57	"AT3G56160"	"BASS4"	chr3	-	20839033	20839055	20839374	20839488	20838308	20838394	20839733	20839802
58	"AT1G54730"	"AT1G54730"	chr1	+	20428048	20428111	20428387	20428447	20427299	20427343	20428788	20428842
59	"AT1G30810"	"JMJ18"	chr1	-	10941469	10941580	10941766	10941825	10941018	10941105	10942045	10942292
60	"AT4G27040"	"VP22-1"	chr4	-	13574948	13575081	13575225	13575299	13574741	13574852	13575398	13575538
64	"AT4G04330"	"AT4G04330"	chr4	-	2117037	2117054	2118002	2118120	2116865	2116928	2118202	2118297
65	"AT2G14285"	"AT2G14285"	chr2	-	6053097	6053135	6053487	6053537	6052852	6052917	6053917	6053994
66	"AT4G35570"	"HMGB5"	chr4	-	16887665	16887710	16887810	16887868	16887508	16887589	16887968	16888055
67	"AT3G23255"	"AT3G23255"	chr3	+	8312156	8312200	8312274	8312391	8311965	8312086	8312486	8312570
68	"AT3G62750"	"BGLU8"	chr3	+	23215853	23216083	23216168	23216194	23215673	23215789	23216267	23216355
69	"AT4G02120"	"AT4G02120"	chr4	+	942339	942386	942473	942543	942202	942265	942609	942672
70	"AT4G02120"	"AT4G02120"	chr4	+	942473	942543	942609	942672	942202	942265	942737	942827
71	"AT4G02120"	"AT4G02120"	chr4	+	942473	942543	942609	942672	942339	942386	942737	942827
73	"AT3G52072"	"AT3G52072"	chr3	-	19313645	19313836	19314090	19314213	19313233	19313532	19314478	19314577
