ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
3	"AT1G61970"	"AT1G61970"	chr1	+	22906472	22907630	22906472	22907329	22907434	22907630	3	5,4,4	2,1,0	5,4,3	1,1,1	204	99	0.728103231052	0.917528461895	0.548,0.66,1.0	0.708,0.66,0.593	0.082
5	"AT1G11720"	"SS3"	chr1	+	3952344	3953618	3952344	3952408	3952484	3953618	5	0,0,2	1,1,2	4,4,5	0,0,0	175	99	5.61006792354e-07	1.15941403753e-06	0.0,0.0,0.361	1.0,1.0,1.0	-0.88
10	"AT1G78870"	"UBC35"	chr1	+	29651771	29652046	29651771	29651845	29651948	29652046	10	2,1,4	9,9,9	21,26,32	3,2,2	202	99	3.33066907388e-16	9.64960198975e-16	0.098,0.052,0.179	0.774,0.864,0.887	-0.732
23	"AT1G07890"	"APX1"	chr1	+	2439277	2439665	2439277	2439336	2439419	2439665	23	4,4,2	70,64,87	310,303,318	17,15,15	182	99	0	0.0	0.03,0.033,0.012	0.908,0.917,0.92	-0.89
36	"AT1G14170"	"AT1G14170"	chr1	-	4844653	4845283	4844653	4845126	4845225	4845283	36	14,16,12	1,6,7	6,8,7	8,3,2	198	99	0.276117587346	0.408267575897	0.875,0.571,0.462	0.273,0.571,0.636	0.143
37	"AT1G14170"	"AT1G14170"	chr1	-	4844653	4845283	4844653	4845150	4845225	4845283	37	10,13,9	6,10,9	3,7,4	16,19,14	174	99	8.86053514563e-05	0.000174953241729	0.487,0.425,0.363	0.096,0.173,0.14	0.289
40	"AT1G67500"	"REV3"	chr1	-	25294487	25294841	25294487	25294579	25294657	25294841	40	3,2,7	4,4,7	2,3,2	2,1,3	177	99	0.725353295094	0.917528461895	0.296,0.219,0.359	0.359,0.627,0.272	-0.128
48	"AT1G75380"	"BBD1"	chr1	-	28281388	28281850	28281388	28281708	28281783	28281850	48	20,19,13	36,31,24	1,2,3	13,14,9	174	99	0.000461895985059	0.000873096069319	0.24,0.259,0.236	0.042,0.075,0.159	0.153
49	"AT1G72830"	"NFYA3"	chr1	-	27406172	27406343	27406172	27406250	27406325	27406343	49	11,10,4	0,0,0	0,0,0	15,16,13	174	99	0	0.0	1.0,1.0,1.0	0.0,0.0,0.0	1.0
55	"AT1G53260"	"AT1G53260"	chr1	-	19859266	19860060	19859266	19859671	19859781	19860060	55	0,1,0	5,4,5	2,3,8	0,0,0	209	99	0	0.0	0.0,0.106,0.0	1.0,1.0,1.0	-0.965
61	"AT1G56145"	"AT1G56145"	chr1	-	21008863	21009387	21008863	21009095	21009176	21009387	61	9,8,11	0,1,0	1,0,0	2,5,6	180	99	1.11022302463e-16	3.30931863111e-16	1.0,0.815,1.0	0.216,0.0,0.0	0.866
65	"AT1G65120"	"AT1G65120"	chr1	-	24191644	24191956	24191644	24191734	24191822	24191956	65	0,1,1	5,6,3	5,15,7	0,0,0	187	99	1	1.0	0.0,0.081,0.15	1.0,1.0,1.0	-0.923
68	"AT1G03520"	"AT1G03520"	chr1	-	878910	880158	878910	879300	879931	880158	68	24,22,15	3,4,8	18,12,13	4,1,5	730	99	0.933082209506	1.0	0.52,0.427,0.203	0.379,0.619,0.261	-0.036
69	"AT1G02880"	"TPK1"	chr1	-	643876	644256	643876	643949	644159	644256	69	7,0,2	33,35,39	98,104,84	0,2,2	309	99	0	0.0	0.064,0.0,0.016	1.0,0.943,0.931	-0.931
71	"AT1G73470"	"AT1G73470"	chr1	+	27625148	27625485	27625148	27625294	27625406	27625485	71	0,1,0	33,26,25	0,0,0	49,56,42	211	99	1	1.0	0.0,0.018,0.0	0.0,0.0,0.0	0.006
72	"AT1G05710"	"AT1G05710"	chr1	+	1716558	1716735	1716558	1716624	1716690	1716735	72	2,4,4	57,65,56	106,74,78	3,2,3	165	99	0	0.0	0.021,0.036,0.041	0.955,0.957,0.94	-0.918
77	"AT1G13770"	"RUS3"	chr1	+	4721694	4722005	4721694	4721838	4721947	4722005	77	4,4,10	10,4,7	13,7,13	0,1,0	208	99	2.93980839672e-10	7.06465583708e-10	0.16,0.322,0.405	1.0,0.769,1.0	-0.627
