ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"AT1G17140"	"ICR1"	chr1	-	5857847	5857957	5858247	5858310	5856572	5857760	5858452	5858550	1	4,4,5	63,42,90	13,3,9	101,60,88	162	209	0.19421944972	0.823326058633	0.076,0.109,0.067	0.142,0.061,0.117	-0.023
2	"AT1G10570"	"ULP1C"	chr1	+	3489673	3489776	3490054	3490152	3489484	3489589	3490367	3490490	2	117,84,127	137,110,154	73,52,97	100,58,130	202	197	0.714077171024	1.0	0.454,0.427,0.446	0.416,0.466,0.421	0.008
3	"AT5G08185"	"MIR162A"	chr5	-	2634973	2635046	2635133	2635226	2634771	2634875	2635321	2635436	3	2,2,7	1,0,0	38,24,47	13,6,6	192	172	0.000326381431024	0.00707061659125	0.642,1.0,1.0	0.724,0.782,0.875	0.087
4	"AT1G62800"	"ASP4"	chr1	-	23256435	23256535	23256952	23257014	23256114	23256235	23257135	23257207	4	72,45,77	100,71,128	62,29,51	111,54,97	161	199	0.256517335106	0.944450188345	0.471,0.439,0.426	0.408,0.399,0.394	0.045
5	"AT4G02760"	"AT4G02760"	chr4	-	1226580	1226691	1226885	1226987	1226311	1226412	1227080	1227256	5	70,47,113	10,6,1	31,17,36	22,14,12	201	210	1.27449639731e-09	5.16171040911e-08	0.88,0.891,0.992	0.595,0.559,0.758	0.284
6	"AT3G28100"	"AT3G28100"	chr3	+	10458769	10459016	10460213	10460375	10456624	10456738	10460453	10460602	6	35,48,53	19,16,28	74,24,47	33,13,28	346	261	0.65313899689	1.0	0.582,0.694,0.588	0.628,0.582,0.559	0.032
7	"AT1G09195"	"AT1G09195"	chr1	-	2968379	2968403	2968474	2968536	2967939	2968199	2968652	2968758	7	15,9,11	1,0,0	14,8,15	2,1,0	161	123	0.717179252674	1.0	0.92,1.0,1.0	0.842,0.859,1.0	0.073
8	"AT1G09195"	"AT1G09195"	chr1	-	2968474	2968536	2968652	2968758	2967939	2968199	2968969	2969077	8	25,9,22	0,0,0	26,13,23	0,1,0	205	161	1	1.0	1.0,1.0,1.0	1.0,0.911,1.0	0.03
9	"AT1G09195"	"AT1G09195"	chr1	-	2968474	2968536	2968652	2968758	2968379	2968403	2968969	2969077	9	25,9,21	1,2,6	28,13,21	5,8,9	205	161	0.0562133198814	0.379439909199	0.952,0.779,0.733	0.815,0.561,0.647	0.147
10	"AT4G32360"	"MFDR"	chr4	+	15622202	15622256	15622382	15622499	15621970	15622084	15622643	15622753	10	17,19,16	18,15,30	28,9,20	25,16,30	153	216	0.835079929821	1.0	0.571,0.641,0.43	0.613,0.443,0.485	0.034
11	"AT4G32360"	"MFDR"	chr4	+	15622382	15622499	15622643	15622753	15622202	15622256	15622854	15622928	11	15,18,26	19,24,40	28,19,33	37,33,36	216	209	0.856036040307	1.0	0.433,0.421,0.386	0.423,0.358,0.47	-0.004
12	"AT3G05030"	"NHX2"	chr3	-	1395558	1395605	1395680	1395740	1395275	1395470	1395836	1395934	12	37,30,29	27,21,33	50,33,53	36,13,32	159	146	0.144203711103	0.71459588766	0.557,0.567,0.447	0.561,0.7,0.603	-0.098
13	"AT5G65050"	"AGL31"	chr5	+	25985302	25985344	25985653	25985695	25985088	25985188	25986012	25986326	13	100,70,126	100,56,119	94,103,131	80,93,137	141	141	0.909409198511	1.0	0.5,0.556,0.514	0.54,0.526,0.489	0.005
14	"AT3G19895"	"AT3G19895"	chr3	-	6918600	6918682	6919068	6919130	6918439	6918497	6919505	6919680	14	29,34,52	12,14,27	30,23,38	18,17,15	161	181	0.487493144356	1.0	0.731,0.732,0.684	0.652,0.603,0.74	0.051
