ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"AT3G19170"	"PREP1"	chr3	-	6630136	6630207	6630219	6630257	6629830	6629914	6630337	6630470
1	"AT4G12020"	"WRKY19"	chr4	+	7208343	7208416	7208515	7208563	7208086	7208244	7208915	7209032
2	"AT1G10570"	"ULP1C"	chr1	+	3489673	3489776	3490054	3490152	3489484	3489589	3490367	3490490
3	"AT5G08185"	"MIR162A"	chr5	-	2634973	2635046	2635133	2635226	2634771	2634875	2635321	2635436
4	"AT1G75340"	"CG1"	chr1	-	28269962	28270055	28270155	28270233	28269770	28269856	28270328	28270546
5	"AT3G28100"	"AT3G28100"	chr3	+	10458769	10459016	10460213	10460375	10456624	10456738	10460453	10460602
6	"AT2G32640"	"AT2G32640"	chr2	-	13848409	13848443	13848608	13848676	13848224	13848309	13848756	13848885
7	"AT3G05030"	"NHX2"	chr3	-	1395558	1395605	1395680	1395740	1395275	1395470	1395836	1395934
8	"AT5G37780"	"CAM4"	chr5	-	15005346	15005424	15005884	15005929	15004526	15005142	15006041	15006205
9	"AT4G00180"	"YAB3"	chr4	-	73447	73523	73658	73707	72989	73067	74267	74427
10	"AT4G39710"	"PNSL4"	chr4	-	18427558	18427619	18427798	18427891	18427413	18427482	18427977	18428375
11	"AT4G39710"	"PNSL4"	chr4	-	18427562	18427619	18427798	18427891	18427413	18427482	18427977	18428412
12	"AT4G34090"	"AT4G34090"	chr4	-	16329165	16329223	16329320	16329363	16328908	16329064	16329453	16329528
13	"AT4G34090"	"AT4G34090"	chr4	-	16329165	16329223	16329320	16329366	16328908	16329064	16329453	16329528
14	"AT4G32470"	"QCR7-1"	chr4	-	15670019	15670020	15670070	15670118	15669218	15669709	15670732	15670890
15	"AT1G10600"	"AMSH2"	chr1	+	3504358	3504392	3504425	3504488	3504023	3504113	3504568	3504643
16	"AT5G14550"	"AT5G14550"	chr5	-	4692239	4692278	4692548	4692629	4691988	4692054	4692759	4692841
17	"AT1G33615"	"AT1G33615"	chr1	-	12193811	12193938	12194172	12194261	12193622	12193711	12194350	12194374
18	"AT3G24360"	"AT3G24360"	chr3	-	8841905	8841958	8842174	8842239	8841401	8841536	8842411	8842513
19	"AT1G72190"	"AT1G72190"	chr1	-	27168940	27169085	27169329	27169468	27168708	27168836	27169598	27169717
20	"AT1G77080"	"AGL27"	chr1	+	28958333	28958391	28958455	28958501	28955636	28955863	28958601	28958663
21	"AT4G29940"	"PRH"	chr4	-	14648992	14649073	14649234	14649315	14648754	14648835	14649467	14649548
22	"AT3G55040"	"GSTL2"	chr3	-	20398912	20399020	20399107	20399184	20398537	20398816	20399274	20399377
23	"AT4G16146"	"AT4G16146"	chr4	-	9143144	9143192	9143280	9143343	9142987	9143050	9144302	9144385
24	"AT2G04900"	"AT2G04900"	chr2	+	1722824	1722905	1722989	1723029	1722669	1722740	1723506	1723831
25	"AT2G04900"	"AT2G04900"	chr2	+	1722824	1722905	1722989	1723033	1722669	1722740	1723506	1723831
26	"AT5G42770"	"AT5G42770"	chr5	+	17152681	17152762	17153216	17153297	17152529	17152604	17153562	17153632
27	"AT1G78680"	"GGH2"	chr1	+	29595199	29595289	29595372	29595435	29594911	29594972	29595561	29595650
