ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"AT4G35785"	"AT4G35785"	chr4	-	16953522	16953890	16953522	16953592	16953724	16953890	0	171,226,211	6,4,0	154,202,74	5,16,12	280	149	6.43896524e-06	6.36197761213e-05	0.938,0.968,1.0	0.942,0.87,0.766	0.109
1	"AT4G35785"	"AT4G35785"	chr4	-	16953522	16953890	16953522	16953592	16953853	16953890	1	293,363,294	2,0,1	218,317,142	10,14,0	298	149	4.63021097463e-07	6.37706329688e-06	0.987,1.0,0.993	0.916,0.919,1.0	0.048
2	"AT5G06710"	"HAT14"	chr5	-	2068962	2069490	2068962	2069042	2069164	2069490	2	3,2,6	23,22,38	2,3,0	34,38,25	270	149	0.039250951172	0.13463816836	0.067,0.048,0.08	0.031,0.042,0.0	0.041
3	"AT1G61970"	"AT1G61970"	chr1	+	22906472	22907630	22906472	22907329	22907434	22907630	3	25,12,11	10,5,10	12,20,6	9,10,4	253	149	0.691878765155	1.0	0.596,0.586,0.393	0.44,0.541,0.469	0.042
5	"AT1G11720"	"SS3"	chr1	+	3952344	3953618	3952344	3952408	3952484	3953618	5	4,3,6	53,59,14	1,1,3	22,52,13	224	149	0.0955122077914	0.273882009093	0.048,0.033,0.222	0.029,0.013,0.133	0.043
6	"AT3G06080"	"TBL10"	chr3	-	1834706	1835642	1834706	1835349	1835483	1835642	6	7,12,7	116,98,97	5,15,5	118,273,97	282	149	0.119672778957	0.324724047976	0.031,0.061,0.037	0.022,0.028,0.027	0.017
7	"AT3G61600"	"POB1"	chr3	+	22797127	22798320	22797127	22797937	22798053	22798320	7	35,58,54	20,34,19	77,69,57	67,111,35	264	149	0.00870655999085	0.0366401066282	0.497,0.491,0.616	0.393,0.26,0.479	0.157
8	"AT4G02260"	"RSH1"	chr4	+	990214	990810	990214	990662	990748	990810	8	47,61,40	321,383,375	30,34,15	233,490,252	234	149	0.00152586161559	0.00838063979488	0.085,0.092,0.064	0.076,0.042,0.037	0.029
9	"AT3G53970"	"AT3G53970"	chr3	+	19986685	19986960	19986685	19986758	19986879	19986960	9	136,163,176	34,21,21	40,44,30	118,216,86	269	149	0	0.0	0.689,0.811,0.823	0.158,0.101,0.162	0.634
10	"AT1G78870"	"UBC35"	chr1	+	29651771	29652046	29651771	29651845	29651948	29652046	10	89,82,69	375,471,367	63,86,44	387,557,261	251	149	0.113840323802	0.312630979867	0.123,0.094,0.1	0.088,0.084,0.091	0.018
