gene_name	gene_id	seqid	start	end
NAC001	AT1G01010	1	3631	3913
ARV1	AT1G01020	1	8571	8737
NGA3	AT1G01030	1	13335	13714
DCL1	AT1G01040	1	23146	24451
MIR838A	AT1G01046	1	28500	28706
PPA1	AT1G01050	1	33029	33153
LHY	AT1G01060	1	37569	37840
AT1G01070	AT1G01070	1	40675	40944
AT1G01073	AT1G01073	1	44677	44787
AT1G01080	AT1G01080	1	46376	47019
PDH-E1 ALPHA	AT1G01090	1	48936	49286
RPP1A	AT1G01100	1	51064	51108
IQD18	AT1G01110	1	52869	53183
AT1G01115	AT1G01115	1	56624	56740
KCS1	AT1G01120	1	57269	59167
AT1G01130	AT1G01130	1	63557	63811
CIPK9	AT1G01140	1	67324	67625
AT1G01150	AT1G01150	1	71942	72138
GIF2	AT1G01160	1	72339	72669
AT1G01170	AT1G01170	1	74661	74737
AT1G01180	AT1G01180	1	75583	76758
MIR165A	AT1G01183	1	78932	79032
CYP78A8	AT1G01190	1	83884	84864
RABA3	AT1G01200	1	87880	88213
AT1G01210	AT1G01210	1	88898	89081
FKGP	AT1G01220	1	91376	91633
AT1G01225	AT1G01225	1	95987	96157
AT1G01230	AT1G01230	1	97456	97805
AT1G01240	AT1G01240	1	99922	100031
ERF023	AT1G01250	1	104491	105330
BHLH13	AT1G01260	1	109032	111609
AT1G01270	AT1G01270	1	111890	111961
CYP703A2	AT1G01280	1	112263	113195
CNX3	AT1G01290	1	114286	114433
AT1G01300	AT1G01300	1	116943	118764
AT1G01305	AT1G01305	1	119397	119997
AT1G01310	AT1G01310	1	120154	121130
AT1G01320	AT1G01320	1	130372	130570
CNGC10	AT1G01340	1	134582	135322
AT1G01350	AT1G01350	1	136124	136234
AT1G01355	AT1G01355	1	138513	138541
PYL9	AT1G01360	1	141971	142281
HTR12	AT1G01370	1	143564	143676
ETC1	AT1G01380	1	147153	147333
UGT72B2	AT1G01390	1	148120	149806
AT1G01400	AT1G01400	1	152086	152210
APUM22	AT1G01410	1	153113	154198
UGT72B3	AT1G01420	1	154492	156011
TBL25	AT1G01430	1	158254	158655
AT1G01440	AT1G01440	1	162487	162572
AT1G01448	AT1G01448	1	163431	163516
AT1G01450	AT1G01450	1	164105	165517
AT1G01453	AT1G01453	1	167014	167842
PIP5K10	AT1G01460	1	168723	168801
LEA14	AT1G01470	1	172621	172948
AT1G01471	AT1G01471	1	173251	173466
ACS2	AT1G01480	1	175782	176032
AT1G01490	AT1G01490	1	182061	182358
AT1G01500	AT1G01500	1	185133	186009
AN	AT1G01510	1	187211	187822
RVE3	AT1G01520	1	190596	190828
AGL28	AT1G01530	1	193351	193670
AT1G01540	AT1G01540	1	195812	196542
BPS1	AT1G01550	1	199639	199763
MPK11	AT1G01560	1	202136	202508
AT1G01570	AT1G01570	1	205176	205949
FRO2	AT1G01580	1	209395	209608
FRO1	AT1G01590	1	214229	214406
CYP86A4	AT1G01600	1	218994	219621
GPAT4	AT1G01610	1	223945	224340
PIP1-3	AT1G01620	1	226849	227302
AT1G01630	AT1G01630	1	229013	229343
AT1G01640	AT1G01640	1	232398	232508
SPPL4	AT1G01650	1	237504	237817
PUB55	AT1G01660	1	242449	242608
PUB56	AT1G01670	1	245877	245988
PUB54	AT1G01680	1	248191	248367
ATPRD3	AT1G01690	1	249141	249306
AT1G01695	AT1G01695	1	252947	253457
ROPGEF2	AT1G01700	1	261129	261474
AT1G01710	AT1G01710	1	262828	262965
NAC002	AT1G01720	1	268330	268630
AT1G01725	AT1G01725	1	270622	270775
AT1G01730	AT1G01730	1	270956	271289
AT1G01740	AT1G01740	1	274384	274569
ADF10	AT1G01750	1	275366	275530
AT1G01760	AT1G01760	1	278316	278448
AT1G01770	AT1G01770	1	278615	278809
PLIM2B	AT1G01780	1	282761	283053
KEA1	AT1G01790	1	284610	284635
AT1G01800	AT1G01800	1	293342	293409
AT1G01810	AT1G01810	1	295221	295859
PEX11C	AT1G01820	1	298013	298120
AT1G01830	AT1G01830	1	300603	300729
AT1G01840	AT1G01840	1	303537	304358
PFC1	AT1G01860	1	306045	306287
AT1G01870	AT1G01870	1	306384	306456
GEN1	AT1G01880	1	308797	309109
AT1G01890	AT1G01890	1	309275	309347
SBTI1.1	AT1G01900	1	310316	310981
AT1G01910	AT1G01910	1	315577	315902
AT1G01920	AT1G01920	1	316187	316257
AT1G01930	AT1G01930	1	322513	322860
CYP18-1	AT1G01940	1	323027	323084
ARK2	AT1G01950	1	325379	325641
BIG3	AT1G01960	1	336417	337582
AT1G01970	AT1G01970	1	338291	338987
AT1G01980	AT1G01980	1	340172	341999
AT1G01990	AT1G01990	1	343166	344341
GAE2	AT1G02000	1	345812	347592
SEC1A	AT1G02010	1	347891	348127
AT1G02020	AT1G02020	1	353238	354969
ZAT1	AT1G02030	1	355321	357258
AT1G02040	AT1G02040	1	358104	359078
PKSA	AT1G02050	1	360240	360518
AT1G02060	AT1G02060	1	360918	363094
SPL8	AT1G02065	1	365209	366325
AT1G02070	AT1G02070	1	370859	370967
AT1G02074	AT1G02074	1	372064	372210
AT1G02080	AT1G02080	1	373335	373405
CSN7	AT1G02090	1	389410	389647
AT1G02100	AT1G02100	1	389812	389943
AT1G02110	AT1G02110	1	392831	393875
VAD1	AT1G02120	1	395761	395946
RABD2A	AT1G02130	1	401775	401882
AT1G02136	AT1G02136	1	402886	402961
MEE63	AT1G02140	1	404186	404456
ALG12	AT1G02145	1	404600	404669
AT1G02150	AT1G02150	1	408622	409138
AT1G02160	AT1G02160	1	410748	410893
AMC1	AT1G02170	1	411779	412258
AT1G02180	AT1G02180	1	414424	414645
AT1G02190	AT1G02190	1	415079	415670
CER1	AT1G02205	1	418767	418877
AT1G02210	AT1G02210	1	427548	427811
NAC003	AT1G02220	1	430414	430647
AT1G02228	AT1G02228	1	433031	433819
NAC004	AT1G02230	1	436622	436776
NAC005	AT1G02250	1	439406	439559
AT1G02260	AT1G02260	1	442718	442877
AT1G02270	AT1G02270	1	446030	446235
TOC33	AT1G02280	1	450361	450425
AT1G02290	AT1G02290	1	452583	452737
AT1G02300	AT1G02300	1	453288	453365
AT1G02305	AT1G02305	1	455688	455902
MAN1	AT1G02310	1	460323	460696
AT1G02320	AT1G02320	1	461828	461974
AT1G02330	AT1G02330	1	463421	463612
GL22	AT1G02335	1	464762	464924
HFR1	AT1G02340	1	467684	467844
AT1G02350	AT1G02350	1	469818	469971
AT1G02360	AT1G02360	1	472668	473160
AT1G02370	AT1G02370	1	474500	474887
AT1G02380	AT1G02380	1	477000	477205
GPAT2	AT1G02390	1	480852	481619
AT1G02391	AT1G02391	1	483764	483919
GA2OX6	AT1G02400	1	486801	487364
AT1G02405	AT1G02405	1	489979	490505
COX11	AT1G02410	1	490925	491006
AT1G02420	AT1G02420	1	493683	495158
ATARFD1B	AT1G02430	1	495912	496062
ATARFD1A	AT1G02440	1	497329	497479
NIMIN-1	AT1G02450	1	497976	498516
AT1G02460	AT1G02460	1	506644	507204
AT1G02470	AT1G02470	1	513332	513624
AT1G02475	AT1G02475	1	515093	515404
AT1G02480	AT1G02480	1	515494	515566
AT1G02490	AT1G02490	1	516618	516734
SAM1	AT1G02500	1	518251	518378
TPK4	AT1G02510	1	520890	521668
ABCB11	AT1G02520	1	523651	523675
ABCB12	AT1G02530	1	529795	530099
AT1G02540	AT1G02540	1	534827	535699
AT1G02550	AT1G02550	1	536483	537211
CLPP5	AT1G02560	1	537860	538130
AT1G02570	AT1G02570	1	541335	542240
AT1G02575	AT1G02575	1	543110	544007
MEA	AT1G02580	1	544783	544804
AT1G02600	AT1G02600	1	552640	552711
AT1G02590	AT1G02590	1	552687	552761
AT1G02610	AT1G02610	1	555726	555994
AT1G02620	AT1G02620	1	557092	557108
ETN8	AT1G02630	1	561902	562424
BXL2	AT1G02640	1	564205	564697
AT1G02650	AT1G02650	1	568704	568739
AT1G02660	AT1G02660	1	574120	574981
AT1G02670	AT1G02670	1	576046	576145
TAF13	AT1G02680	1	580625	580745
AT1G02681	AT1G02681	1	582413	582922
IMPA6	AT1G02690	1	584260	584618
AT1G02700	AT1G02700	1	588329	588540
AT1G02710	AT1G02710	1	589706	589996
GATL5	AT1G02720	1	591826	593229
CSLD5	AT1G02730	1	597521	598657
MRG2	AT1G02740	1	601812	602038
DI19-2	AT1G02750	1	602497	602754
AT1G02760	AT1G02760	1	604402	604474
AT1G02770	AT1G02770	1	606529	606693
RPL19A	AT1G02780	1	609280	609465
PGA3	AT1G02790	1	612019	612324
CEL2	AT1G02800	1	615852	616191
PME7	AT1G02810	1	618265	619328
AT1G02813	AT1G02813	1	620678	621289
AT1G02816	AT1G02816	1	621461	622469
AT1G02820	AT1G02820	1	624231	624475
RPL22A	AT1G02830	1	625373	625608
SR34	AT1G02840	1	626741	626828
BGLU11	AT1G02850	1	630505	630703
BAH1	AT1G02860	1	635144	635651
AT1G02870	AT1G02870	1	638258	638677
TPK1	AT1G02880	1	644350	644521
AT1G02890	AT1G02890	1	651711	651907
RALF1	AT1G02900	1	653765	654343
LPA1	AT1G02910	1	657856	658148
GSTF7	AT1G02920	1	659556	659771
GSTF6	AT1G02930	1	662042	662427
GSTF5	AT1G02940	1	664017	664128
AT1G02952	AT1G02952	1	665354	665445
GSTF4	AT1G02950	1	666351	666451
AT1G02960	AT1G02960	1	669750	669837
AT1G02965	AT1G02965	1	672651	672814
WEE1	AT1G02970	1	673306	673706
CUL2	AT1G02980	1	677869	678002
AT1G02990	AT1G02990	1	687115	687315
PEX6	AT1G03000	1	692175	692560
AT1G03010	AT1G03010	1	693480	693571
GRXS1	AT1G03020	1	698207	698515
AT1G03022	AT1G03022	1	699121	699246
AT1G03030	AT1G03030	1	701478	701681
BHLH7	AT1G03040	1	706101	706631
AT1G03050	AT1G03050	1	707726	708189
D27	AT1G03055	1	711505	711803
SPI	AT1G03060	1	726710	726891
AT1G03070	AT1G03070	1	729935	730023
NET1D	AT1G03080	1	737874	738056
MCCA	AT1G03090	1	739679	740050
AT1G03100	AT1G03100	1	743885	746479
AT1G03103	AT1G03103	1	747197	747531
AT1G03106	AT1G03106	1	748102	749034
TRM82	AT1G03110	1	749246	749495
ATRAB28	AT1G03120	1	752271	752660
PSAD2	AT1G03130	1	753307	754198
AT1G03140	AT1G03140	1	755381	756303
AT1G03150	AT1G03150	1	756414	756538
FZL	AT1G03160	1	761282	761810
FAF2	AT1G03170	1	769632	770684
AT1G03180	AT1G03180	1	773411	773691
UVH6	AT1G03190	1	775527	775649
AT1G03200	AT1G03200	1	780602	780836
AT1G03210	AT1G03210	1	782948	783175
AT1G03220	AT1G03220	1	787122	788651
AT1G03230	AT1G03230	1	790091	791592
AT1G03240	AT1G03240	1	792754	792986
AT1G03250	AT1G03250	1	795102	795368
AT1G03260	AT1G03260	1	798001	798463
CBSDUF4	AT1G03270	1	799191	799431
AT1G03280	AT1G03280	1	803035	803117
AT1G03290	AT1G03290	1	807396	807510
ATDUF1	AT1G03300	1	812030	813086
ISA2	AT1G03310	1	813471	813581
AT1G03320	AT1G03320	1	817027	817096
LSM2	AT1G03330	1	819295	819563
AT1G03340	AT1G03340	1	819662	819783
AT1G03350	AT1G03350	1	822638	824393
ATRRP4	AT1G03360	1	824537	824813
RF4	AT1G03365	1	826569	826737
AT1G03370	AT1G03370	1	830627	831313
ATG18G	AT1G03380	1	835785	836328
AT1G03390	AT1G03390	1	841033	842418
AT1G03400	AT1G03400	1	843677	844190
2A6	AT1G03410	1	845952	847683
Sadhu4-2	AT1G03420	1	846664	847739
AHP5	AT1G03430	1	847873	848227
AT1G03440	AT1G03440	1	852366	854032
BSU1	AT1G03445	1	859398	859701
BRN2	AT1G03457	1	863860	864125
NET3A	AT1G03470	1	867626	867733
CPX1	AT1G03475	1	870651	871211
NAC006	AT1G03490	1	871874	872212
3AT2	AT1G03495	1	873184	874935
AT1G03502	AT1G03502	1	875358	875471
AT1G03506	AT1G03506	1	875518	875604
PCMP-E3	AT1G03510	1	876258	877547
AT1G03515	AT1G03515	1	877648	877719
AT1G03520	AT1G03520	1	878911	880158
ATNAF1	AT1G03530	1	882250	883391
