ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
30	"AT4G33050"	"EDA39"	chr4	-	15945059	15945477	15945059	15945161	15945246	15945477
31	"AT4G33050"	"EDA39"	chr4	-	15945749	15946018	15945749	15945838	15945952	15946018
53	"AT3G16700"	"AT3G16700"	chr3	+	5689215	5689448	5689215	5689266	5689330	5689448
84	"AT4G00460"	"ROPGEF3"	chr4	-	211352	212087	211352	211697	211787	212087
126	"AT2G32390"	"GLR3.5"	chr2	-	13749691	13749969	13749691	13749770	13749873	13749969
148	"AT1G29170"	"SCAR3"	chr1	-	10190529	10190839	10190529	10190632	10190746	10190839
149	"AT1G29170"	"SCAR3"	chr1	-	10190529	10190839	10190529	10190646	10190746	10190839
182	"AT3G29185"	"AT3G29185"	chr3	-	11155953	11156304	11155953	11156072	11156183	11156304
203	"AT1G07880"	"MPK13"	chr1	-	2434437	2435059	2434437	2434621	2434726	2435059
251	"AT2G17695"	"AT2G17695"	chr2	-	7684950	7685176	7684950	7685051	7685162	7685176
287	"AT4G00180"	"YAB3"	chr4	-	74696	75384	74696	74867	74975	75384
289	"AT2G44980"	"AT2G44980"	chr2	-	18554095	18554296	18554095	18554175	18554205	18554296
331	"AT3G19330"	"AT3G19330"	chr3	+	6699622	6700673	6699622	6700222	6700318	6700673
377	"AT3G30380"	"AT3G30380"	chr3	+	11975992	11976571	11975992	11976432	11976498	11976571
389	"AT5G54600"	"RPL24"	chr5	+	22183871	22184102	22183871	22184027	22184084	22184102
400	"AT3G24740"	"AT3G24740"	chr3	+	9032376	9033796	9032376	9033475	9033553	9033796
427	"AT4G16990"	"RLM3"	chr4	+	9564476	9564941	9564476	9564596	9564676	9564941
428	"AT4G16990"	"RLM3"	chr4	+	9564476	9564941	9564476	9564596	9564691	9564941
447	"AT5G58200"	"AT5G58200"	chr5	+	23549881	23550143	23549881	23549903	23550031	23550143
489	"AT1G58225"	"AT1G58225"	chr1	+	21564783	21565171	21564783	21564912	21565026	21565171
503	"AT2G28470"	"BGAL8"	chr2	-	12172981	12173298	12172981	12173151	12173258	12173298
516	"AT5G07890"	"AT5G07890"	chr5	-	2519009	2519270	2519009	2519112	2519210	2519270
536	"AT1G33110"	"AT1G33110"	chr1	+	12007784	12008246	12007784	12008023	12008127	12008246
550	"AT5G54840"	"ATSGP1"	chr5	-	22276932	22277436	22276932	22277016	22277396	22277436
551	"AT2G36680"	"VPS37-2"	chr2	-	15369245	15369495	15369245	15369361	15369448	15369495
552	"AT2G36680"	"VPS37-2"	chr2	-	15369245	15369495	15369245	15369366	15369448	15369495
645	"AT1G11592"	"AT1G11592"	chr1	-	3895934	3896261	3895934	3896090	3896211	3896261
703	"AT5G66060"	"P4H10"	chr5	+	26421309	26421594	26421309	26421449	26421591	26421594
721	"AT1G14270"	"AT1G14270"	chr1	-	4876669	4877248	4876669	4876767	4876940	4877248
762	"AT1G01020"	"ARV1"	chr1	-	7156	7450	7156	7232	7383	7450
766	"AT4G29740"	"CKX4"	chr4	+	14568481	14569332	14568481	14568750	14568840	14569332
771	"AT1G54390"	"ING2"	chr1	-	20306423	20306798	20306423	20306635	20306726	20306798
816	"AT4G31600"	"AT4G31600"	chr4	-	15315486	15315877	15315486	15315630	15315718	15315877
836	"AT1G18730"	"PNSB4"	chr1	+	6461317	6461910	6461317	6461389	6461843	6461910
846	"AT4G38090"	"AT4G38090"	chr4	-	17883699	17884052	17883699	17883915	17883998	17884052
858	"AT1G58280"	"AT1G58280"	chr1	-	21621186	21621499	21621186	21621261	21621336	21621499
867	"AT1G23360"	"MENG"	chr1	-	8296253	8296509	8296253	8296342	8296418	8296509
878	"AT2G04039"	"AT2G04039"	chr2	+	1333639	1333983	1333639	1333703	1333777	1333983
991	"AT4G32850"	"PAPS4"	chr4	+	15854164	15854460	15854164	15854211	15854362	15854460
992	"AT4G32850"	"PAPS4"	chr4	+	15854164	15854460	15854164	15854241	15854362	15854460
993	"AT4G32850"	"PAPS4"	chr4	+	15854164	15854460	15854164	15854245	15854362	15854460
1004	"AT2G40290"	"AT2G40290"	chr2	-	16829729	16830069	16829729	16829834	16829922	16830069
1018	"AT1G48380"	"RHL1"	chr1	-	17878164	17878595	17878164	17878415	17878508	17878595
1026	"AT4G14713"	"TIFY4A"	chr4	-	8427174	8427491	8427174	8427362	8427427	8427491
1049	"AT3G26100"	"AT3G26100"	chr3	+	9538046	9538726	9538046	9538281	9538376	9538726
1051	"AT4G27040"	"VP22-1"	chr4	-	13574525	13574852	13574525	13574622	13574741	13574852
1052	"AT4G27040"	"VP22-1"	chr4	-	13574525	13574852	13574525	13574673	13574741	13574852
1141	"AT1G80210"	"BRCC36A"	chr1	-	30162834	30163618	30162834	30163479	30163563	30163618
1153	"AT3G26020"	"B'ETA"	chr3	+	9514279	9515589	9514279	9515298	9515385	9515589
1163	"AT4G05390"	"RFNR1"	chr4	-	2739753	2740089	2739753	2739929	2740013	2740089
1180	"AT3G27100"	"SUS1"	chr3	-	9994544	9994990	9994544	9994816	9994913	9994990
1191	"AT5G22640"	"TIC100"	chr5	+	7532383	7533150	7532383	7532574	7532931	7533150
1193	"AT1G28960"	"NUDT15"	chr1	-	10109861	10110359	10109861	10110022	10110161	10110359
