ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"AT4G12020"	"WRKY19"	chr4	+	7208343	7208416	7208515	7208563	7208086	7208244	7208915	7209032	1	26,17,19	7,11,16	29,67,14	27,19,11	222	197	0.886679726201	1.0	0.767,0.578,0.513	0.488,0.758,0.53	0.027
2	"AT1G10570"	"ULP1C"	chr1	+	3489673	3489776	3490054	3490152	3489484	3489589	3490367	3490490	2	90,98,106	135,147,103	31,111,36	62,115,53	252	247	0.749718796136	0.999625061515	0.395,0.395,0.502	0.329,0.486,0.4	0.026
3	"AT5G08185"	"MIR162A"	chr5	-	2634973	2635046	2635133	2635226	2634771	2634875	2635321	2635436	3	2,4,6	1,1,7	18,31,24	14,5,8	242	222	0.448994491301	0.776639120088	0.647,0.786,0.44	0.541,0.85,0.733	-0.084
4	"AT1G75340"	"CG1"	chr1	-	28269962	28270055	28270155	28270233	28269770	28269856	28270328	28270546	4	14,38,17	22,28,28	24,23,20	47,62,27	227	242	0.0846072966758	0.269400442572	0.404,0.591,0.393	0.352,0.283,0.441	0.104
5	"AT3G28100"	"AT3G28100"	chr3	+	10458769	10459016	10460213	10460375	10456624	10456738	10460453	10460602	5	38,81,39	63,39,42	31,90,20	31,60,32	396	311	0.951201447306	1.0	0.321,0.62,0.422	0.44,0.541,0.329	0.018
6	"AT2G32640"	"AT2G32640"	chr2	-	13848409	13848443	13848608	13848676	13848224	13848309	13848756	13848885	6	20,22,19	20,17,17	23,38,22	40,48,20	217	183	0.158693178403	0.390629362223	0.458,0.522,0.485	0.327,0.4,0.481	0.086
7	"AT3G05030"	"NHX2"	chr3	-	1395558	1395605	1395680	1395740	1395275	1395470	1395836	1395934	7	17,41,9	21,30,11	7,35,28	17,45,15	209	196	0.652448773901	0.88844088361	0.432,0.562,0.434	0.279,0.422,0.636	0.03
9	"AT4G00180"	"YAB3"	chr4	-	73447	73523	73658	73707	72989	73067	74267	74427	9	151,210,194	430,549,514	65,75,43	258,276,114	198	225	0.040575616016	0.216403285419	0.285,0.303,0.3	0.223,0.236,0.3	0.043
10	"AT4G39710"	"PNSL4"	chr4	-	18427558	18427619	18427798	18427891	18427413	18427482	18427977	18428375	10	86,147,129	104,155,145	263,449,214	285,395,221	242	210	0.285103813832	0.608221469508	0.418,0.451,0.436	0.445,0.497,0.457	-0.031
11	"AT4G39710"	"PNSL4"	chr4	-	18427562	18427619	18427798	18427891	18427413	18427482	18427977	18428412	11	86,147,129	0,0,0	263,449,214	0,4,3	242	206	1	1.0	1.0,1.0,1.0	1.0,0.99,0.984	0.009
12	"AT4G34090"	"AT4G34090"	chr4	-	16329165	16329223	16329320	16329363	16328908	16329064	16329453	16329528	12	106,106,63	127,139,94	52,78,46	63,96,70	192	207	0.967500448468	1.0	0.474,0.451,0.419	0.471,0.467,0.415	-0.003
13	"AT4G34090"	"AT4G34090"	chr4	-	16329165	16329223	16329320	16329366	16328908	16329064	16329453	16329528	13	0,1,1	127,139,94	0,0,0	63,96,70	195	207	1	1.0	0.0,0.008,0.011	0.0,0.0,0.0	0.006
15	"AT1G10600"	"AMSH2"	chr1	+	3504358	3504392	3504425	3504488	3504023	3504113	3504568	3504643	15	19,21,12	105,124,75	14,4,11	62,153,90	183	212	0.0455081538935	0.224040142245	0.173,0.164,0.156	0.207,0.029,0.124	0.044
16	"AT5G14550"	"AT5G14550"	chr5	-	4692239	4692278	4692548	4692629	4691988	4692054	4692759	4692841	16	33,38,33	23,28,23	33,45,32	34,54,24	230	188	0.124040815808	0.345157052683	0.54,0.526,0.54	0.442,0.405,0.521	0.079
17	"AT1G33615"	"AT1G33615"	chr1	-	12193811	12193938	12194172	12194261	12193622	12193711	12194350	12194374	17	8,12,23	26,29,24	13,11,9	37,41,12	238	276	0.415978284912	0.739516950955	0.263,0.324,0.526	0.289,0.237,0.465	0.041
18	"AT3G24360"	"AT3G24360"	chr3	-	8841905	8841958	8842174	8842239	8841401	8841536	8842411	8842513	18	5,16,7	0,2,0	2,10,4	0,0,0	214	202	1	1.0	1.0,0.883,1.0	1.0,1.0,1.0	-0.039
19	"AT1G72190"	"AT1G72190"	chr1	-	27168940	27169085	27169329	27169468	27168708	27168836	27169598	27169717	19	46,33,29	47,40,43	30,36,11	26,56,13	288	294	0.962647612755	1.0	0.5,0.457,0.408	0.541,0.396,0.463	-0.012
20	"AT1G77080"	"AGL27"	chr1	+	28958333	28958391	28958455	28958501	28955636	28955863	28958601	28958663	20	224,299,293	7,4,4	176,262,77	32,47,36	207	195	0	0.0	0.968,0.986,0.986	0.838,0.84,0.668	0.198
21	"AT4G29940"	"PRH"	chr4	-	14648992	14649073	14649234	14649315	14648754	14648835	14649467	14649548	21	40,38,38	35,52,39	31,34,18	41,45,28	230	230	0.257846873246	0.569041375439	0.533,0.422,0.494	0.431,0.43,0.391	0.066
22	"AT3G55040"	"GSTL2"	chr3	-	20398912	20399020	20399107	20399184	20398537	20398816	20399274	20399377	22	216,225,184	316,348,429	175,299,167	429,646,343	226	257	0.057787753519	0.246561081681	0.437,0.424,0.328	0.317,0.345,0.356	0.057
23	"AT4G16146"	"AT4G16146"	chr4	-	9143144	9143192	9143280	9143343	9142987	9143050	9144302	9144385	23	176,194,170	125,226,232	113,89,49	115,106,69	212	197	0.540606566545	0.804623726951	0.567,0.444,0.405	0.477,0.438,0.398	0.034
25	"AT2G04900"	"AT2G04900"	chr2	+	1722824	1722905	1722989	1723033	1722669	1722740	1723506	1723831	25	181,212,174	77,83,100	176,293,184	129,106,74	230	193	0.839836959633	1.0	0.664,0.682,0.594	0.534,0.699,0.676	0.01
26	"AT5G42770"	"AT5G42770"	chr5	+	17152681	17152762	17153216	17153297	17152529	17152604	17153562	17153632	26	14,16,20	51,58,49	12,15,19	50,62,58	230	230	0.524404542441	0.804623726951	0.215,0.216,0.29	0.194,0.195,0.247	0.028
