ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"AT3G19170"	"PREP1"	chr3	-	6630136	6630207	6630219	6630257	6629830	6629914	6630337	6630470
1	"AT1G17140"	"ICR1"	chr1	-	5857847	5857957	5858247	5858310	5856572	5857760	5858452	5858550
2	"AT1G10570"	"ULP1C"	chr1	+	3489673	3489776	3490054	3490152	3489484	3489589	3490367	3490490
3	"AT5G08185"	"MIR162A"	chr5	-	2634973	2635046	2635133	2635226	2634771	2634875	2635321	2635436
4	"AT1G62800"	"ASP4"	chr1	-	23256435	23256535	23256952	23257014	23256114	23256235	23257135	23257207
5	"AT4G02760"	"AT4G02760"	chr4	-	1226580	1226691	1226885	1226987	1226311	1226412	1227080	1227256
6	"AT3G28100"	"AT3G28100"	chr3	+	10458769	10459016	10460213	10460375	10456624	10456738	10460453	10460602
7	"AT1G09195"	"AT1G09195"	chr1	-	2968379	2968403	2968474	2968536	2967939	2968199	2968652	2968758
8	"AT1G09195"	"AT1G09195"	chr1	-	2968474	2968536	2968652	2968758	2967939	2968199	2968969	2969077
9	"AT1G09195"	"AT1G09195"	chr1	-	2968474	2968536	2968652	2968758	2968379	2968403	2968969	2969077
10	"AT4G32360"	"MFDR"	chr4	+	15622202	15622256	15622382	15622499	15621970	15622084	15622643	15622753
11	"AT4G32360"	"MFDR"	chr4	+	15622382	15622499	15622643	15622753	15622202	15622256	15622854	15622928
12	"AT3G05030"	"NHX2"	chr3	-	1395558	1395605	1395680	1395740	1395275	1395470	1395836	1395934
13	"AT5G65050"	"AGL31"	chr5	+	25985302	25985344	25985653	25985695	25985088	25985188	25986012	25986326
14	"AT3G19895"	"AT3G19895"	chr3	-	6918600	6918682	6919068	6919130	6918439	6918497	6919505	6919680
15	"AT5G37780"	"CAM4"	chr5	-	15005346	15005424	15005884	15005929	15004526	15005142	15006041	15006205
16	"AT5G59770"	"AT5G59770"	chr5	-	24079962	24080009	24080110	24080178	24079796	24079894	24080373	24080427
17	"AT5G13030"	"AT5G13030"	chr5	+	4133878	4133988	4134287	4134344	4133203	4133566	4134433	4134733
18	"AT1G55690"	"SFH13"	chr1	-	20811824	20811922	20812172	20812296	20811439	20811743	20812616	20812840
19	"AT3G16220"	"AT3G16220"	chr3	+	5498154	5498267	5498362	5498428	5497926	5498077	5498501	5498592
20	"AT1G10600"	"AMSH2"	chr1	+	3504358	3504392	3504425	3504488	3504023	3504113	3504568	3504643
21	"AT3G09260"	"BGLU23"	chr3	-	2842524	2842602	2842737	2842813	2842341	2842429	2842935	2842991
22	"AT1G02120"	"VAD1"	chr1	+	396166	396217	396290	396356	396028	396088	396438	396534
23	"AT5G14550"	"AT5G14550"	chr5	-	4692239	4692278	4692548	4692629	4691988	4692054	4692759	4692841
24	"AT3G24360"	"AT3G24360"	chr3	-	8841905	8841958	8842174	8842239	8841401	8841536	8842411	8842513
25	"AT2G04395"	"POT1C"	chr2	-	1529429	1529516	1529545	1529724	1529082	1529166	1529827	1529954
26	"AT1G72190"	"AT1G72190"	chr1	-	27168940	27169085	27169329	27169468	27168708	27168836	27169598	27169717
27	"AT1G77080"	"AGL27"	chr1	+	28958333	28958391	28958455	28958501	28955636	28955863	28958601	28958663
28	"AT2G42500"	"PP2A4"	chr2	-	17700252	17700336	17700467	17700524	17700102	17700174	17701133	17701417
29	"AT1G07470"	"AT1G07470"	chr1	+	2292658	2292717	2292895	2293006	2292539	2292585	2293335	2293479
30	"AT3G15390"	"SDE5"	chr3	-	5198289	5198358	5198838	5198864	5198123	5198194	5198975	5199539
31	"AT3G54880"	"AT3G54880"	chr3	-	20337656	20337880	20337967	20338005	20337399	20337487	20338400	20338522
32	"AT3G53570"	"AFC1"	chr3	-	19862862	19862977	19863089	19863138	19862552	19862644	19863221	19863375
33	"AT5G42770"	"AT5G42770"	chr5	+	17152681	17152762	17153216	17153297	17152529	17152604	17153562	17153632
34	"AT2G17190"	"DSK2A"	chr2	-	7478502	7478592	7478736	7478765	7478264	7478420	7479154	7479210
35	"AT1G56300"	"AT1G56300"	chr1	-	21079414	21079471	21079658	21079729	21078819	21079162	21079861	21079949
36	"AT1G60640"	"AT1G60640"	chr1	-	22338173	22338233	22338466	22338526	22338008	22338074	22338617	22338683
37	"AT5G42210"	"AT5G42210"	chr5	+	16866491	16866603	16867007	16867120	16866039	16866261	16867802	16867925
38	"AT5G52070"	"AT5G52070"	chr5	+	21162095	21162208	21163578	21163648	21161310	21161353	21163726	21163968
39	"AT5G52070"	"AT5G52070"	chr5	+	21162095	21162208	21163726	21163968	21161310	21161353	21164079	21164196
40	"AT5G40210"	"AT5G40210"	chr5	-	16074470	16074663	16075445	16075559	16074202	16074364	16075749	16075815
41	"AT3G55080"	"AT3G55080"	chr3	-	20412581	20412665	20412826	20412862	20412265	20412399	20413137	20413218
42	"AT3G55080"	"AT3G55080"	chr3	-	20412581	20412665	20412826	20412877	20412265	20412399	20413137	20413218
43	"AT3G55080"	"AT3G55080"	chr3	-	20413481	20413554	20414040	20414148	20413302	20413343	20414391	20414451
44	"AT2G31870"	"PARG1"	chr2	-	13552221	13552399	13552825	13552929	13552022	13552127	13553230	13553416
45	"AT3G28080"	"AT3G28080"	chr3	+	10452019	10452133	10453377	10453624	10451837	10451903	10454695	10454844
46	"AT1G54370"	"NHX5"	chr1	-	20294634	20294732	20294971	20295019	20294148	20294246	20295131	20295163
47	"AT5G10290"	"AT5G10290"	chr5	-	3236705	3236846	3236945	3237016	3235866	3236603	3237095	3237161
48	"AT2G25640"	"AT2G25640"	chr2	+	10910809	10912691	10912924	10913045	10910497	10910593	10913420	10913480
49	"AT3G48190"	"ATM"	chr3	+	17809436	17809508	17809639	17809810	17808771	17809354	17809888	17810014
50	"AT1G66880"	"AT1G66880"	chr1	+	24950291	24950846	24952951	24953677	24948885	24949495	24953891	24953921
51	"AT1G66880"	"AT1G66880"	chr1	+	24951434	24952058	24952951	24953677	24950291	24950846	24953891	24953921
52	"AT2G22920"	"SCPL12"	chr2	+	9756348	9756473	9756975	9757089	9756175	9756247	9757203	9757249
53	"AT2G22920"	"SCPL12"	chr2	+	9756348	9756473	9756975	9757111	9756175	9756247	9757203	9757249
54	"AT4G14385"	"AT4G14385"	chr4	-	8287347	8287430	8287516	8287544	8287010	8287279	8288078	8288148
55	"AT4G14385"	"AT4G14385"	chr4	-	8287378	8287430	8287516	8287544	8286985	8287279	8288078	8288148
56	"AT3G60910"	"AT3G60910"	chr3	+	22502405	22502425	22502511	22502564	22502241	22502310	22502677	22502708
57	"AT3G08840"	"AT3G08840"	chr3	-	2682386	2682478	2682619	2682856	2681948	2682193	2683232	2683280
58	"AT4G01290"	"AT4G01290"	chr4	-	539944	540029	540446	540863	538540	539878	541483	541764
59	"AT1G80420"	"XRCC1"	chr1	-	30236227	30236313	30236338	30236388	30236021	30236135	30236483	30236595
60	"AT2G34680"	"AIR9"	chr2	-	14626308	14626374	14626464	14626527	14625909	14626009	14626659	14626725
61	"AT2G38550"	"FAX3"	chr2	+	16133670	16133720	16133809	16133847	16133142	16133310	16134111	16134415
62	"AT2G17200"	"DSK2B"	chr2	-	7482613	7482642	7483034	7483087	7482357	7482441	7483267	7483381
63	"AT5G10710"	"AT5G10710"	chr5	+	3380207	3380266	3380325	3380342	3380008	3380079	3380520	3380619
64	"AT1G14820"	"AT1G14820"	chr1	-	5105887	5105924	5106162	5106531	5105682	5105800	5106721	5106949
65	"AT1G14820"	"AT1G14820"	chr1	-	5105887	5105924	5106162	5106421	5105682	5105800	5106721	5106954
66	"AT3G28130"	"AT3G28130"	chr3	+	10467731	10467978	10468076	10468238	10466086	10466200	10468314	10468463
67	"AT5G10490"	"MSL2"	chr5	-	3303785	3303842	3303927	3303981	3303545	3303706	3304642	3304761
68	"AT5G10490"	"MSL2"	chr5	-	3303785	3303842	3303927	3304104	3303545	3303706	3304642	3304761
69	"AT1G54730"	"AT1G54730"	chr1	+	20428048	20428111	20428387	20428447	20427299	20427343	20428788	20428842
70	"AT1G09932"	"AT1G09932"	chr1	-	3231736	3231811	3232016	3232137	3231543	3231632	3232476	3232556
