ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"AT4G35785"	"AT4G35785"	chr4	-	16953724	16953890	16953853	16953890	16953522	16953592	0	101,64,123	0,2,2	57,46,87	11,2,8	198	99	2.41431520986e-06	4.64085034784e-05	1.0,0.941,0.969	0.722,0.92,0.845	0.141
2	"AT4G32590"	"AT4G32590"	chr4	+	15722237	15722304	15722237	15722300	15722545	15722608	2	0,0,1	419,299,420	0,0,1	979,650,1173	102	99	1	1.0	0.0,0.0,0.002	0.0,0.0,0.001	0.0
4	"AT1G52220"	"CURT1C"	chr1	-	19454377	19454697	19454380	19454697	19454186	19454273	4	1283,1183,1698	1,2,3	2466,1366,2693	1,4,1	101	99	1	1.0	0.999,0.998,0.998	1.0,0.997,1.0	-0.001
6	"AT4G33520"	"PAA1"	chr4	+	16125440	16125525	16125440	16125521	16125625	16126150	6	1,0,2	5,2,1	2,1,0	0,1,2	102	99	0.708058621743	1.0	0.163,0.0,0.66	1.0,0.493,0.0	-0.223
10	"AT4G20350"	"AT4G20350"	chr4	+	10988717	10988760	10988717	10988756	10988855	10988968	10	4,0,3	11,11,16	2,3,0	19,4,23	102	99	0.461262632672	1.0	0.261,0.0,0.154	0.093,0.421,0.0	-0.033
11	"AT1G78870"	"UBC35"	chr1	+	29650928	29651018	29650928	29651015	29651315	29651374	11	2,1,3	314,190,355	2,2,6	377,171,356	101	99	1	1.0	0.006,0.005,0.008	0.005,0.011,0.016	-0.004
12	"AT3G03100"	"AT3G03100"	chr3	-	706206	706302	706210	706302	705821	705927	12	19,11,20	0,0,0	18,13,25	0,0,2	102	99	1	1.0	1.0,1.0,1.0	1.0,1.0,0.924	0.025
13	"AT5G37370"	"ATSRL1"	chr5	-	14814207	14814279	14814231	14814279	14812684	14813582	13	167,149,194	0,0,0	170,85,249	0,0,1	122	99	1	1.0	1.0,1.0,1.0	1.0,1.0,0.995	0.002
15	"AT4G03200"	"AT4G03200"	chr4	+	1408158	1408858	1408158	1408589	1409307	1409386	15	2,5,6	4,4,5	4,0,2	3,2,2	198	99	0.439935888005	1.0	0.2,0.385,0.375	0.4,0.0,0.333	0.076
16	"AT1G78510"	"SPS1"	chr1	-	29536972	29537417	29536976	29537417	29536697	29536822	16	0,0,0	120,95,126	1,0,2	191,96,218	102	99	1	1.0	0.0,0.0,0.0	0.005,0.0,0.009	-0.005
18	"AT1G07890"	"APX1"	chr1	+	2437677	2437833	2437677	2437741	2437992	2438123	18	23,16,30	4,2,8	42,19,55	3,0,4	190	99	0.00743645456267	0.0476483940497	0.75,0.807,0.661	0.879,1.0,0.878	-0.18
20	"AT1G32190"	"AT1G32190"	chr1	-	11594627	11594664	11594632	11594664	11594171	11594408	20	28,16,38	1,1,1	22,17,40	1,0,0	103	99	0.4412886879	1.0	0.964,0.939,0.973	0.955,1.0,1.0	-0.026
26	"AT1G67500"	"REV3"	chr1	-	25294487	25294841	25294657	25294841	25292788	25294409	26	4,9,17	6,2,0	14,5,11	2,1,3	198	99	0.893245384251	1.0	0.25,0.692,1.0	0.778,0.714,0.647	-0.066
