ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
0	"AT4G35785"	"AT4G35785"	chr4	-	16953522	16953890	16953522	16953592	16953969	16954119
1	"AT4G35785"	"AT4G35785"	chr4	-	16954236	16954336	16954236	16954333	16954428	16954452
2	"AT4G35785"	"AT4G35785"	chr4	-	16954428	16954497	16954428	16954452	16954564	16954705
3	"AT4G32590"	"AT4G32590"	chr4	+	15722724	15722869	15722740	15722869	15722545	15722608
4	"AT1G74560"	"NRP1"	chr1	-	28018137	28018197	28018137	28018194	28018286	28018350
5	"AT2G46640"	"AT2G46640"	chr2	+	19149186	19149509	19149192	19149509	19148892	19148938
6	"AT1G77600"	"AT1G77600"	chr1	-	29153069	29153164	29153069	29153143	29153437	29153544
7	"AT1G77600"	"AT1G77600"	chr1	-	29156553	29156698	29156553	29156671	29156844	29156975
8	"AT1G77600"	"AT1G77600"	chr1	-	29158727	29158949	29158727	29158907	29159083	29159272
9	"AT1G61900"	"AT1G61900"	chr1	-	22882672	22882717	22882672	22882710	22882814	22882958
10	"AT5G51230"	"EMF2"	chr5	+	20827583	20827684	20827598	20827684	20827453	20827500
11	"AT4G37180"	"AT4G37180"	chr4	+	17504944	17505126	17504965	17505126	17504563	17504873
12	"AT4G02260"	"RSH1"	chr4	+	988615	988681	988618	988681	988442	988503
13	"AT5G14060"	"AK2"	chr5	+	4536066	4536532	4536072	4536532	4535400	4535724
14	"AT4G35450"	"AKR2"	chr4	+	16840731	16840918	16840755	16840918	16840516	16840665
15	"AT2G01750"	"MAP70.3"	chr2	+	331805	332113	331808	332113	331508	331702
16	"AT3G04030"	"AT3G04030"	chr3	-	1042881	1043606	1042881	1043588	1043771	1043841
17	"AT2G43190"	"AT2G43190"	chr2	+	17956516	17956599	17956519	17956599	17956198	17956430
18	"AT3G03100"	"AT3G03100"	chr3	-	705821	705931	705821	705927	706210	706302
19	"AT4G28150"	"AT4G28150"	chr4	-	13978536	13978757	13978536	13978751	13978828	13979006
20	"AT5G59210"	"AT5G59210"	chr5	-	23891670	23891705	23891670	23891702	23891903	23892030
21	"AT4G22230"	"AT4G22230"	chr4	+	11762454	11762688	11762457	11762688	11762291	11762367
22	"AT3G21070"	"NADK1"	chr3	-	7381526	7381618	7381526	7381600	7381737	7381844
23	"AT4G18975"	"AT4G18975"	chr4	-	10393265	10393321	10393265	10393314	10393418	10393520
24	"AT1G52870"	"AT1G52870"	chr1	+	19687276	19687392	19687280	19687392	19686913	19687201
25	"AT5G45940"	"NUDT11"	chr5	-	18629561	18629871	18629561	18629866	18629960	18630080
26	"AT4G19110"	"AT4G19110"	chr4	-	10454528	10455020	10454528	10455011	10455114	10455342
27	"AT1G36070"	"AT1G36070"	chr1	-	13470095	13470269	13470095	13470266	13470338	13470394
28	"AT1G26630"	"ELF5A-2"	chr1	+	9206971	9207383	9206993	9207383	9206816	9206891
29	"AT2G26970"	"AT2G26970"	chr2	-	11511521	11511605	11511521	11511593	11511824	11511914
30	"AT2G02740"	"WHY3"	chr2	+	770558	770635	770561	770635	770375	770470
31	"AT1G67325"	"AT1G67325"	chr1	-	25210282	25210310	25210282	25210307	25210503	25210613
32	"AT1G07890"	"APX1"	chr1	+	2437677	2437741	2437680	2437741	2437477	2437555
33	"AT1G62610"	"AT1G62610"	chr1	-	23181462	23182358	23181462	23182355	23182436	23182482
34	"AT1G62610"	"AT1G62610"	chr1	-	23181462	23182358	23181462	23182355	23182684	23183227
35	"AT2G46530"	"ARF11"	chr2	+	19105638	19105791	19105643	19105791	19105404	19105560
36	"AT1G09080"	"MED37B"	chr1	-	2931375	2931670	2931375	2931640	2931731	2931841
37	"AT5G13480"	"FY"	chr5	-	4330914	4331052	4330914	4330983	4331261	4331353
38	"AT2G38660"	"FOLD1"	chr2	+	16167668	16167836	16167670	16167836	16167333	16167570
39	"AT5G56370"	"AT5G56370"	chr5	-	22836800	22837682	22836800	22837652	22837857	22837941
40	"AT5G13660"	"AT5G13660"	chr5	+	4406443	4406515	4406446	4406515	4405093	4406365
41	"AT5G09860"	"THO1"	chr5	+	3069215	3069332	3069218	3069332	3069041	3069083
42	"AT3G17590"	"BSH"	chr3	-	6019351	6019446	6019351	6019440	6019541	6019666
43	"AT2G33500"	"COL14"	chr2	-	14188339	14188587	14188339	14188584	14188950	14189100
44	"AT1G27385"	"AT1G27385"	chr1	-	9512115	9512219	9512115	9512216	9512570	9512820
45	"AT1G52615"	"AT1G52615"	chr1	-	19600530	19601352	19600530	19601329	19601690	19602345
46	"AT3G15395"	"AT3G15395"	chr3	+	5200969	5201089	5201004	5201089	5200850	5200880
47	"AT5G07770"	"FH16"	chr5	+	2475710	2475955	2475908	2475955	2475229	2475350
48	"AT2G42380"	"BZIP34"	chr2	-	17647573	17647700	17647573	17647687	17647814	17647905
49	"AT1G08420"	"BSL2"	chr1	+	2652965	2653145	2652980	2653145	2652660	2652742
50	"AT1G75170"	"AT1G75170"	chr1	+	28214829	28214928	28214836	28214928	28214570	28214747
51	"AT1G14170"	"AT1G14170"	chr1	-	4844653	4845150	4844653	4845126	4845225	4845283
52	"AT3G15640"	"COX5B-1"	chr3	+	5299666	5299752	5299669	5299752	5299109	5299450
53	"AT4G23980"	"ARF9"	chr4	+	12453719	12454189	12453725	12454189	12453492	12453640
54	"AT4G29950"	"AT4G29950"	chr4	+	14657971	14658148	14657975	14658148	14657783	14657887
55	"AT3G25230"	"FKBP62"	chr3	+	9191128	9191419	9191131	9191419	9190933	9191030
56	"AT2G37020"	"AT2G37020"	chr2	+	15548456	15548595	15548459	15548595	15548315	15548341
57	"AT3G60600"	"PVA11"	chr3	+	22401501	22401990	22401521	22401990	22401284	22401440
58	"AT4G39380"	"AT4G39380"	chr4	-	18309909	18310074	18309909	18310026	18310149	18310707
