ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"AT4G35785"	"AT4G35785"	chr4	-	16953522	16953890	16953522	16953592	16953969	16954119	0	198,120,234	73,70,112	129,86,172	105,74,114	397	99	0.00066547636306	0.0327469826989	0.403,0.299,0.343	0.235,0.225,0.273	0.104
1	"AT4G35785"	"AT4G35785"	chr4	-	16954236	16954336	16954236	16954333	16954428	16954452	1	220,160,268	14,5,11	178,106,173	8,5,11	102	99	0.77827241981	1.0	0.938,0.969,0.959	0.956,0.954,0.939	0.006
2	"AT4G35785"	"AT4G35785"	chr4	-	16954428	16954497	16954428	16954452	16954564	16954705	2	8,4,7	208,138,256	4,5,7	174,112,174	144	99	0.884646339226	1.0	0.026,0.02,0.018	0.016,0.03,0.027	-0.003
3	"AT4G32590"	"AT4G32590"	chr4	+	15722724	15722869	15722740	15722869	15722545	15722608	3	2,0,1	217,151,241	1,2,4	505,376,615	115	99	1	1.0	0.008,0.0,0.004	0.002,0.005,0.006	-0.0
4	"AT1G74560"	"NRP1"	chr1	-	28018137	28018197	28018137	28018194	28018286	28018350	4	17,16,22	599,395,824	13,11,17	467,373,557	102	99	0.814281609745	1.0	0.027,0.038,0.025	0.026,0.028,0.029	0.002
5	"AT2G46640"	"AT2G46640"	chr2	+	19149186	19149509	19149192	19149509	19148892	19148938	5	35,32,57	12,12,23	62,27,56	57,6,23	105	99	0.390967409847	1.0	0.733,0.715,0.7	0.506,0.809,0.697	0.045
6	"AT1G77600"	"AT1G77600"	chr1	-	29153069	29153164	29153069	29153143	29153437	29153544	6	3,3,3	35,26,44	3,1,2	53,44,58	120	99	0.124959958853	0.777698404559	0.066,0.087,0.053	0.045,0.018,0.028	0.038
9	"AT1G61900"	"AT1G61900"	chr1	-	22882672	22882717	22882672	22882710	22882814	22882958	9	96,68,136	0,0,2	164,99,200	0,1,0	106	99	1	1.0	1.0,1.0,0.984	1.0,0.989,1.0	-0.002
10	"AT5G51230"	"EMF2"	chr5	+	20827583	20827684	20827598	20827684	20827453	20827500	10	116,89,164	0,4,1	116,65,69	0,2,6	114	99	0.126097625435	0.777698404559	1.0,0.951,0.993	1.0,0.966,0.909	0.023
11	"AT4G37180"	"AT4G37180"	chr4	+	17504944	17505126	17504965	17505126	17504563	17504873	11	0,0,2	84,73,90	1,0,0	91,40,84	120	99	1	1.0	0.0,0.0,0.018	0.009,0.0,0.0	0.003
12	"AT4G02260"	"RSH1"	chr4	+	988615	988681	988618	988681	988442	988503	12	61,29,61	117,80,140	70,33,67	117,51,113	102	99	0.0554524340366	0.547018552588	0.336,0.26,0.297	0.367,0.386,0.365	-0.075
13	"AT5G14060"	"AK2"	chr5	+	4536066	4536532	4536072	4536532	4535400	4535724	13	126,131,141	234,224,327	230,80,228	493,139,484	105	99	0.728051672001	1.0	0.337,0.355,0.289	0.305,0.352,0.308	0.005
15	"AT2G01750"	"MAP70.3"	chr2	+	331805	332113	331808	332113	331508	331702	15	0,1,9	31,27,46	3,5,6	42,19,41	102	99	0.324398472599	1.0	0.0,0.035,0.16	0.065,0.203,0.124	-0.066
16	"AT3G04030"	"AT3G04030"	chr3	-	1042881	1043606	1042881	1043588	1043771	1043841	16	14,19,30	7,6,11	24,13,15	4,8,10	117	99	0.84912783277	1.0	0.629,0.728,0.698	0.835,0.579,0.559	0.027
17	"AT2G43190"	"AT2G43190"	chr2	+	17956516	17956599	17956519	17956599	17956198	17956430	17	13,15,17	23,4,12	12,8,22	17,14,13	102	99	0.439202634321	1.0	0.354,0.784,0.579	0.407,0.357,0.622	0.11
