ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
2	"AT4G35785"	"AT4G35785"	chr4	-	16955027	16955050	16954564	16954705	16955124	16955266
3	"AT4G30330"	"AT4G30330"	chr4	-	14837581	14837644	14837030	14837109	14837759	14837786
4	"AT1G73840"	"ESP1"	chr1	-	27766015	27766093	27765703	27765742	27766232	27766364
5	"AT4G23710"	"VHA-G2"	chr4	+	12350550	12350652	12350088	12350168	12350999	12351100
6	"AT4G32590"	"AT4G32590"	chr4	+	15722015	15722069	15721693	15721807	15722237	15722300
7	"AT4G32590"	"AT4G32590"	chr4	+	15722015	15722073	15721693	15721807	15722237	15722300
8	"AT1G07080"	"AT1G07080"	chr1	+	2170523	2170589	2169981	2170350	2170701	2170842
9	"AT1G11720"	"SS3"	chr1	+	3954690	3954798	3954435	3954611	3954885	3954995
10	"AT5G16715"	"EMB2247"	chr5	+	5486566	5486661	5486230	5486314	5486956	5487048
11	"AT5G16715"	"EMB2247"	chr5	+	5487451	5487504	5487290	5487344	5487587	5487649
12	"AT2G46640"	"AT2G46640"	chr2	+	19148892	19148938	19148661	19148797	19149186	19149509
13	"AT2G46640"	"AT2G46640"	chr2	+	19148892	19148938	19148661	19148797	19149192	19149509
16	"AT1G52220"	"CURT1C"	chr1	-	19453906	19453944	19453568	19453824	19454031	19454094
17	"AT1G52220"	"CURT1C"	chr1	-	19454186	19454273	19454031	19454094	19454377	19454697
18	"AT1G33360"	"AT1G33360"	chr1	+	12093195	12093278	12093016	12093078	12093382	12093462
19	"AT5G16480"	"AT5G16480"	chr5	-	5381828	5381886	5381700	5381744	5382113	5382207
20	"AT1G26450"	"AT1G26450"	chr1	-	9149524	9149552	9148709	9149276	9149642	9149882
21	"AT1G06290"	"ACX3"	chr1	+	1923140	1923258	1922351	1922892	1923352	1923460
22	"AT4G02260"	"RSH1"	chr4	+	987729	987801	987560	987638	987975	988083
23	"AT5G14060"	"AK2"	chr5	+	4537774	4537891	4537607	4537703	4537972	4538092
25	"AT1G52730"	"AT1G52730"	chr1	+	19642853	19642983	19642489	19642668	19643164	19643300
26	"AT5G44720"	"AT5G44720"	chr5	+	18043933	18044083	18042970	18043179	18044160	18044337
27	"AT1G72500"	"AT1G72500"	chr1	-	27297417	27297507	27297220	27297337	27297596	27297812
28	"AT1G72500"	"AT1G72500"	chr1	-	27297896	27298055	27297596	27297812	27298175	27298556
29	"AT5G43600"	"UAH"	chr5	+	17513106	17513181	17512943	17513029	17513279	17513408
30	"AT5G57815"	"COX6B-2"	chr5	+	23427225	23427314	23426667	23426764	23427388	23427470
31	"AT1G66840"	"PMI2"	chr1	-	24936029	24936140	24933855	24935734	24936218	24936322
32	"AT1G78870"	"UBC35"	chr1	+	29650722	29650750	29650453	29650624	29650928	29651015
34	"AT1G33265"	"FAX4"	chr1	+	12066989	12067054	12066594	12066896	12067483	12067571
35	"AT3G03100"	"AT3G03100"	chr3	-	707079	707106	706206	706302	707486	707650
36	"AT4G01650"	"AT4G01650"	chr4	-	705374	705598	704859	705027	706894	706965
37	"AT1G18360"	"AT1G18360"	chr1	-	6317653	6317743	6317486	6317579	6317838	6317903
38	"AT1G18360"	"AT1G18360"	chr1	-	6318157	6318196	6318003	6318074	6318815	6319427
40	"AT5G49152"	"AT5G49152"	chr5	+	19928687	19928717	19928284	19928441	19928813	19928950
41	"AT3G28760"	"AT3G28760"	chr3	-	10793744	10793834	10793494	10793662	10794295	10794394
42	"AT3G28760"	"AT3G28760"	chr3	-	10793932	10794073	10793744	10793834	10794295	10794394
43	"AT3G28760"	"AT3G28760"	chr3	-	10794151	10794220	10793932	10794073	10794295	10794394
44	"AT1G03260"	"AT1G03260"	chr1	-	797545	797600	797312	797411	797727	797789
45	"AT1G19115"	"AT1G19115"	chr1	+	6607302	6607370	6607038	6607183	6607465	6607526
47	"AT4G11410"	"AT4G11410"	chr4	-	6945781	6945866	6945404	6945451	6945965	6946044
48	"AT4G19400"	"AT4G19400"	chr4	-	10581400	10581510	10581203	10581318	10581638	10581708
49	"AT2G21045"	"STR19"	chr2	+	9028374	9028445	9028212	9028286	9028555	9028609
50	"AT5G23575"	"AT5G23575"	chr5	+	7948141	7948179	7947658	7947762	7948478	7948714
51	"AT2G46540"	"AT2G46540"	chr2	-	19111157	19111240	19110471	19110722	19111602	19111769
52	"AT1G43650"	"AT1G43650"	chr1	-	16446503	16446566	16446302	16446419	16446638	16446852
53	"AT4G18975"	"AT4G18975"	chr4	-	10393608	10393673	10393418	10393520	10393767	10393884
54	"AT4G18975"	"AT4G18975"	chr4	-	10393608	10393695	10393418	10393520	10393767	10393991
55	"AT3G48110"	"GLYRS-2"	chr3	+	17763947	17764003	17763444	17763709	17764120	17764198
